RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
18TM5	NONE	517.5	381.9	106	Trial: 106
18TM5	NONE	504.1	396	107	Trial: 107
18TM5	NONE	513.9	389.2	108	Trial: 108
18TM5	NONE	515.5	388	109	Trial: 109
18TM5	NONE	497.4	381.9	109	Trial: 109
18TM5	NONE	515.7	385.2	110	Trial: 110
18TM5	NONE	513.9	391.4	111	Trial: 111
18TM5	NONE	513.2	384.8	112	Trial: 112
18TM5	NONE	514.7	376.9	113	Trial: 113
18TM5	NONE	507.3	391.4	114	Trial: 114
18TM5	NONE	521.3	402.2	114	Trial: 114
18TM5	NONE	514.8	376.1	115	Trial: 115
18TM5	NONE	517.2	391.5	116	Trial: 116
18TM5	NONE	520.5	392.1	116	Trial: 116
18TM5	NONE	506.1	394.5	117	Trial: 117
18TM5	NONE	502.1	393.5	117	Trial: 117
18TM5	NONE	512	376.5	117	Trial: 117
18TM5	NONE	509.7	401.6	117	Trial: 117
18TM5	NONE	511.2	396.4	118	Trial: 118
18TM5	AFTER	517.1	391	119	Trial: 119
18TM5	BEFORE	521.5	389	119	Trial: 119
18TM5	NONE	502.3	404.2	120	Trial: 120
18TM5	NONE	408.8	350.2	120	Trial: 120
18TM5	NONE	506.2	403	120	Trial: 120
18TM5	NONE	493.7	405.1	120	Trial: 120
18TM5	NONE	515.6	383.9	121	Trial: 121
18TM5	NONE	509.9	392.2	122	Trial: 122
18TM5	NONE	513.8	397.2	123	Trial: 123
18TM5	NONE	516.2	383.2	124	Trial: 124
18TM5	NONE	514.5	380.1	125	Trial: 125
18TM5	NONE	513.7	386.1	126	Trial: 126
18TM5	NONE	518	403.1	126	Trial: 126
18TM5	NONE	514.8	390.1	127	Trial: 127
18TM5	NONE	500.6	393.3	127	Trial: 127
18TM5	NONE	517.6	406.7	128	Trial: 128
18TM5	NONE	514.4	378.3	129	Trial: 129
18TM5	NONE	522.3	373	129	Trial: 129
18TM5	NONE	516.5	394.4	130	Trial: 130
18TM5	NONE	513.3	391.1	131	Trial: 131
18TM5	NONE	555.8	385.4	131	Trial: 131
18TM5	NONE	513.5	388	132	Trial: 132
18TM5	AFTER	511.6	385.4	133	Trial: 133
18TM5	BEFORE	510.2	403.6	133	Trial: 133
18TM5	NONE	523.5	427.1	133	Trial: 133
18TM5	NONE	516.2	414.7	133	Trial: 133
18TM5	NONE	507	382.2	134	Trial: 134
18TM5	NONE	515	396.7	134	Trial: 134
18TM5	NONE	513.3	402.7	135	Trial: 135
18TM5	NONE	538.3	389.5	136	Trial: 136
18TM5	AFTER	529.7	395	136	Trial: 136
18TM5	BEFORE	570.1	374.3	136	Trial: 136
18TM5	NONE	521.3	416.5	136	Trial: 136
18TM5	NONE	505.8	400.8	137	Trial: 137
18TM5	NONE	515.4	399	138	Trial: 138
18TM5	NONE	513.9	397.6	139	Trial: 139
18TM5	NONE	522.9	403.8	139	Trial: 139
18TM5	NONE	510.3	388	140	Trial: 140
18TM5	NONE	509.9	384.2	140	Trial: 140
18TM5	NONE	495.5	402.8	140	Trial: 140
18TM5	NONE	503	389.2	140	Trial: 140
18TM5	AFTER	515.4	393.5	141	Trial: 141
18TM5	BEFORE	516.7	395	141	Trial: 141
18TM5	NONE	520.7	391.8	141	Trial: 141
18TM5	AFTER	507.1	404.8	142	Trial: 142
18TM5	BEFORE	508.7	423.5	142	Trial: 142
18TM5	NONE	521.8	432.3	142	Trial: 142
18TM5	NONE	510.2	420.9	142	Trial: 142
18TM5	NONE	508.9	378.3	143	Trial: 143
18TM5	NONE	515.9	387.7	144	Trial: 144
18TM5	NONE	512.8	383	145	Trial: 145
18TM5	NONE	510	383.9	146	Trial: 146
18TM5	NONE	516.6	390.9	146	Trial: 146
18TM5	NONE	518.5	414	146	Trial: 146
18TM5	NONE	517.8	383.2	147	Trial: 147
18TM5	NONE	517.6	399.1	147	Trial: 147
18TM5	NONE	510.9	386.4	148	Trial: 148
18TM5	NONE	511.7	408.9	149	Trial: 149
18TM5	NONE	509	397.8	150	Trial: 150
18TM5	NONE	509.9	405.5	150	Trial: 150
18TM5	NONE	519	391.8	151	Trial: 151
18TM5	NONE	541.2	392.3	152	Trial: 152
18TM5	NONE	510.3	391.7	152	Trial: 152
18TM5	NONE	505.9	392.5	152	Trial: 152
18TM5	NONE	516	383.9	153	Trial: 153
18TM5	NONE	511.8	371.5	153	Trial: 153
18TM5	NONE	515.7	401.3	154	Trial: 154
18TM5	NONE	532.9	417.8	154	Trial: 154
18TM5	NONE	515.6	410.2	154	Trial: 154
18TM5	NONE	526.4	403.3	154	Trial: 154
18TM5	NONE	510.5	376.5	155	Trial: 155
18TM5	NONE	527.4	380.5	156	Trial: 156
18TM5	NONE	521.5	392.1	156	Trial: 156
18TM5	NONE	523.1	400.5	157	Trial: 157
18TM5	NONE	519.1	388.9	158	Trial: 158
18TM5	NONE	532.2	378.7	158	Trial: 158
18TM5	AFTER	517.9	379.4	159	Trial: 159
18TM5	BOTH	518.7	396.7	159	Trial: 159
18TM5	BEFORE	513.7	391.7	159	Trial: 159
18TM5	NONE	511.9	392.4	160	Trial: 160
18TM5	NONE	508.5	387.9	161	Trial: 161
18TM5	NONE	512.8	395.2	161	Trial: 161
18TM5	NONE	523	385.5	162	Trial: 162
18TM5	NONE	508.4	391.3	162	Trial: 162
18TM5	NONE	501.7	393.2	162	Trial: 162
18TM5	NONE	513.2	399.5	162	Trial: 162
18TM5	NONE	503.2	394.2	162	Trial: 162
18TM5	NONE	514.3	390.9	163	Trial: 163
18TM5	NONE	513.9	388.9	163	Trial: 163
18TM5	NONE	503.4	380	163	Trial: 163
18TM5	NONE	512	390.3	163	Trial: 163
18TM5	NONE	511	389	164	Trial: 164
18TM5	NONE	498.4	384.2	164	Trial: 164
18TM5	NONE	511.9	382.2	165	Trial: 165
18TM5	AFTER	499.7	385.9	165	Trial: 165
18TM5	BEFORE	498.1	384	165	Trial: 165
18TM5	NONE	514.8	399.6	166	Trial: 166
18TM5	NONE	519.6	395.5	166	Trial: 166
18TM5	NONE	518.6	392.3	167	Trial: 167
18TM5	NONE	524.8	389	167	Trial: 167
18TM5	NONE	519.7	419.2	167	Trial: 167
18TM5	NONE	515.2	380.1	168	Trial: 168
18TM5	NONE	510.7	374.4	168	Trial: 168
18TM5	NONE	517.7	372.6	168	Trial: 168
18TM5	NONE	508.6	400.6	169	Trial: 169
18TM5	AFTER	514.4	413.7	169	Trial: 169
18TM5	BEFORE	512	411.2	169	Trial: 169
18TM5	NONE	504.3	380.8	170	Trial: 170
18TM5	NONE	507.4	375	170	Trial: 170
18TM5	AFTER	511.3	382.7	171	Trial: 171
18TM5	BEFORE	518.9	397	171	Trial: 171
18TM5	NONE	522.4	386.1	171	Trial: 171
18TM5	NONE	509.3	391.5	172	Trial: 172
18TM5	AFTER	517.9	368.8	172	Trial: 172
18TM5	BEFORE	493.9	390.8	172	Trial: 172
18TM5	NONE	513	380.8	173	Trial: 173
18TM5	NONE	542	436.3	173	Trial: 173
18TM5	NONE	517.6	391.3	173	Trial: 173
18TM5	NONE	519.5	385.9	174	Trial: 174
18TM5	NONE	497.9	387.4	175	Trial: 175
18TM5	NONE	519	383.4	175	Trial: 175
18TM5	NONE	514.6	388.1	175	Trial: 175
18TM5	NONE	536.3	397.1	175	Trial: 175
18TM5	NONE	518.4	385.1	175	Trial: 175
18TM5	NONE	514.2	387.4	176	Trial: 176
18TM5	NONE	511.4	398.8	176	Trial: 176
18TM5	AFTER	516.5	390.1	177	Trial: 177
18TM5	BEFORE	509.2	394.3	177	Trial: 177
18TM5	NONE	520.1	397.5	177	Trial: 177
18TM5	NONE	508.8	395	177	Trial: 177
18TM5	NONE	513	391.2	177	Trial: 177
18TM5	NONE	502.3	389.1	177	Trial: 177
18TM5	NONE	512.3	385.2	177	Trial: 177
18TM5	AFTER	517.6	374.4	178	Trial: 178
18TM5	BEFORE	520.3	373.5	178	Trial: 178
18TM5	NONE	536.1	392.1	178	Trial: 178
18TM5	NONE	544.2	398.4	178	Trial: 178
18TM5	NONE	604.2	393.7	178	Trial: 178
18TM5	AFTER	554.5	402.3	178	Trial: 178
18TM5	BEFORE	556.9	424.4	178	Trial: 178
18TM5	AFTER	509.3	380.4	179	Trial: 179
18TM5	BEFORE	512.3	369.4	179	Trial: 179
18TM5	NONE	511	377.6	180	Trial: 180
18TM5	NONE	515.3	397.5	180	Trial: 180
18TM5	NONE	515.1	386.9	181	Trial: 181
18TM5	NONE	521	402.4	181	Trial: 181
18TM5	NONE	519.6	380.2	181	Trial: 181
18TM5	AFTER	516	382.2	182	Trial: 182
18TM5	BEFORE	520.8	382.6	182	Trial: 182
18TM5	NONE	514.9	395	183	Trial: 183
18TM5	NONE	526.2	404.3	183	Trial: 183
18TM5	NONE	517.6	383.3	184	Trial: 184
18TM5	NONE	521.4	394.3	184	Trial: 184
18TM5	NONE	509.7	403.2	185	Trial: 185
18TM5	NONE	527.9	413.3	185	Trial: 185
18TM5	AFTER	511.5	385.9	186	Trial: 186
18TM5	BEFORE	568.9	345.3	186	Trial: 186
18TM5	NONE	503.7	408.9	186	Trial: 186
18TM5	NONE	512.2	380.3	187	Trial: 187
18TM5	NONE	498.7	403.1	188	Trial: 188
18TM5	NONE	491.4	396.8	188	Trial: 188
18TM5	NONE	514.7	401.4	189	Trial: 189
18TM5	NONE	519.6	384.1	190	Trial: 190
18TM5	NONE	569.3	379.1	190	Trial: 190
18TM5	NONE	524.6	374.5	190	Trial: 190
18TM5	NONE	522.2	406.7	190	Trial: 190
18TM5	NONE	516.1	387.8	190	Trial: 190
18TM5	NONE	521.3	387.7	191	Trial: 191
18TM5	NONE	531.7	389.2	191	Trial: 191
18TM5	NONE	523.2	388.3	191	Trial: 191
18TM5	NONE	581.3	388.6	191	Trial: 191
18TM5	NONE	523.1	389.1	191	Trial: 191
18TM5	NONE	522.3	391.2	192	Trial: 192
18TM5	NONE	522.3	389.4	193	Trial: 193
18TM5	NONE	453.6	405.9	193	Trial: 193
18TM5	NONE	536.8	375.8	193	Trial: 193
18TM5	NONE	525.4	383.7	193	Trial: 193
18TM5	NONE	510.3	382.2	194	Trial: 194
18TM5	NONE	511.5	390.7	194	Trial: 194
18TM5	NONE	515.2	396.2	194	Trial: 194
18TM5	NONE	515.8	396.2	195	Trial: 195
18TM5	NONE	520.4	389.1	196	Trial: 196
18TM5	NONE	506	402.2	196	Trial: 196
18TM5	NONE	528.5	353.4	196	Trial: 196
18TM5	NONE	499	396.8	196	Trial: 196
18TM5	NONE	514.8	385.1	197	Trial: 197
18TM5	NONE	506.3	406.7	198	Trial: 198
18TM5	NONE	502.6	420.5	198	Trial: 198
18TM5	NONE	514	388.8	199	Trial: 199
18TM5	NONE	508.6	434.5	199	Trial: 199
18TM5	NONE	513.6	395.3	199	Trial: 199
18TM5	NONE	521.6	385.2	200	Trial: 200
18TM5	NONE	542.9	408.1	200	Trial: 200
18TM5	NONE	522.5	380	200	Trial: 200
18TM5	AFTER	511.4	389	201	Trial: 201
18TM5	BEFORE	512.1	383.4	201	Trial: 201
18TM5	NONE	366.4	370	202	Trial: 202
18TM5	NONE	530.3	389.2	202	Trial: 202
18TM5	NONE	515.8	392.7	202	Trial: 202
18TM5	NONE	510.8	399.7	203	Trial: 203
18TM5	NONE	506.5	410.3	204	Trial: 204
18TM5	NONE	508.8	384.3	204	Trial: 204
18TM5	NONE	520.9	396.8	204	Trial: 204
18TM5	NONE	500.1	370.9	204	Trial: 204
18TM5	NONE	510.5	376.7	204	Trial: 204
18TM5	NONE	520	391.4	205	Trial: 205
18TM5	NONE	527.1	383.3	205	Trial: 205
18TM5	NONE	517.8	393.5	206	Trial: 206
18TM5	NONE	524.7	396.1	206	Trial: 206
18TM5	NONE	518.4	379.5	207	Trial: 207
18TM5	NONE	513.8	391.5	208	Trial: 208
18TM5	NONE	517	386.3	209	Trial: 209
18TM5	NONE	540.4	349.9	209	Trial: 209
18TM5	NONE	498.6	413.3	209	Trial: 209
18TM5	NONE	522.2	383.5	209	Trial: 209
18TM5	NONE	509.4	384.4	210	Trial: 210
18TM5	NONE	523.9	390.5	210	Trial: 210
18TM5	NONE	513.6	389.1	211	Trial: 211
18TM5	NONE	520.7	390.1	211	Trial: 211
18TM5	NONE	527.9	393	212	Trial: 212
18TM5	NONE	514	388	213	Trial: 213
18TM5	NONE	518.4	389.8	213	Trial: 213
18TM5	NONE	518.6	389	213	Trial: 213
18TM5	NONE	540.7	379.3	213	Trial: 213
18TM5	NONE	560.7	375.7	213	Trial: 213
18TM5	NONE	492.5	385.8	213	Trial: 213
18TM5	AFTER	520.4	388.6	214	Trial: 214
18TM5	BEFORE	509	388.8	214	Trial: 214
18TM5	NONE	509.9	391	215	Trial: 215
18TM5	NONE	513	384.1	216	Trial: 216
18TM5	NONE	514.9	381.6	216	Trial: 216
18TM5	NONE	504.4	393	217	Trial: 217
18TM5	NONE	497.6	391.1	217	Trial: 217
18TM5	NONE	503.1	396.9	217	Trial: 217
18TM5	NONE	512.9	387.7	218	Trial: 218
18TM5	NONE	543.7	278.1	218	Trial: 218
18TM5	NONE	526.7	392.2	218	Trial: 218
