experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	35 	CB 	 oneCued 	 0.0 	 left 	Q 	G 	0.0 	1 	0 	1.0 	OKVEUFCITWBNLMQSPXAHZRYDGJ	HCDROEGQWZIXAUJKLPVMSNBFTY	QMULXEZAFHYTPSDWOCKBIRJNGV	FXRBUQHZSAINMKTOWCJGVYLDEP	NWEGKSJRBAIZHUCYQDMOLPXFVT	COTQPXUWARBKVSDYHEIZJMGFLN	OVMLXJFYRWZANUDISCPETQHBGK	ZMXJCAFVPNIESDKHUOGQLWTRYB	0
main	36 	CB 	 oneCued 	 0.0 	 right 	R 	I 	0.0 	0 	0 	2.0 	FOUTGCILRXZDVEQSHJBNWKYMPA	AJZNCFSYEORPKXTIHVGDWLQBMU	RECBNFJXGPOZQHLDYITSUKVAMW	GXUMSHRICJKQYPDVEOTFNBWLZA	SWILRFPEABGODYZHUNKQTMXVJC	XQCKIVNLOZMGUYEFTPSBHRWAJD	MVWQXECLBTYZGDSFKNJUAHRIOP	GUINJLRXMDFZWOPYHSAQTBCKEV	0
main	37 	CB 	 oneCued 	 0.0 	 left 	N 	F 	0.0 	1 	0 	1.0 	KSMPQOZUWEBHFJXDVYLRCGITAN	LAPHRVUFNOQXWMEJYISTZCDGBK	SDFRGNCOXIJUYZEATQMLPVKWHB	CJYLOMGIVNSUZEKAHBFDPWXTQR	IYPZGFUKLMJRDNXWEOVSQBHATC	ZSFUQROLNTCHXIWAEKGPBJYDMV	EOVSNXMWYJHPDFCABKITZQRLGU	JEYSNOKBZFDQUITVGPWCRHAXLM	0
main	38 	CB 	 oneCued 	 0.0 	 right 	L 	O 	0.0 	2 	0 	1.0 	WUPQLGTFBHSZOYIKRVEAMDCXJN	ZYQLHJKXCPGTAVFONIEMRBSDWU	HGCFUAXKJQOLIREMPVWDBZTSNY	CWGAVZERLUOXBTSQYHJKIPFMDN	NPECAQWKIVTZGMFYULSDJOXHBR	OZFNISRXCQPHYBVKUAELDJGTMW	ZCMFXSYKLVAQUJDEPTIBHRWNOG	KOJCRXEMLISDWBYFTPUAGHZVNQ	0
main	39 	CB 	 oneCued 	 0.0 	 right 	H 	C 	0.0 	7 	0 	1.0 	WHADMCREJOKLXGNZIYFPSBTVQU	DKWNHPLMAUJOEVSIGXYQRTBCFZ	NBHWVZFOSPIJXEQGRMACDLUYKT	IEAGYBOWSLRZQFJPVTNHDKCMUX	PMAWTHXOYQSZVGRDUJIFKCLNEB	NJBOAHZUPSWCETIYKVGDLXMFQR	JIMRHWATYXPODVEUQFZCLGKSBN	XMSYZUCHFWEITKALOBQPGDJNRV	0
main	40 	CB 	 oneCued 	 0.0 	 right 	T 	T 	1.0 	0 	0 	0.0 	BWPVKMLQTXIONSURDAZGEHCJFY	UKSQRBIYGEVZCODTWJFNLXAHMP	RFUCOABSVQPIEMZJGTNDKHWYXL	DEXUFLAPCGZRQBNIVHSKTJMYWO	DBJROIAXQPWCHNFEYUTVKZSLMG	RQEOZFTCYSXVDBAWJNUGKHMPLI	SOIWVFCLHRBUDKYNGQXMPJTZEA	RKQISYJMZOTXFULAVPGNCBWHDE	0
main	41 	CB 	 oneCued 	 0.0 	 left 	G 	O 	0.0 	4 	0 	2.0 	AKJTYWFQOPSXHRZNIGVDBMLUCE	EJANVSBYRZGQXLCOPWMKHDFUTI	YUZGCLOFTRSDVNAHIJXBQPMKWE	DWKYZBHRCELVUSTXQAPGIOJNFM	UPIJELWAFONGHXBSZVCMTYQRKD	ITZNVWQCXFOUMHEADRJBYPGLKS	RXJHPOZNKCWVMLUEDBGFSTIAQY	UVLJTAOMGRXBEQIHKSYFNDCZPW	0
main	42 	CB 	 oneCued 	 0.0 	 right 	H 	V 	0.0 	1 	0 	1.0 	VRYOFSWGAXEZNHKIDUCBLTMJPQ	GDFPQLANVHUKZYSRCIOMEWTJBX	MZNJKRUWTCLEGAYIDOPXQHVSBF	YZBCGIPOTDWKVFXQAELNRUSMJH	YZCSLTRVWBNMPGXJIFUKAQEDHO	BREOYKHZVNGJIUPWTLCFAQMDSX	ZXWALYVMCQERKUOHTFBGJIPSDN	MDIGLYWSZTVCNABPEOJUQKHRFX	0
main	43 	CB 	 oneCued 	 0.0 	 right 	S 	A 	0.0 	1 	0 	1.0 	VMPUSKIZXBGQDRHYNCJTWOALEF	VUKJLEPBDGASFTROWNYMQCHXIZ	EQGOABXZYRJDHPCSVTFNKMUWIL	TSFBHZKNMJYOQCARXEWIGVPDUL	FSGCORZIJLWVUBDNXMATPKHYQE	RKLBNDGYTPMVSCUXFJEWAHOIQZ	UGFBAHZTKCQMRSVINXODJEYPWL	HUWEGJAODFKINQLTZBMXPRCVSY	0
main	44 	CB 	 oneCued 	 0.0 	 right 	Z 	T 	0.0 	0 	0 	2.0 	WLERIQBTJZYUGPNOKFSHMDACXV	GRIXPZKFBSHDAVNQOLUEMTCJYW	XFLNDGVURQJWHIACKTSBYPMZOE	YCFJUHPATILSOWNGEZBDVRMXQK	ZBRCQEXJTNDLYKMGIOASPWFUVH	LFAPQBIXVMWKOCDRTGYNUSHZJE	VTSZWXFRCMHAPGDLIQBENUYOJK	PQKSWUIDOEYXHCLRGAJFMTBVNZ	0
main	45 	CB 	 oneCued 	 0.0 	 left 	S 	N 	0.0 	3 	0 	2.0 	WMVYLDHZACQPSBONTEFJXRUIKG	QEDHAVUWLTYJROSZFXPBMINKGC	ARKHYGBLWXECIDUNQSFTVMJZPO	OLIQXCENZSPMTYFJBKHAUDGWVR	LAGCBRPHUKDOXNZVEYTQJFMSIW	BIQHEUPZCLDAXYKMRGVJTSONWF	LUMTVWYDAFCOPBHQSINXKGRJEZ	QZGWLNBDIVURKSCFOAMTYPXJHE	0
main	46 	CB 	 oneCued 	 0.0 	 right 	P 	Y 	0.0 	4 	0 	1.0 	ZCSDVIAJGWNXMHOEKPTBFQLRYU	IYUTZHKASECBFNPWDMGOLJRVXQ	HVMENCLQUWJOABDXGRYSTIKZPF	URIWYXODESCPGJFKHNQBTAVMZL	XIDSALWYPHNJVROTZKCUEGMQFB	MAWQNIOFBZVRYEDTJSXKPLGCHU	ATHMGYEJNVSFKCZXUQBDPOIWLR	EUQKRMXGNDBIOFVYTLHCZJAPSW	0
