"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	45	"JW8"	"nStreams"	0	"right"	8	315	"Q"	0	10	"B"	"False"	7	-90	0	10	"NFDSGILZROJUTEYAPXHQMBVK"	"KNXSBFMYEOZHIUGDQJARTLVP"	"VGBKTDENYFQRPXSIZJOUHALM"	"IAFUSEPXGBZROMDLNVKJHQYT"	"MERVOUGILPYAKBQHDJFTZSXN"	"IUMQDKYGOELJTSPAZRXNBVHF"	"IKAUZHBLJDTYEMXOQVFRPSNG"	"FSZXKNYRMIBEAULDTGOHQPJV"	1	20	FALSE
"main"	46	"JW8"	"nStreams"	0	"right"	8	90	"M"	0	10	"G"	"False"	3	-135	0	2	"IHXTQBOJNZYPDFRKEMSLVAGU"	"YFVDGLOTZEIRUNAQJPHMBKSX"	"QDJIVBXHFSZMPRYEKOATLUNG"	"SPNAOFJQZUGBMTIYEVLRKHDX"	"XDKLUQSBVHJPZITEROMGAYNF"	"IXQNDZKSUBOVYRJPHLEMGAFT"	"RUGOBZJXEIQADVYMHFSKLNTP"	"BZXEUVQYIKFOASLHMJTGRNPD"	1	12	FALSE
"main"	47	"JW8"	"nStreams"	0	"right"	8	225	"A"	0	6	"S"	"False"	6	135	0	3	"LUYXBZMVORIEJFGDAHPKSQTN"	"QSUKEJITYFGVRBMLPNXOZDAH"	"QGTUPOXMLDBKVYRANIZFJEHS"	"ZQPTKNHEIASMUYBFXROVLDGJ"	"YFHTUPSQMNVOZBJIKLAGRDEX"	"GFZSVERMNPBXTILDYQAOHJUK"	"XFPYBKSUIAVTLDNGERJOZHMQ"	"HAMKIJBTQEFUDYOGVNRXLPSZ"	1	9	FALSE
"main"	48	"JW8"	"nStreams"	0	"right"	8	90	"E"	0	6	"X"	"False"	2	180	0	5	"OTFGPNDRYZMXULQBSIVHAKJE"	"ZVHLYQTNGUMJKBIOASPRDFXE"	"VKDAGBXLHQTEUPZRNFOJYMSI"	"FAMKOXBHZSRGYDUPTIJELNVQ"	"JSBZFGMNYEHTVAOIPDRKXULQ"	"JPAXDIOBEHYFTNMQZRKVGSLU"	"XQAIRKUNYDOTPVJELMZFHSGB"	"TILDQVZXEHJFASGYUBNPOMRK"	0	11	FALSE
"main"	50	"JW8"	"nStreams"	0	"right"	8	315	"M"	0	7	"S"	"False"	2	45	0	5	"UDNTSEJXOPGBIFVQYAKZLMHR"	"NLXYJOQMEHZPTAGRVIFUKDBS"	"ZQUEJLASXYKHMGNFRODIPVBT"	"BUIZDOPNMASFTRKGYLEJHXVQ"	"UOJRAQVPDBNYHKXTSMGZELFI"	"ZXKANSVMDYTUBFHOIRQPGJLE"	"PGSUDOATNMKLEZHXFRYVQIJB"	"KHJRDVEBTNUASPQGYZMOIFLX"	1	12	FALSE
"main"	56	"JW8"	"nStreams"	0	"right"	8	315	"R"	0	8	"H"	"False"	0	-45	0	2	"BPUFZJVNHIRTLDEMSYQGKOAX"	"ULQIJFVRHGEYBKTPXMAOSDNZ"	"SKZOQHYBEPDALNVXJIUFTRMG"	"SINVZTKMQGHBDXARLUFYEOPJ"	"OAJYGVHLTMXBFZUPERKDNQIS"	"XNGKJDVRLBUZSYMFOQAHETPI"	"FVOYGPDABEIZUSQNRHTXKLMJ"	"BZPJRASLNQTEFGIKVDXMOUYH"	1	10	FALSE
"main"	57	"JW8"	"nStreams"	0	"right"	8	180	"M"	0	7	"V"	"False"	4	-1.40334185971e-14	0	4	"FTVZAKLJPEUODGIQSRYBHNXM"	"DUHTIPNRVFGQZOAXJYSEMLBK"	"IQUBJSDPGXLRKHZVOTAEFYMN"	"EQXVFHJLZPKABGUODMYNTRIS"	"SXIDHJGVLYEMUZOTRBNQAFKP"	"SJVINDLZKFGQHATREYOPBXUM"	"GTPQZJXUSRDNELBIMFKOVAYH"	"SUPJIQEGMAKHFNXDRZOVLYBT"	1	11	FALSE
"main"	60	"JW8"	"nStreams"	0	"right"	8	45	"E"	0	8	"J"	"False"	4	-135	0	3	"IZSBTULORKXGDNQHJYAMFPVE"	"FUGTHYXPAJRLKEOQVNMDBZIS"	"VQUOJNHSMLZBXYPEDKIRAGTF"	"VAINGOHJKUZRFPLSTQBMXYED"	"GNAHXQSDJIKEMFZBTURVLPOY"	"ZXQYUEJRANKMGBDTOIFHLPVS"	"SHEPXFMQBNDZUAKJOLGVIRTY"	"QXUKYMDENPRFGSIHJBZAVLOT"	0	11	FALSE
"main"	61	"JW8"	"nStreams"	0	"right"	8	0	"G"	0	8	"B"	"False"	0	0	0	2	"MUFSTAIEBZGXOVPLKHJNDYRQ"	"OSUMJKATFPIHLNXVRBEZGYQD"	"UTDGLROBZSFXHMVQAIKNEPYJ"	"EBULNFPKRTXJISDHYZGMAOQV"	"KEGSBUFXDVALYNJPRIZMTHQO"	"YEQABOFXMHUSPNJDRVGLIKTZ"	"VMIOTDJQGPARZLEXHNFSYKBU"	"HJVQAEFYBLDMKZTRPXISOGNU"	0	10	FALSE
"main"	63	"JW8"	"nStreams"	0	"right"	8	225	"Q"	0	10	"B"	"False"	0	-135	0	-7	"MHFQYVPIEABUORKLDGXTSZNJ"	"LGZVDYHNFEBAJSKQPTRMIOUX"	"GUYJKZTLXSDPERIHMAQBONFV"	"GFQRVEOSZUPNIYXDJMKAHBTL"	"TJPKMHEDYRNXZSBOQAFUVLIG"	"FNZJPQLOYBTDUXEIRKHSVAGM"	"BLNIJMARPOYHUEGSFZXQVDKT"	"QAKDLSZPJUVIGXNFTMYEORBH"	0	3	FALSE
"main"	66	"JW8"	"nStreams"	0	"right"	8	90	"M"	0	7	"G"	"False"	4	-90	0	2	"KVAZSHGUFRDJPXOYTQMLBIEN"	"JKFQIMHEPBXYNRLDAVGUOZTS"	"ROGQTDYSJZEBXMHVIUNAFKPL"	"YPVKSMJRGALDTHXNFBIQUEZO"	"RAPJHFOGLMVTXKZQIDSBUENY"	"KAOUYSRTIBMLGPHJDVXFNZEQ"	"TFHLUMQPKNRSDOYBVGXAIZEJ"	"NGSAIYHLERBVQPFZDMTKUJOX"	1	9	FALSE
"main"	70	"JW8"	"nStreams"	0	"right"	8	90	"H"	0	9	"T"	"False"	0	90	0	1	"SNIGJVYMBTHLKDOQAUPXREZF"	"SKTYALBDOMXNERZJFVHIGUPQ"	"ZSAQNYKHTGOVXJRBMFDIPULE"	"XOSQJIPVKAMUDETLBFZHNGYR"	"TBPFSVRHAKDOZXNMQJIYEUGL"	"FJIBOHYEXRZUKGALMTQNVDPS"	"TYQBKDRFVAOEUPZGHNSJMXIL"	"DROIPZLMVHXTFJSNUGBAQKYE"	0	10	FALSE
"main"	74	"JW8"	"nStreams"	0	"right"	8	180	"M"	0	6	"I"	"False"	2	-90	0	9	"KZTQEBDNSVJRUAPMGIHXFOYL"	"FRBYZVEJAKMNLXPHDQSIUGOT"	"RSVEKPIJNXYUGQZMAOTHFLDB"	"BAFVKJXNOUGIYHERDMLTPZQS"	"BFMSLOXTVHKRDGQUENIAJYZP"	"GHIUBJDPEXRKMTQVASZYNLFO"	"ALPKUJEOMFVTXYNQHIZDBRGS"	"AFXIBODPZTRYNVGEUHJMQKSL"	1	15	FALSE
"main"	78	"JW8"	"nStreams"	0	"right"	8	270	"Q"	0	8	"Q"	"True"	5	135	0	0	"QFLTIEPOZBNDYXGAHJVKSRMU"	"JABRHMXQVPSKZLOITNYUDFGE"	"VNJPLSBOFQXUGIRTEKYDMZHA"	"LISQANPVFRDMXBZOTYUEJHGK"	"PKTEXBQLDAOUYFZRSGJVIMNH"	"NTBXFLRZQGPVHEOMJISUYADK"	"RUPXBHKTYAQFIDJVNZLSMEOG"	"IYVDPRFEQSBGOAZMXUJNTHLK"	0	8	FALSE
"main"	84	"JW8"	"nStreams"	0	"right"	8	180	"G"	0	8	"H"	"False"	3	-45	0	1	"KIGNRZQOMJSATFDULEYBHVXP"	"BPZXNLROMHGSTJUEDQIKYVAF"	"AODVPUSGXKEJTFQIZYLHNMRB"	"AKDVFNZQHGPJTMIBYXREOUSL"	"EGZISRVLNDHYTQKAXOFUJBMP"	"EJRXAGYSPDTZQKFOLUIHBNVM"	"FOGBRHQUVAZENYMSXPIDLJKT"	"ZUDEMJVHFQXRLBGSTOPYINKA"	0	9	FALSE
"main"	85	"JW8"	"nStreams"	0	"right"	8	270	"J"	0	9	"O"	"False"	6	180	0	3	"GPEXNMJQDBRKUTZVAHYLIOFS"	"UXSFEIMAOLDVPNGKYHRQTBZJ"	"XHAFKBNSIQPVEOLMTUYDGJRZ"	"AXNOYRZPJMVDHBLGQUFKITES"	"TQDHLRIZMSVOKYBAEXUNFGPJ"	"AQOZRHXYPBVSMDNULEIJGKFT"	"LZDIPNRSQOAXJFUEMKHGTYVB"	"GEQYIKAHJRMSUVDZLXTBFNPO"	0	12	FALSE
"main"	87	"JW8"	"nStreams"	0	"right"	8	225	"G"	0	8	"X"	"False"	5	90	0	1	"MHGXBDYZSNEVPUALQOJKIFRT"	"XFTHMVLGNZDOUJSKYAQPERBI"	"RNEXZVQUTAKIGYLOMBDFPJHS"	"TQPVFGIMEUSRLZYOKBJNHDXA"	"DSJMINOEKVYZQARHPUBLTFXG"	"MIYENKAFXGJURSVBDLQZHTOP"	"JIYHQZDLNFMEAKBTRGOPUXSV"	"GVXUZENOFSDBIAJLRTYKPMHQ"	0	9	FALSE
"main"	88	"JW8"	"nStreams"	0	"right"	8	45	"K"	0	9	"R"	"False"	3	180	0	3	"XUJOZIGEHFPARKLDQMBYSVNT"	"NPKVAJGQXDZRIUYMTEHFOSBL"	"EJFLVMXURTAHKOQGNIYZDBPS"	"OSDPJYVNGRLFKZTBEIUQMHAX"	"PGYZVKAITSFHLOQJRUNXBMED"	"IPQBDEGVNJZTULFKSOYRXAHM"	"XGTHZOVLRNPDQFMKBAUIEJSY"	"BRGAHJNTVDOLKIEXSQZYFMPU"	0	12	FALSE
"main"	95	"JW8"	"nStreams"	0	"right"	8	90	"X"	0	8	"U"	"False"	2	180	0	2	"GDPKTYXVOAZESNUHRFBQLMIJ"	"ZAXQHDRYPEVIOMBFUTJSLNKG"	"GZFTBISVULXQEHNAPKORMDYJ"	"FXDKZIRUMLHJGBSOPVAYNEQT"	"UBVGIQJSPNOMAKTZYHERDXFL"	"JHTDKSOAVIFNGQULBYXMERZP"	"GIMLKAQNZYTESOPVDBUXHFRJ"	"RDQUHXBVEFYGNKTPMOIJSZAL"	0	10	FALSE
"main"	97	"JW8"	"nStreams"	0	"right"	8	90	"M"	0	9	"P"	"False"	2	180	0	3	"KTMPSEJZIRYBLDHFGVQOXAUN"	"XZQIMYPHRGAFBUSDVJOTKELN"	"UFRJAOTEGPVDMXYIKNBQZLSH"	"ENXSJUYMRIBTPLZHGAODFQVK"	"STKOJNAHMRVXQDEBPIYZGLFU"	"EANLMXYDKZTPUJFHQBROIVSG"	"SDPERLGKNOYQXVMTFUIJAHBZ"	"IJSQEAMDKNYUTRPOZBGXHVFL"	1	12	FALSE
"main"	100	"JW8"	"nStreams"	0	"right"	8	0	"U"	0	10	"Q"	"False"	1	45	0	2	"PVXMGEJISBKYNZAUHTQFDROL"	"OHVRJGDNKPQBUYSIXAEZLTMF"	"AUGVKZBDSITPQHOJMFYNERXL"	"QFLRIYNAXKGEOHJTPDSVBZMU"	"KADJHSITVOZUBPQFXMNGERYL"	"HVSUTYXAZPBRDJOKQGLMFENI"	"IXDFQMAVYONGKRLHBEZSPJUT"	"FYQLBERIZHJGSDMVKUXOAPNT"	1	12	FALSE
"main"	101	"JW8"	"nStreams"	0	"right"	8	270	"V"	0	10	"N"	"False"	5	135	0	12	"ZEJVOXHYFKIQUNTMDPRASLGB"	"RZIOBXTLFPSEHVGUNJQKDAMY"	"ODUZQKYFBMIXTARSNVGLEHJP"	"PJDSXENOVQMYKTFAGBHRUILZ"	"QISNAPBEHRKOLXUVYFMJZGTD"	"YDTGEUKQZINMRJXFOHSABLVP"	"TXOYVGBLMJPQDFEISRKUHNZA"	"XZHVISKNDEOLTPQMFAGYBJUR"	0	22	FALSE
"main"	102	"JW8"	"nStreams"	0	"right"	8	270	"V"	0	6	"B"	"False"	6	180	0	1	"OTMHXPUVIREJQBALNZSGFKDY"	"LMGZIXBVHKTAJDSNUYEQRPFO"	"BQYXTVNGFEADHUIRPMKOLJSZ"	"IKUAJQYOPTBVZSRNXGLEFDMH"	"ATPBOXVMEIZLYGNFSKHJQDRU"	"XRLNJHUMBVGEFKQOAZYSPTID"	"IJAPKRBVNYDQFGMXUZSELHTO"	"BIYRZEJQTLSNOPDFXMGKUHVA"	0	7	FALSE
"main"	104	"JW8"	"nStreams"	0	"right"	8	315	"R"	0	10	"P"	"False"	3	90	0	1	"GHUKTXPSJFAYODNMQBVZEILR"	"REDMXSPLTFOBJNKUGVYIQAZH"	"OPSEVMIUQNJDFKBYAHTLGZRX"	"TEOKUVLBSGPRAZYDIFMXNQHJ"	"FRPALMYNVDGQUKIBTXZSJEOH"	"UOVBIGJPEALDFMTZHXYSKRNQ"	"VNRXIGUMJTLFZDEHABOPQYSK"	"PXZEVIGOATHLMNJDBYQSUKRF"	1	11	FALSE
