"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	62	"AN14 "	" oneCued "	0	" right "	8	90	"F "	0	9	"I "	0	1	0	2	"MGOPTAEURVHDNBQYILFXJSKZ"	"KGVEAYDLHIUFPTBMQSXNOJRZ"	"JRAIQXUSEPFOHDZNLTBYGKVM"	"FAXGOVPBQMHDTKJYZRUNSLEI"	"TJEUKONHXBZDYQIPSFMALVRG"	"NUZGRTQEFOVXSPJMIYHBDAKL"	"NLQYUEXRSBTVOFPJDIKGMHAZ"	"SBMOGQLAHFYXTIJUDVZNKPRE"	0	11	FALSE
"main"	67	"AN14 "	" oneCued "	0	" right "	8	270	"S "	2	9	"Q "	0	1	0	2	"TEHKYGSFONXLZMPQVIDBRJAU"	"LMEYAUNDFQTSKOVHBIPGRZXJ"	"QUYJODVHBMXPKLGSTRZNFIEA"	"YSGEFZOMRIHVALUDJBQKTXPN"	"JRFABEUPZSXDQVHKNYOLTGMI"	"JGQSDPBOLAKFNTIUMYZXERVH"	"DELHITVKNFMAQYUGORBSJZPX"	"SDZNQXAEBMLOIJHFGYVPTRKU"	0	11	FALSE
"main"	69	"AN14 "	" oneCued "	0	" right "	8	180	"V "	2	9	"D "	0	6	0	1	"EUYFSNATMZQLDVXKGIPHROJB"	"ZFYVMEKLXRBNQUGDJHPOTAIS"	"ZXOLRUAIDGVKTEJHFYSNQBPM"	"RPZOIAVGHXQMLKUFEYBJTSND"	"YDQBRVZTAEIXPHFSGOUJNMLK"	"SDOHNRAZMTQYKUIEFBXPJLVG"	"STKPIYGHZDVEQROLBMXANJFU"	"YLFZVUADJGHIXQOKPRNTSEMB"	0	10	FALSE
"main"	71	"AN14 "	" oneCued "	0	" right "	8	180	"T "	0	7	"H "	0	1	0	13	"IZULFRJBSOQEMDGTPYNVXKAH"	"UZPMJBVHNOYDQGKXLFSRTIEA"	"AFUJMQIVXHPRTBNZDEOLYKSG"	"SEPMYVRTIFUXAJHDNZGBOKQL"	"PNQSDJAIGKERZLMTYBFHVUXO"	"RUFNJGMXTLPBDKVZEQOSYIAH"	"YVBPHMKUAZRXGEJFTINSODQL"	"DLBSEAPZXGNKIHJVOFQMRUYT"	0	20	FALSE
"main"	74	"AN14 "	" oneCued "	0	" right "	8	0	"K "	0	8	"H "	0	2	0	1	"FBLMDOTVIGRZAYSUXJKHQNEP"	"VFNEHOMRSJXPZQKYITDAUGLB"	"IXUYSPALHKOETZFVRMGNDQJB"	"RZUASJLQNPBHGEITFMXYKDVO"	"YLENKJVZPFSQHXURDAMOBTGI"	"KHZXJMPIFSNYVLUGDQBOTAER"	"SZILTXPOMUKAQVNYDBEJRHFG"	"GJTHBYAMRKXONVZUDSIEPQLF"	0	9	FALSE
"main"	76	"AN14 "	" oneCued "	0	" right "	8	90	"M "	0	7	"Z "	0	2	0	-3	"ASGNJOLTVPFKDMZEURQIHBYX"	"LZMQAUJPXIFKRSYBEHGDNTVO"	"PTSHMVXZDNJIKLUFEYRBGQOA"	"VFTPLQBUYIADMKHJZROXGENS"	"SDTLVZFEYKAPUXGBNJIRQMHO"	"DJLSNHFZAQUPMVGEKOYBIRTX"	"NHYEXQPUFJASGLDMOBVKITZR"	"RVXLYUHGSNDIAKFTEPZQMBJO"	0	4	FALSE
"main"	77	"AN14 "	" oneCued "	0	" right "	8	135	"H "	0	7	"R "	0	7	0	2	"BGIELQKRDPMHSNFAJXUOVYZT"	"ATOVEJFPZXMIHGKBRUYLDNQS"	"FXGPDBAOQVLJUYMETIHKSZRN"	"BIJRHQXMAYVTFDSLEPGNUOZK"	"TSQEGZKXBRJMPAILUNFVHDOY"	"NMAKQUXZYLIRPDTVBOGSFEJH"	"IASEZKFBDJVYHPGTOMNLRUQX"	"NBVLAGKRZHJMEITUPQXOYDFS"	0	9	FALSE
"main"	78	"AN14 "	" oneCued "	0	" right "	8	225	"A "	2	8	"E "	0	7	0	2	"OTUFRQYLIXGEAJNZSHDMPVKB"	"KHFDSXVOAQNIJURGTYBEPMZL"	"OKAYUIZGPDEHTJXNRMBLSVFQ"	"TRXUEQZLIJPSDYBGKOHAFMVN"	"MBFIZUGRDTHLPNSKAVEQJOXY"	"QGFELKIHTOAUZPYRXMVNDSBJ"	"DYNVAIGMUQOHKSRFXEPLZTBJ"	"JDBNZMQKEXAYHFOLISRVGPTU"	0	10	FALSE
"main"	80	"AN14 "	" oneCued "	0	" right "	8	270	"H "	0	8	"S "	0	3	0	2	"UNDXMOGQTEILJFKZYHBRPAVS"	"RBFZQDJKAIMTXHVLPUSOGENY"	"QMTGZJEKSHVNFALBRDIUOYXP"	"JRGQTFBOSKHNPVDLZAIMXUYE"	"TUQGPLDESROFBKMHZJYNVAIX"	"BNHADZILFYJVPEOMQGRSXKUT"	"KXLIBQHUPJOFYMAVTZNRSDEG"	"UBDOMHZNYJRSFAVKEGXLITPQ"	0	10	FALSE
"main"	81	"AN14 "	" oneCued "	0	" right "	8	315	"D "	0	7	"B "	0	6	0	4	"UZRGQFNJYATELOKIPHVMXBSD"	"DGNESQAFJIXMBZVRLHKUYOTP"	"RZKVJQDIUBLPGFOHEXTASMNY"	"UDQEZNGXPOLAKJYISFTVMBRH"	"TVQGMPIJUAZODLSXBREFKNYH"	"XSENOYFDMPULJIQKABHGRVZT"	"IEFPJRMBGYZDTQXOULSNHAVK"	"ROFMPHIENBLYDJKZAUGXVSQT"	0	11	FALSE
