"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	59	"SH20"	"nStreams"	0	"right"	8	315	"Q"	0	9	"P"	"False"	6	-135	0	3	"SQBKOYVFMAZIPJRNGUHTXLDE"	"DZIYJNLHVGRTSMAOUEKQFXBP"	"NHZKQFADBRIMJYLTVXPSEUOG"	"VLNOKZGXHSIDYEMFBPRJATUQ"	"PODLURXNIAQFVZGMYEKTHBSJ"	"UVGLQKSDOTYIXZAJBPRFEMNH"	"KOJMBYATXPGDQZSRLENVHFIU"	"SKMUPQTYEXGAJHDRFNZLVIOB"	1	12	FALSE
"main"	61	"SH20"	"nStreams"	0	"right"	8	135	"J"	0	8	"G"	"False"	4	-45	0	15	"SXMJGNYOREKIAUQFZLBTHDVP"	"YONMKEVADLQBHFTRZXUISPJG"	"UQZVJIKYDHAEOLBSGTFXNRMP"	"KMHQPUFVARSBILZYGNDXOJTE"	"OAMIPLFZGUSRNQEYXDBKVTHJ"	"JDLYXZHOBSKRTGIEQVNAMFPU"	"TRBPXUKYHFAZJGSLIEVQNMOD"	"MKBPAJXYDRSGFZOEVQHTULIN"	1	23	FALSE
"main"	62	"SH20"	"nStreams"	0	"right"	8	180	"T"	0	8	"F"	"False"	0	180	0	1	"JLGUQHDRFTKNIYSBAXEPMOVZ"	"IJYHQPDSLFXBTUOGVRKZMNAE"	"KDLVSGQYXAHUOPNRTZBIFEMJ"	"DEBMQOANPJYHXIRTFZUVGKLS"	"QPYZNJGTXKLFVMSBDHRAEIOU"	"MBUIKXDNHRTOLJVPFZYEGQSA"	"VEGFZQTHUIKJYAMDLBSPNOXR"	"JKMHTFNQOPUDBRVZSEYGLXAI"	1	9	FALSE
"main"	65	"SH20"	"nStreams"	0	"right"	8	0	"E"	0	7	"N"	"False"	7	-45	0	1	"LSDORVMZGEBUXTKNJAHPYFIQ"	"OZKLHANXUMBRTYDGQVPIJSFE"	"SBFJOZURLXENKVAGHYDPQMIT"	"VROTGLQNBMEHAKJUPZDYXFIS"	"GTIJLBZSYUEKMDRPNXHFQVAO"	"SJQGAHDKIYRFTLEBMVZOUPNX"	"XIHTBKGOZMUJRDLPNEFAYQSV"	"AIKXLTBNEFGMDVYJHZQSUPRO"	0	8	FALSE
"main"	67	"SH20"	"nStreams"	0	"right"	8	0	"M"	0	9	"T"	"False"	2	90	0	3	"PNOYZMGEJKBLIXVTQFRAHDUS"	"XZEHPSITYRNMVJFLQKDGAUBO"	"VYOKDJURSTXFMQEHALGNIPZB"	"ZYQBOVEADSIFJHRKXTGLMUNP"	"NKBVXOGLUPMSIEJFAYHRZQDT"	"KSRNTYVQLFIDBJHOUGPXEZAM"	"LSQZXATPEDHIYMBUOGJFRNKV"	"RNJDBIXKLHESPMVFYAQTUZGO"	1	12	FALSE
"main"	70	"SH20"	"nStreams"	0	"right"	8	225	"B"	0	6	"B"	"True"	3	-1.40334185971e-14	0	0	"UTJEPVFKDSGZOYNHMXLAQBIR"	"UKREYBHIOLGSFMATZNPJDXQV"	"TIFLPUKYADGOMHBXNRQZESVJ"	"PLHFXQBIVZNRKEDTSOGJAYMU"	"EBPTLUDRQISFOHKXNAJYGVZM"	"HOPIZESVBQTNYJXLDAFKRGMU"	"XZMUQSKNILJPEBTYFGDARHVO"	"TPOYRKLMADXBSVJEQHFUIZGN"	0	6	FALSE
"main"	71	"SH20"	"nStreams"	0	"right"	8	315	"H"	0	10	"M"	"False"	1	-1.40334185971e-14	0	1	"KRHGIDETSQAJMUBXOZFNLYPV"	"ULXGODEPBTMHAVYRNFJZQSKI"	"SUEQIABTVOXMFRPJZNGHLYKD"	"KMHNTRSGPDEQIFYXVLUJOBAZ"	"RHFQNKEIUYPJLOGBVMDSZAXT"	"ELIZTHGPYUSVFAKMDROQJNBX"	"LTGSXZBEUMNQFOVDAPRIJYHK"	"ZFQKXEHBMRVSLUIGPYOJNTDA"	0	11	FALSE
"main"	72	"SH20"	"nStreams"	0	"right"	8	90	"S"	0	6	"O"	"False"	7	45	0	1	"QZGXNTLAIVUJOEBYHDRKPSFM"	"HYPFMGKOTVJQEBXLSZARIUND"	"VJSUTEGKAOQLNYHMXFIPZBDR"	"DZGQLHKOTFYXSRMPVAINUEBJ"	"EVJAQLPBOXYNGKIDSHMRUFZT"	"BEALYZRGDUNSPQMJTOXFIHKV"	"KGYOFTZJDQEMXBHSRNUIVALP"	"BZMJPVOSIKYUAGRHFEXLTNDQ"	1	7	FALSE
"main"	73	"SH20"	"nStreams"	0	"right"	8	45	"G"	0	8	"Q"	"False"	5	-90	0	2	"APDITKHVLOSUNBRZFEJQGYMX"	"YVIHOKJXPQZULARBENFDSGTM"	"IGLRKDQEZSYHNOVTXJFAUMPB"	"EITXAZDSMUVJBFKYPLHNOGRQ"	"BUEPNLSADOFXVTYGIQKRMZJH"	"NZDMOLJIQEGFSYXUBHRPTAVK"	"UHXDPQKGJZROIEBMSYVFNATL"	"GILURHNTXZMKSYDOFQJAVPBE"	2	10	FALSE
"main"	75	"SH20"	"nStreams"	0	"right"	8	270	"G"	0	6	"Q"	"False"	1	-45	0	3	"KPJUFYGDEOZVTBQIAMLXSRNH"	"YHSPRIQXZGLANFTJODKUBMEV"	"TNOEUZMQAHRJDSIFLGXBPVYK"	"ESTMXHVPLUIOBNJFDQAGYRKZ"	"HQYXTBEFIPURNSJDVALMGOZK"	"PAJGOQXNEZVHUBIRDFLTMYKS"	"RZFNKUJGTSPHMXDLVBAQOIYE"	"KJOQPSIXURVNMTZELDAFYHBG"	0	9	FALSE
