"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	171	"18PF6"	6	0	"R"	0	8	"L"	"False"	0	180	0	1	3	1	"IFNBADXQHRVEZMGUTPLKOYSJ"	"YJXQFHRTGMLSZONBIVAKUDPE"	"LIBSYDRTEVUPMXAQNJGKZFOH"	"SHKAYBFDLRQNVTEIJMPUZXGO"	"HFNYTXRAQUOPVJBSMLKEZGDI"	"KHBYXLUOGFPAJTDSIQNEMZVR"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	174	"18PF6"	6	0	"O"	0	10	"P"	"False"	120	120	0	0	2	8	"IQJNYUSXVAFGRHTZMKLDEBOP"	"ONLUTFKSDGPAJQEZHMYXVBIR"	"BGEIXFTHNKPQZDRUSLOAJYMV"	"AQETHUIPXGBNJMSLFOYDKVRZ"	"QGHYRZNLXABUKDOMFVIJTSEP"	"RQESYVNHUIOKGJAXLZBMTFPD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	18	FALSE
"main"	177	"18PF6"	6	1	"D"	0	6	"I"	"False"	0	30	0	0	0	1	"SJAXBNIDKGLPZMOQEUHTRYVF"	"TXPLHMKSFVBQZNOGUYIARDEJ"	"SKVPHGYTMLBNIQFJOEDUAZRX"	"VZPETHKUJDGLARYSXMIOQNFB"	"UQXBGFNLTZKDMEIOSPHJRVYA"	"OKUMSQTDBGYIHXFAEZJPLNRV"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	179	"18PF6"	6	2	"X"	0	6	"X"	"True"	0	0	0	0	0	0	"OZHQBDXNSEKLJIRPGTAMUVYF"	"XLYSVJBHTZIOAUMNGDRPFEKQ"	"UPYIFETXHBNKDSQAZVRJLOMG"	"HENTYXVKSMQDIFLGRAZJOBUP"	"KESNYUIPRMTOQADZFXHJLBGV"	"QLUETNJPIROKDAXBSYVHMZFG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	6	FALSE
"main"	184	"18PF6"	6	0	"L"	0	7	"T"	"False"	60	240	0	1	4	1	"QGMETIKPZXVYUHONRFDBSLJA"	"MFKLABIGQHOVPSYRDUTJZENX"	"GUAKBMZYJEIQLHPDTNOSFXRV"	"MSRBLZVDXTQFNPIEUKAHOJYG"	"AXRGOQVTLJHPMNKBFSYIEZDU"	"GKVRMJNBITQFAEPODULSZHYX"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	185	"18PF6"	6	2	"N"	0	8	"N"	"True"	120	300	0	1	5	0	"TFUQKSBPRJNMLVYIADOHEXGZ"	"NHMXBLROUSGEAQIJTZPVYFDK"	"ONPYDUKSTHJXBFILEGVQMZRA"	"PRFINGYOHBTZSDMELAUQVXKJ"	"UNKRBSJFAHYZLOGQTDIXVMEP"	"KDFXBTYUNREZLOQPSHAIVGMJ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	187	"18PF6"	6	2	"J"	0	7	"J"	"True"	0	0	0	0	0	0	"QRPNTIZJAHBYOKFSXUEDMVLG"	"XTOVGHIZEBRJSKPNAQMDLUYF"	"OVRKNABDQMJTGZXPFLUSHYIE"	"QOAGHVBKYRJUFITZXPDMNSEL"	"IQYXTGHJOEZVSFBNMDAULRKP"	"ZXKVQUNHRYDOSIFMTBJGLPAE"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	191	"18PF6"	6	1	"D"	0	8	"D"	"True"	60	270	0	1	4	0	"NUVRXGOKEMZBDQPSFYALHTIJ"	"TOIDHVMBRYJZAPSQNFLXEUKG"	"TPIHJEDXVFOGYRZBKANMQULS"	"RMNUSFJXBZVYQGLITEOAKPHD"	"YVLAPSIHDZOMRBUJFTENGXKQ"	"LPBXZSTORGMFVDNYEKQJIHUA"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	196	"18PF6"	6	0	"K"	0	7	"G"	"False"	60	60	0	0	1	1	"NXISZPAMUQETKJFVLDBGYHRO"	"UDFLPTBGKSOXINYZQJEVRHAM"	"LPFEKZGQMXSATIHRNVUDOYBJ"	"SLORYJNGFZABDUXIHPEQTVMK"	"XITMNVEBHGKPYFJQDRLOSAZU"	"KUTNQFVXOAESBRGZDPMHLIYJ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	203	"18PF6"	6	2	"R"	0	8	"X"	"False"	0	180	0	1	3	5	"KSQRFUZGENXLTVMBODIYPHAJ"	"BIHVXDTSOGLJNZUAYMQKFRPE"	"VLKTUFGPHBRYSZAOXMQNIDJE"	"NSGJEZLYXDAPFRVKOTUBIMQH"	"FDKOXPBRQLMAJUSGEYZTNIVH"	"JZEXPTUHSBNLIGMDQVKFYAOR"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	13	FALSE
