"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	121	"18TR1"	6	2	"S"	0	7	"G"	"False"	120	300	0	1	5	9	"HLFOYESIGABUQTXNVJZDMKPR"	"NHYOTRUZKMSQJLPIVBEAGFXD"	"MVBXTFRANLUYIEDKHZPQGSOJ"	"XIGLADZEKMUHRYJNTQPSVFBO"	"KDNQIZSOJYFLBHEVAMGXTPRU"	"MBDIUHJGYRPETFVXSZQANKOL"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	16	FALSE
"main"	122	"18TR1"	6	0	"J"	0	6	"N"	"False"	60	60	0	0	1	1	"ALNKPHSTYBQUVJEMIXFDGORZ"	"YLDKTGNJMVUEZIAORSQBFPHX"	"VHSAKOMTRIDBJLQNPUZXFEGY"	"KGRENVOMALDITBPZXHYQUSJF"	"EQAUBZKFODXIPVYGNRMJTSHL"	"ANOKGVRTBHPUJSIZLYDQMEFX"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	123	"18TR1"	6	2	"S"	0	9	"X"	"False"	0	180	0	1	3	1	"NZFAVSGRXYJOQTEIPDUMKLHB"	"ZSQGPTABFKLEMRNHVOJUXDYI"	"ZMJTUOQRDVNIBSXLGHAKYPEF"	"PYZKLAJDTXSGUOMRNFQBVEIH"	"ORJNFBGVDXPSZMUETQHAKLIY"	"YBPVDJXIOTUKASNRFZQHGMLE"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	124	"18TR1"	6	1	"G"	0	9	"U"	"False"	0	210	0	1	3	10	"JAZITXLNHKYSOUPBDRMEVQFG"	"ZIXJEPRTKUGNAVLSHQMBODYF"	"KGAPZVUHJLBYOQRTFMNIESXD"	"DVZFENXRYUQITLAPMKOGBJHS"	"MPQXIHNZRLOVSYUBDKFGATJE"	"BEJNQDUTXGSOHLRFPAYIZKVM"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	19	FALSE
"main"	129	"18TR1"	6	1	"U"	0	6	"O"	"False"	120	150	0	0	2	1	"VMYHNQUJGXRASKFBOPTLZIDE"	"ZJLHVGOEQINUKSRYMADFBXTP"	"MQNTRVOUFHPSBYAKGEIXZJLD"	"YDEVILJZFTXMSARNUBOGKHQP"	"LUPRMOZHKJSYXEVQBDFIAGNT"	"KBLEGYJVRIFNQSDPHUAMTZXO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	130	"18TR1"	6	2	"R"	0	9	"T"	"False"	60	240	0	1	4	12	"FXHDEPGOMKTYRLBANSUVZQJI"	"DSIETGBYNMHLFKQURZOAVXPJ"	"ATDQXFUYGMVBRIPENKSZLOJH"	"FNSDMBERYIQOHTJLAPZXKUVG"	"EUPNDYSFXTGIKZLOHBMJARVQ"	"PFSTOZUVAYDXHNEMBJQRKGLI"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	21	FALSE
"main"	134	"18TR1"	6	2	"X"	0	9	"K"	"False"	60	60	0	0	1	-3	"TPGYBDIZVAFMURKSENLHQXJO"	"TOADZHXIPKYVLGQUNBREMFJS"	"ZOGRLDEHUQSMITVPXKFANYJB"	"EMPZSJVNQXBFRHDAIULKOTYG"	"NBEJMTZLDGVRYIUOKXPHAFSQ"	"XAEFTOYDUSMRQVHZGPKNJLBI"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	6	FALSE
"main"	138	"18TR1"	6	1	"R"	0	7	"K"	"False"	60	270	0	1	4	3	"DUNZEPBGYXQKTSOLRHIMVAJF"	"UQRPSBYNHDTVEAFIMGLJZKXO"	"FMVDBHJEPGNQULZRTIXSYKAO"	"OPQEVKUDHSYXJFIMGARBLZNT"	"QYGPFMEKDNRVXJAULZHITOSB"	"LPXYIRHJVNEAZQUKBFOMGSDT"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	139	"18TR1"	6	1	"R"	0	8	"I"	"False"	120	150	0	0	2	1	"PDOKFYTRVQBLNAISEMZUXJGH"	"HEGLMFIBZRKYPDSXVNUJOATQ"	"ESBFHKXTIRZPMALVDUNGQYOJ"	"FLAHJOQIRMSBDYVZTKPXUGEN"	"NFYHXELKOQUSJGDBVMIZAPTR"	"AHJNPGUSVZXMYKLEROIQFTDB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	142	"18TR1"	6	0	"Z"	0	8	"Z"	"True"	120	300	0	1	5	0	"JLVZKAODRETIUMNXHSYBPQGF"	"BGJKZXQDAYMVUTSFHENIOLRP"	"DPLEGTZJVIBFAQXHKNOYMURS"	"GZPMJVTRIQAOBLDSYKHXNUEF"	"DXMUBLSJYIFEAHRPOTZVGQKN"	"ELGOMHKPZBAXJFYIQRNDTSUV"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
