"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	68	"SH20"	"nStreams"	0	"right"	2	135	"J"	0	9	"O"	"False"	6	45	0	2	"FKLJEXHNDBIATQOSVRZMGYUP"	"ORMFGKVPBANIUJSDXLYETHZQ"	"YFHGBNAZOMKXTUJRSIQVPDEL"	"MAURVHSXLIZFTKNPOEQJGBYD"	"BAEDLONJXMSZYKGQVFTPHIUR"	"UENJAYXTLDSOIQZGRMVHFPKB"	"ARLHMIPFVOXJGNKYDTQZESUB"	"UOJMAHPXGIEQTYLFRSVZNDBK"	0	11	FALSE
"main"	69	"SH20"	"nStreams"	0	"right"	2	135	"A"	0	6	"A"	"True"	6	45	0	0	"NGJFYOZREUTAMQDPVILHKBXS"	"GJHMUBSXQTNAEDZIOLRYKPVF"	"UXQABNLFTZPEORKMSDHVGJYI"	"NBSEHPJAUMZKORTIXDGQFYLV"	"ISBTGQYOLMPVRDNFZAHUEXJK"	"AFVGDBKXJEZTSPLNRIUYQMOH"	"JDPYHTAMKBNUOFRGVEZQSILX"	"TPYVXKHJSGDNZAQELBORMUFI"	1	6	FALSE
"main"	74	"SH20"	"nStreams"	0	"right"	2	90	"O"	0	7	"D"	"False"	1	135	0	1	"YVQDNSPXHGAFKIMOBZTRUELJ"	"JZRIAMGDOPSHQYTLXNVBEKUF"	"KPBZYUVADQFHLXTENSIRMGJO"	"OUVFTBQDIRHXAKMPNJGSELYZ"	"IBOPKMTNHXAEDSQZGUYVFJLR"	"LFOYGZETRUMQJDHVPXSIAKBN"	"YPTAEDLUHOISFNZXKMVGBRJQ"	"RGANOHQVMSJYZLXIFUDBETKP"	2	8	FALSE
"main"	77	"SH20"	"nStreams"	0	"right"	2	315	"L"	0	6	"L"	"True"	4	135	0	0	"PGTDZNXUYKABIFQRSMJELHOV"	"VNZUDEROFYMILSXTHKPGAQJB"	"FPAUZEHGQLBYKXJDMRVNOSIT"	"XSNMJEZGHVURFKAOITQPLBDY"	"GSHMEVLFJDRKIZUYTBPANOQX"	"HNAOQEUFTLVIMRSBKDYGZXPJ"	"JVSBZMXTDIQKGUPOFEHRYNAL"	"IDEKGOSRAVYHNLPQZUJTFXBM"	1	6	FALSE
"main"	79	"SH20"	"nStreams"	0	"right"	2	135	"K"	0	8	"H"	"False"	7	90	0	1	"VOZKQDSLGJIRABPXFHNUEMYT"	"QRTLNMDAHEUYGXPBJOIKFZVS"	"AQTKYEJHFLVNMZPBUDXISORG"	"UDTZMXYILBFRPSVHJKQGNOEA"	"EFVYQJHLPIXTZGARNMOUDKSB"	"NPBMGDIOYVKTRXZEQULFAHSJ"	"OTLHRGAVEFXNSZQDPJBYKIMU"	"IJOXSYDMHKTQZLREBAGUFNVP"	1	9	FALSE
"main"	85	"SH20"	"nStreams"	0	"right"	2	315	"I"	0	10	"N"	"False"	2	45	0	2	"BLHJDQRTAIVOSEUZNPMFGXYK"	"JGVLYKNSMFODIEHXUBZPAQTR"	"GDTFMKJEBPNYIXQARSHOZVUL"	"JPZSYNFAHOIKEMQLTVGRUBDX"	"MSTDEPJBKZQXVANHLIGYRFOU"	"QELOPGMHJIVUBTFRAYDXNSZK"	"ANIJTGRMXHYEODLQVFSUBZPK"	"VBGMLQAIEXTPHZDJYRFOUKSN"	1	12	FALSE
"main"	87	"SH20"	"nStreams"	0	"right"	2	180	"X"	0	7	"F"	"False"	3	-45	0	1	"OPSDMIQLYGUNZBKFATJHRVEX"	"ITFUADOHMENRXPYKGSVBJLQZ"	"UOIPRGFNSTZJXYMLHDABEVKQ"	"RPBOJDYFXLHKAVGUSMINTEZQ"	"JTVNXOKARYUHSGBPMQEDFIZL"	"USEPFDKHAIRLJZBMTVGNQXYO"	"XAHLFQVJTUOBZNPRDGMIEKYS"	"DIUMBRZFVLYTSNPJAHEOGQKX"	1	8	FALSE
"main"	91	"SH20"	"nStreams"	0	"right"	2	0	"O"	0	8	"O"	"True"	4	180	0	0	"YGVQKBJFOIXAHMZLSDUPRNTE"	"ATMVZHUYKODRFIBJSGXEPLQN"	"ITUSKZYENXBAHFPVJLODMQRG"	"JXHDAUTRYFLZQIGBSVMOENPK"	"VSETYMJPOKIXNFABDUQLHZRG"	"HTRLDVAZNUYXBGFOEISMKQJP"	"VHQUOJLABSRFKEGPZYTDXINM"	"OLDHRZYSXQMBTJGKNFPVAUEI"	0	8	FALSE
"main"	92	"SH20"	"nStreams"	0	"right"	2	225	"H"	0	9	"H"	"True"	6	135	0	0	"QXKOUMPTJIBDNFGYLEZVHSRA"	"NLSUHMYBFOKDIXRJQGAVZPET"	"VPZXNSROJGQDLHAIYBMTUEKF"	"GHZJSQTIDBRMXVKAYOFUNELP"	"ROFMJUIDSBQGYPZEKHXTAVLN"	"XFSDBHOPARMTZIVKNYLEJQGU"	"BPTKZXUNQHOEGIMLFDVRASJY"	"SVJGFZEUOQBTPADHXKNLYRIM"	1	9	FALSE
"main"	94	"SH20"	"nStreams"	0	"right"	2	90	"B"	0	8	"J"	"False"	5	-45	0	1	"SDOXEGQMPLUNYZFRJTHBVAKI"	"KEVIZSOTJHDRNFQBLYMAXUGP"	"JQISKHYTVUNMPEBLXDAZGORF"	"HDYRXNEPVKFGZOASIJQLUMBT"	"LGNIPKQZYHRBXATUSMOJEVDF"	"ZHPYRDKNJBXVQOUAIMSFELTG"	"MJKOFTSHDPGZANRUYBEVQIXL"	"FYMHAONLVTDBUEZXSPJQIKGR"	2	9	FALSE
