"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	146	"KH18"	"nStreams"	0	"right"	2	0	"B"	0	8	"M"	"False"	1	45	0	1	"HQLTIOGXKEJZNFAPRYBVDUMS"	"JTZEDYINMBRGKSAXHOPUFLVQ"	"QOBAZIJKSHYVTMNXFURDPEGL"	"NKLUSJHEOYQDXMAPFBTVIZRG"	"TGDJYNFSMIQXBALEVHUZOKRP"	"JTVHIUSFENOYLMXZQAGRBDKP"	"YHMVRSJBIPLZAKENODTGXQFU"	"KYBENAXVZGTUHRDMQPJSIOLF"	1	9	FALSE
"main"	147	"KH18"	"nStreams"	0	"right"	2	180	"N"	0	7	"N"	"True"	2	-90	0	0	"MVNFLYBTKHJPSXUGRDZQEOAI"	"TIPVMSNGQOHLABEJRUXKFYDZ"	"LQUXRTANMSPJGOZVFIDKYEHB"	"HVTXNLYOJASRQKBPDMUIEFGZ"	"LXTGAKZSMRIBHFNEQYUPOVDJ"	"RULZXSTIBFADYNVJQMKHPOGE"	"PMBIAKDOGHYNJFXVLQUSZERT"	"POFKGSINLYHEUDXABJZTQVRM"	1	7	FALSE
"main"	149	"KH18"	"nStreams"	0	"right"	2	180	"G"	0	9	"G"	"True"	4	-1.40334185971e-14	0	0	"BFRSVOAKJGDENHMUYPXZITLQ"	"BRDTPLUVYMANFKQIZEXGOHSJ"	"GOQZNRKFTDXYEABUMVPSJLIH"	"UMGEHXALRNDZJQFYIPTSBKVO"	"XHIZMAFPJGSTYQNEVOBULKDR"	"HXSNDBLPUEZFOIRJQYTAVGMK"	"JSIRPDYELNHBAVOFKXQUGMZT"	"IUTXNVRMEPJLAKGQZSDBHYFO"	2	9	FALSE
"main"	150	"KH18"	"nStreams"	0	"right"	2	45	"I"	0	9	"P"	"False"	5	-90	0	1	"BFMYURPVTZDOQHKSLJEGNIAX"	"APQVRDNOSBMIZTEUYJKXGLHF"	"IEKBRZVMOLGYQADXPFTUNJHS"	"BJQLMKFZUESRDHPGTNAYIVOX"	"RJOYPINXAEMFTSZBVKGDHQLU"	"GDHLERQNFPIUTYXKVAJZBSOM"	"GOFDBYMQRUNEHLTZVKAISPJX"	"SUYVHAQRPKXFDOLIBNZGJMTE"	1	10	FALSE
"main"	154	"KH18"	"nStreams"	0	"right"	2	315	"K"	0	10	"I"	"False"	1	-1.40334185971e-14	0	1	"PIRKXMTOFLUYEVSZBQGNDAHJ"	"BQJXVAEUYPIKZDRFLSOHGNMT"	"DSOZPQVLTBMJGUAYRFEIHNXK"	"USQZBADONLJFYMPRETHGXVIK"	"ORFAPMHVGBJLXDSUKQZNEYTI"	"NLPMDZBSAXITYHJROVEGUFKQ"	"OHSEKMJIRABTDYLXQVZUPFNG"	"RGJESMOTXHAVKQDNZUBYLIPF"	2	11	FALSE
"main"	156	"KH18"	"nStreams"	0	"right"	2	315	"S"	0	7	"J"	"False"	6	-135	0	1	"IATBUOZGHPMFRNEXLJVQSKYD"	"MZVLJYBRODSHPEIFAKUNQXTG"	"JPXMGURLHZQNTOIVKDSEAYBF"	"LEGTUVPIYXMDFRZAHNBOQSJK"	"MUVXTAONBRHDSILFZPJEGYQK"	"ZITLOHEBDJFGSNKYPAMQXVUR"	"MLUFHQAJSOPREXVNTKIDYZBG"	"OPQSBGJNIZYRKLVDTHEAFUMX"	2	8	FALSE
"main"	159	"KH18"	"nStreams"	0	"right"	2	90	"K"	0	8	"X"	"False"	1	135	0	-5	"SDMLUKFOPYXBHGNJRTZAVEIQ"	"MVQKGNABXFIRPLSZYOEUTHJD"	"DOTVFKXBEGQMZHASLPJIUNRY"	"AGQKXPESMUNOTJYHVFBZDILR"	"LIQVFYKUDMXRHGNABJEPSZTO"	"VOTKJHZSBLQAYRXUMPFNGIED"	"HTXPGLSYKQIDMJARFONVBZEU"	"SQHKMZORAFVTGDYPIBLJXUEN"	1	3	FALSE
"main"	162	"KH18"	"nStreams"	0	"right"	2	90	"Y"	0	10	"B"	"False"	3	-135	0	1	"FJZUOGYAVRBDMILHSNEQXKPT"	"TBHRJNXLQZFESDAMIVKYGUPO"	"LXTMPIZSYURBVHODGEJKFQNA"	"MHLSOTNDERBYIPAFQXKJVZGU"	"QPRJFBHLKYMDZNIEAVTGXOSU"	"QENSGUJMZBIVKFXRHYLDTPOA"	"RKMGPDAUBHLSXOIJTEYZFVQN"	"MZJGUOXABQPDYTIVHRFELSNK"	1	11	FALSE
"main"	166	"KH18"	"nStreams"	0	"right"	2	0	"Y"	0	7	"H"	"False"	3	135	0	1	"QSETHXYKBONZMPRJLVAFGUID"	"LRDHGVXUJABTQSOFKINEYPZM"	"UFQTZEAPDJHSGLORMXYNKVBI"	"VIEZPNOHYMXBTJGDQFSKURLA"	"OAEQZIDKRHNSGTYVMXJBPUFL"	"ZXAFIUESGVMKBTJYLNDPHQOR"	"YIHDJEBKOXVRUTZGPANQLMFS"	"ZINEPSKJMDXUOGTBYRFLVAQH"	2	8	FALSE
"main"	167	"KH18"	"nStreams"	0	"right"	2	180	"L"	0	6	"L"	"True"	0	180	0	0	"MRYTJELGDKASHQVZBPFOXUNI"	"KTMISYDQAGORFPBELHUZXNJV"	"TQLXRZSFPDYNBIEHOKGUAVMJ"	"GBAYFIRZPJDHQNXEUKTLOMVS"	"LSMVTEGAQNHUIZDXPJRKBFYO"	"ENXKOUIDLZMFSYABPQVTJRHG"	"XFINEJPYHDUAVZGQLTORMBSK"	"BQYRKUGTVNFXMHAJEDPOZLIS"	2	6	FALSE
