"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	72	"AJ7 "	" oneCued "	0	" right "	8	0	"S "	2	6	"R "	0	4	0	1	"ALODHSFMRVZTINPQEXYBUJKG"	"RLDMFNXAPZUJBTYOKHQVIGES"	"UPVBGOFMKZIADXLRTEJQSNYH"	"LKPNXMRYGFIOZSUJABVTQHED"	"FVLOMYRSJBUQKANDIXTPHEGZ"	"XYZHBJKTQOGFUEINADVSPLMR"	"ZTVBONMGKFIDRUEYHLJPSAQX"	"MRFXLESTAUQBKVIOYJZHPGDN"	0	7	FALSE
"main"	80	"AJ7 "	" oneCued "	0	" right "	8	45	"A "	2	10	"A "	1	7	0	0	"HMSLBDOXKGQENRFIVYPJUZAT"	"ZNKVBIGRSFMAXUHPLEYOTQJD"	"YDUMHGOQIRFZVXTSBPANJLEK"	"ZJADUPXMSLGFVORYBTNKEIQH"	"BQURLGTKNIHDJXZFOEVAPSYM"	"ZUNOSAKEQBHFIDVXYGJTPMRL"	"LAPBUZKRTJXFGSOYNVMHQEDI"	"FEYILVHQUNADXZROPBTSMJKG"	0	10	FALSE
"main"	84	"AJ7 "	" oneCued "	0	" right "	8	315	"X "	2	6	"X "	1	4	0	0	"ADOFVYNQKEIPLGJSZXHTMUBR"	"UYNSTOJRLKQXDHIZVBEAGPMF"	"GRUDOZJVTSFNBLYQPIEXMAHK"	"JNTUFVQGBZMEASIRYDPLKXHO"	"FEOSAQXLTUNYRBHIZGPJKVDM"	"YGDEZQTBPVFKLSXJMIROAHNU"	"TQZDGVLNRYKXMPEUISFJOHAB"	"UTASPRXEHJVFZYKGMLIDBQNO"	0	6	FALSE
"main"	85	"AJ7 "	" oneCued "	0	" right "	8	0	"L "	2	7	"U "	0	0	0	1	"ERBQKMJULTGOXNYAFIDPVSZH"	"UPBVLHZMGSYTIQAJDOKNERFX"	"UBDKRMESQXHALIVZYOJFNGPT"	"GYLHRFZUPIAKXJMVOTNEDBQS"	"YPIQFXSJNVKAMBGHEUROZTDL"	"HYNGEDUFBXQVZSPKJTMOLAIR"	"SOLAQRHXYTGJNBFIZMPEVUDK"	"XBKLGFTHJYQENDVPIZMROASU"	0	8	FALSE
"main"	93	"AJ7 "	" oneCued "	0	" right "	8	225	"H "	2	8	"F "	0	7	0	3	"RBMVNOXADHQPESKGLTUYZIJF"	"ZBTFDOLMVHRXIENAYKJUSPQG"	"LBZFASJYKNTDGPHEQMOXRUVI"	"VYFDRAJIKBGXZNTEOQMHSPUL"	"LRKZDXYSBPQHUOGEFINJAVMT"	"LRPSEJTUOVBAFXHKMYGQNZDI"	"BLQUNKMEVADZHIFGOJYTXPSR"	"GOLYKAEPFTMHRXVISNJDQBUZ"	0	11	FALSE
"main"	94	"AJ7 "	" oneCued "	0	" right "	8	90	"P "	2	8	"B "	0	3	0	2	"HDAOIVKYGQUEZFTPJMBRXLNS"	"SXLRDKNYAIZQBEHFVOMPJTGU"	"JDRLMETIZKOGVSQNPFUBYAHX"	"RANIXDKFBYPGTSJVEOHMZQLU"	"ZNTHKRUYJXMDOFVPQLEIGBSA"	"PKOUFQVMGBXLZYAJRIETNSHD"	"SYQIXFMPBHZNLJKRUEAGVTOD"	"GNQATKZEJLRBXIFDOSHYVMPU"	0	10	FALSE
"main"	95	"AJ7 "	" oneCued "	0	" right "	8	225	"Y "	2	10	"Y "	1	5	0	0	"NBZHGDRSMUJTYVEXPIKQLOFA"	"PYKDHBTEXALJUZOVFIQRSMNG"	"FOIJTVDUBYRZLSHAGNPMQKXE"	"TBDMLVKZEANFUJOPIGHSXYRQ"	"OLVYIQRJHGAPTKMFZNDXEBUS"	"HNFBLGVJQKYRUEOPMZDTASXI"	"ETLPJQUNVZMRIYOHAGFKXBSD"	"DKQYHTGONBUXMASPEFZLVIJR"	0	10	FALSE
"main"	102	"AJ7 "	" oneCued "	0	" right "	8	180	"Z "	2	10	"S "	0	0	0	1	"XPMQDYFEVJSZKHBOLAIGRTNU"	"VGZJKHEOFNTPQDRSLYMUIBXA"	"YLGSTKQVDBMJEOUHRAFXPZNI"	"PVYDSIEQRZXATBMJUHKFNLOG"	"MSOYLTBGQZIPKXUHFDNAVERJ"	"TMDOLENJUKIZFBQHXSVGYRPA"	"VDAGEHJBPSKMFIRXUTOQNYZL"	"ZHTAMRIYVDGBXPNQJULFSEKO"	0	11	FALSE
"main"	107	"AJ7 "	" oneCued "	0	" right "	8	270	"N "	2	9	"G "	0	5	0	2	"UXBMOLHSITADGJFQNKEYZPVR"	"YTIQGFVAOPULMDSHEBKNXJRZ"	"UDOQGIPEXLHJRYBZTMNASKFV"	"INJRDESMGAVXHTFQKYULPZBO"	"KVJTAQZUYIRFPNOXEMHLGDBS"	"ZQYITDXJHGONFMLSBVRAPUKE"	"BYQTEZVUIJGASFPKOLHRMXND"	"QDINJRHUYPSBKGOFVELZAXMT"	0	11	FALSE
"main"	108	"AJ7 "	" oneCued "	0	" right "	8	180	"B "	2	9	"B "	1	7	0	0	"QGKDJPFVBHUALSEONRXIMZYT"	"VFGAJERTYPHLBKSZMDQXNOUI"	"UXHQOEKGLBVMDNYTIPJZRFSA"	"KEVTFLINYSQPDUHROBAZJXMG"	"DGBHMLNPQJVRTFYKIUASZXOE"	"PUYASMBLTDFEXNKIJVZHGROQ"	"HSXUIQATJLRMZYKBVDEPONGF"	"IUAPJRONQBESMZXHYGDTFKLV"	0	9	FALSE
"main"	109	"AJ7 "	" oneCued "	0	" right "	8	45	"O "	2	10	"H "	0	4	0	1	"KPBOMLJATYVZSFUGERIDHQNX"	"DOVKUPFNMGRHAZYBSQJTXIEL"	"TBRMAPFKNQVHEUSDXIOYLJGZ"	"GPYOXTKZIFRLVJSMQDENUAHB"	"RVPDYMBXSJHOLUEKNFIAGZTQ"	"SLFEUVPNMBTDGQKORZAIJYHX"	"BYNOPJLEFRTKHZDUAIMGVXSQ"	"ZQNKPHLSMTOFBIGDRYEAVXUJ"	0	11	FALSE
"main"	112	"AJ7 "	" oneCued "	0	" right "	8	45	"H "	2	7	"V "	0	4	0	1	"QPEKBNZXGYSVMDRTOUAILFHJ"	"DNBRAXKTFPLQHEOUSVJZGMYI"	"GEQKVZAPINXRTJFBHLMDUSOY"	"DNGSTHVPFZXOEIJMKYURBALQ"	"ZABOXLJVHRGTKYMESNPUDQIF"	"XTFROKYISPVHDBZGNJUALMEQ"	"JHXGADUMTLPYIFREVQONSZKB"	"NXPHLYDRKZTFUMJGOQSABVEI"	0	8	FALSE
"main"	114	"AJ7 "	" oneCued "	0	" right "	8	0	"S "	2	8	"L "	0	0	0	1	"AUBKQFZTLSJEMDNVXRIOGPHY"	"VHXIGAONSPTJFBDLYKERQZMU"	"OKAJIRMSYEVLBQZPXUTNDGHF"	"FOMJYRKTZHENLUIQXBGADPVS"	"VUYLNRSAFKDBGZJHEMQXPTOI"	"FKHRDYQPGEONLZMUXISVATJB"	"ELDATKNPJIMZUSVFBYORQHXG"	"ODQMTEGFASUPLXZIVHNBRYKJ"	0	9	FALSE
