"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	102	"JA8 "	" oneCued "	0	" right "	8	315	"O "	2	9	"X "	0	4	0	-9	"KFIAMNTYZRPVXBJOLEUQDGSH"	"FXISDVLZPEBGMYRHNAKTJOQU"	"YGVAFIHLJBKDRMZNQUOTSPEX"	"MUTYKGFJXBILVZRHSDAEQPNO"	"ONLSHJRFDXQVUZAITKGMYPEB"	"VPUFXAKORDMYZTSIQEBHNLJG"	"ULEOKSHMJPZBVRAFXYTNIQGD"	"XZVYPIDTUAQESFLJNMGKRBHO"	0	0	FALSE
"main"	106	"JA8 "	" oneCued "	0	" right "	8	45	"I "	2	9	"F "	0	6	0	1	"KYTPURMHVZSEJDGFXQLAINOB"	"DOXEURNQAKYIBTMVLSPJGZFH"	"HLNYPKXTQGROMVZBSIUEFDAJ"	"LKZYMXNGQAIDVHJUBOFTRPSE"	"XJPALZRTIGOKEVFUYMSBHDNQ"	"FVXHLPUDQYORTNGMBSAIEKJZ"	"XLEYNORTVFIMUDBGSPQJZKAH"	"ZOAXUVMEKQNFHRILTGSYJBPD"	0	10	FALSE
"main"	108	"JA8 "	" oneCued "	0	" right "	8	225	"N "	2	9	"Q "	0	2	0	1	"SXPJDETUKAINGVRLOYQHFBZM"	"QXVEPUYKBFIZNGLDTSORHMJA"	"JIAZEOYGDQNLKFUBSRMHVXPT"	"ZQFSKVGDEIUMXYAONJRLHBTP"	"YAVSDFOLPKUGBITHMNERZXJQ"	"PATUNVSJIQFDROBLEYHXKZMG"	"DUKIXYFVJAPHSEGOBRMLQTZN"	"LBENAZSHRFUJXMDOIQTVKYGP"	0	10	FALSE
"main"	111	"JA8 "	" oneCued "	0	" right "	8	0	"S "	2	9	"T "	0	3	0	1	"VZJNSTYHRPIGUMELXAKFOBDQ"	"NMAQSHPEFRXYGIVZKLBUODJT"	"QBIDKFYNHZPRTEUAOXVMLJSG"	"MUQIDAKBPTSRVEYFNXZOJLGH"	"VQJEHXSZBKGLFORIPAUDNTMY"	"QHLZUTMGYFPEVNBRSXADJIOK"	"AGRNOHFVZBJLTKIQEPYXUMDS"	"FBYAPGXHVIUQZRLESDJOTKMN"	0	10	FALSE
"main"	124	"JA8 "	" oneCued "	0	" right "	8	315	"E "	2	7	"V "	0	7	0	1	"VXBYAFRMSGPOZTLQDNJUEIKH"	"MSBOXHQIGAZFYRUEVJDNPTLK"	"MBEUTQZFONADSILGKXPRVYJH"	"TIVRUSQMJDEHANPFBKZGYOLX"	"JEVYUHPKLTDQNAROFBSXZIMG"	"FZNEKUJLOTRGMBIYVADPSHXQ"	"AZIHSMRPUBDGFKYVXEQTLOJN"	"GNARIFLVEZHKQPBYOMXSUDTJ"	0	8	FALSE
"main"	143	"JA8 "	" oneCued "	0	" right "	8	0	"J "	2	7	"J "	1	0	0	0	"BLMTKXAJUNEPHYDRQSZGFVOI"	"KGMAXDVSNULPZHJBIFOTYQRE"	"JDEIOZPNFQVGUBHTRAKSXLYM"	"HKARVSEGTUXBYMPILJDQONFZ"	"TLZRJXHNPOKFQUEGVSADYBMI"	"AKVNSYRQIXMBEFZGOPUJDHLT"	"ORTYLQSPFZXBDAGVHUJNEKMI"	"IYAFMOGDLURPKXNSTZBVEJQH"	0	7	FALSE
"main"	145	"JA8 "	" oneCued "	0	" right "	8	180	"Z "	2	10	"S "	0	0	0	1	"PNDQYLIVRFSZXAGKHUMOTBEJ"	"EVBNRTFGQLJIPAHKXSMDYOZU"	"LFYJTVPKHRZUQOSIXDBEAGMN"	"PRADNTKMGIQVBJEFLYHUSZXO"	"QGKTOAPUYEMLJIHBZSRVXNDF"	"SBZREHVDKAXNQGFOYJPIULMT"	"ORXSYDAJGTMUFEZPLQBNHVIK"	"KYFPJMRNXHEQUZAOISVGTLDB"	0	11	FALSE
"main"	166	"JA8 "	" oneCued "	0	" right "	8	135	"S "	2	10	"G "	0	0	0	1	"TLUDXOJEFQGSIKHZBRYPMVAN"	"BARPEHZTMYXILNFGDVUQSOKJ"	"ERYUOVXMDIHBPKSALJNTFGZQ"	"AJIGLFBVNDZPHEKTSXQUYOMR"	"MYEIKHXORJVZSPDGQUFNLTAB"	"TEAKBRMJIZGLUQSYHDVPONFX"	"OKSGUQXLIHFYNEDZTAPMJVBR"	"KXNSJOMYZVLERFTUAPDHBGIQ"	0	11	FALSE
"main"	167	"JA8 "	" oneCued "	0	" right "	8	180	"E "	2	9	"E "	1	4	0	0	"RNFLSMKJQIOZHDGYPUETBAVX"	"KBMHOURXPNGADYIVTJFZSEQL"	"YMUOBXGAPSEFVDHIRJKZLTNQ"	"VMXZJNKFLSIHOYRABQDUTEPG"	"VFLOSIUYQEJRGTBNZDKPAXHM"	"FNIHURTXMOPVSBDEZYKAJLGQ"	"UFZTJBKMDXAYHSILNPRQVGOE"	"GOHFPEBQIXTZSRYNMLAKJDUV"	0	9	FALSE
"main"	168	"JA8 "	" oneCued "	0	" right "	8	315	"S "	2	10	"S "	1	5	0	0	"HITEJLXDASBGQKZFYVURONMP"	"OAQSXHJEKGBFRZUTVMYPDNIL"	"XYJZPUEOSMQNHKTVDRIGFALB"	"MDEFGUIAQHTJVBPSKNYLXRZO"	"HBXLJAQOZNVYMIEGRKDTSPUF"	"EFHTDJKBULSNXYPQROVZMAGI"	"XTFEBYQGDHNJMRVOSUIPLZAK"	"MUEJFQTHSVORLZXNBPAIDYGK"	0	10	FALSE
