"","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate"
"105",1,0.5,1.2,6,0.597574905334967,0.976269031755414,1.34925805010322
"106",1.5,0.5,1.2,6,0.455996777661467,1.57355287887509,1.16078560152521
"107",1,1,1.2,6,1,1.19016929598744,1.15330136502295
"108",1.5,1,1.2,6,1,1.45998396962318,1.06044027127665
"109",1,0,0.6,7,0,NA,NA
"110",1.5,0,0.6,7,0,NA,NA
"111",1,0.5,0.6,7,0.517208671051127,0.922276500346765,0.661780920431623
"112",1.5,0.5,0.6,7,0.533464951359667,1.46754616434172,0.651153957441173
"113",1,1,0.6,7,1,1.02112692808185,0.56540477438101
"114",1.5,1,0.6,7,1,1.55926203025408,0.601404657788722
"115",1,0,0.84,7,0,NA,NA
"116",1.5,0,0.84,7,0,NA,NA
"117",1,0.5,0.84,7,0.554957448326361,1.04738715791042,0.803612943657356
"118",1.5,0.5,0.84,7,0.548891300315941,1.39058369558994,0.834428144268543
"119",1,1,0.84,7,1,0.904901641539144,0.896212426541454
"120",1.5,1,0.84,7,1,1.45990260364426,0.833893572306057
"121",1,0,1.2,7,0,NA,NA
"122",1.5,0,1.2,7,0,NA,NA
"123",1,0.5,1.2,7,0.491118160792102,0.899764822920865,0.784338704657027
"124",1.5,0.5,1.2,7,0.486994864834728,1.29615111787145,1.04952630471958
"125",1,1,1.2,7,1,1.09962073854573,1.1860758546767
"126",1.5,1,1.2,7,1,1.48985460468077,1.26393539115665
"127",1,0,0.6,8,0.134958078147114,-1.03956115375083,1.38300680966561
"128",1.5,0,0.6,8,0,NA,NA
"129",1,0.5,0.6,8,0.546258653092929,0.897563804170067,0.594072155939359
"130",1.5,0.5,0.6,8,0.460617249111681,1.50733875465306,0.566308806184469
"131",1,1,0.6,8,1,1.00951099544657,0.599177465968061
"132",1.5,1,0.6,8,1,1.47946579862565,0.636252267160405
"133",1,0,0.84,8,0,NA,NA
"134",1.5,0,0.84,8,0,NA,NA
"135",1,0.5,0.84,8,0.465154722507593,0.951621383340577,0.904749982355399
"136",1.5,0.5,0.84,8,0.483923590073395,1.54053895880764,0.764514851991234
"137",1,1,0.84,8,1,0.914354810059915,0.863626161252614
"138",1.5,1,0.84,8,1,1.51443684256405,0.779337187253423
"139",1,0,1.2,8,0,NA,NA
"140",1.5,0,1.2,8,0,NA,NA
"141",1,0.5,1.2,8,0.510492766311273,1.04816668507765,1.02247231577959
"142",1.5,0.5,1.2,8,0.501839697897607,1.49607778765113,1.19865217918591
"143",1,1,1.2,8,1,0.86481732995389,1.20138234339404
"144",1.5,1,1.2,8,1,1.51996472930064,1.19827064114579
"145",1,0,0.6,9,0,NA,NA
"146",1.5,0,0.6,9,0,NA,NA
"147",1,0.5,0.6,9,0.537888887682895,1.14619323625133,0.728224502494277
"148",1.5,0.5,0.6,9,0.483183844987845,1.59183229376075,0.574561133943081
"149",1,1,0.6,9,1,1.05909974020716,0.659885838955487
"150",1.5,1,0.6,9,1,1.45542179545877,0.585417549789152
"151",1,0,0.84,9,0,NA,NA
"152",1.5,0,0.84,9,0,NA,NA
"153",1,0.5,0.84,9,0.515448257852104,1.10804264981754,1.04749706746399
"154",1.5,0.5,0.84,9,0.469597360020773,1.67949977735809,0.681055157291051
"155",1,1,0.84,9,1,0.900236210299278,0.822115043087351
"156",1.5,1,0.84,9,1,1.4751196069096,0.874304380056606
"157",1,0,1.2,9,0,NA,NA
"158",1.5,0,1.2,9,0,NA,NA
"159",1,0.5,1.2,9,0.601028376082136,0.801396008135549,1.0923451363678
"160",1.5,0.5,1.2,9,0.607538389057311,1.37468011581667,1.19229077277968
"161",1,1,1.2,9,1,0.920091892576906,1.25721935578038
"162",1.5,1,1.2,9,1,1.47505145180621,1.21061745109348
"163",1,0,0.6,10,0,NA,NA
"164",1.5,0,0.6,10,0,NA,NA
"165",1,0.5,0.6,10,0.451104053576065,1.00569004440702,0.547116619787317
"166",1.5,0.5,0.6,10,0.503110659073707,1.37412433366581,0.676799316868239
"167",1,1,0.6,10,1,1.03533555976083,0.590708136755926
"168",1.5,1,0.6,10,1,1.52470255117338,0.55951724331949
"169",1,0,0.84,10,0,NA,NA
"170",1.5,0,0.84,10,0,NA,NA
"171",1,0.5,0.84,10,0.606893912828416,0.975940803993523,0.772171896417963
"172",1.5,0.5,0.84,10,0.575096642340841,1.50576240674156,0.824830708413136
"173",1,1,0.84,10,1,0.9848453722827,0.889669623606416
"174",1.5,1,0.84,10,1,1.5402077183446,0.778381569962865
"175",1,0,1.2,10,0,NA,NA
"176",1.5,0,1.2,10,0,NA,NA
"177",1,0.5,1.2,10,0.58852574137076,0.761892620482628,1.14199384746457
"178",1.5,0.5,1.2,10,0.571410268965371,1.67422549877779,1.39833435111516
"179",1,1,1.2,10,1,1.12514764978247,1.14279598492439
"180",1.5,1,1.2,10,1,1.59483802226735,1.09417003597641
