"xDomain","p","participant","condition"
-9,1,"18PF6",2
-8,1,"18PF6",2
-7,1,"18PF6",2
-6,0.9344,"18PF6",2
-5,0.8633,"18PF6",2
-4,0.6697,"18PF6",2
-3,0.9692,"18PF6",2
-2,0.2693,"18PF6",2
-1,0.0027,"18PF6",2
0,0,"18PF6",2
1,0,"18PF6",2
2,0.8653,"18PF6",2
3,0.9708,"18PF6",2
4,1,"18PF6",2
5,1,"18PF6",2
6,1,"18PF6",2
7,1,"18PF6",2
8,1,"18PF6",2
9,1,"18PF6",2
-9,0.5056,"18PG8",2
-8,0.7412,"18PG8",2
-7,0.8689,"18PG8",2
-6,0.7459,"18PG8",2
-5,1,"18PG8",2
-4,0.8596,"18PG8",2
-3,0.9668,"18PG8",2
-2,0.6549,"18PG8",2
-1,2e-04,"18PG8",2
0,0,"18PG8",2
1,0,"18PG8",2
2,0.0068,"18PG8",2
3,1,"18PG8",2
4,0.6545,"18PG8",2
5,0.9667,"18PG8",2
6,0.9683,"18PG8",2
7,0.9684,"18PG8",2
8,0.9683,"18PG8",2
9,1,"18PG8",2
-9,1,"18RC3",2
-8,1,"18RC3",2
-7,1,"18RC3",2
-6,0.5452,"18RC3",2
-5,0.9748,"18RC3",2
-4,0.6882,"18RC3",2
-3,0.6935,"18RC3",2
-2,0.063,"18RC3",2
-1,0.0029,"18RC3",2
0,0,"18RC3",2
1,0,"18RC3",2
2,0.466,"18RC3",2
3,0.8724,"18RC3",2
4,1,"18RC3",2
5,1,"18RC3",2
6,1,"18RC3",2
7,1,"18RC3",2
8,0.8739,"18RC3",2
9,1,"18RC3",2
-9,1,"18RN",2
-8,1,"18RN",2
-7,0.8798,"18RN",2
-6,0.3189,"18RN",2
-5,0.9711,"18RN",2
-4,0.2872,"18RN",2
-3,0.9737,"18RN",2
-2,0.0263,"18RN",2
-1,0.0657,"18RN",2
0,0.2821,"18RN",2
1,0,"18RN",2
2,0,"18RN",2
3,0.2812,"18RN",2
4,0.8751,"18RN",2
5,1,"18RN",2
6,1,"18RN",2
7,1,"18RN",2
8,0.6883,"18RN",2
9,0.9745,"18RN",2
-9,0.4816,"18TM5",2
-8,0.1653,"18TM5",2
-7,1,"18TM5",2
-6,0.9399,"18TM5",2
-5,1,"18TM5",2
-4,0.6778,"18TM5",2
-3,1,"18TM5",2
-2,0.1276,"18TM5",2
-1,0.8595,"18TM5",2
0,0,"18TM5",2
1,0,"18TM5",2
2,0,"18TM5",2
3,0.4487,"18TM5",2
4,0.9673,"18TM5",2
5,0.8585,"18TM5",2
6,1,"18TM5",2
7,0.9712,"18TM5",2
8,0.9693,"18TM5",2
9,0.9692,"18TM5",2
-9,1,"18TR1",2
-8,1,"18TR1",2
-7,0.9511,"18TR1",2
-6,0.7615,"18TR1",2
-5,0.9942,"18TR1",2
-4,0.5707,"18TR1",2
-3,0.3944,"18TR1",2
-2,0.0011,"18TR1",2
-1,0,"18TR1",2
0,0,"18TR1",2
1,0,"18TR1",2
2,0.3939,"18TR1",2
3,0.9642,"18TR1",2
4,0.994,"18TR1",2
5,1,"18TR1",2
6,0.9931,"18TR1",2
7,1,"18TR1",2
8,1,"18TR1",2
9,0.8779,"18TR1",2
-9,1,"18WN",2
-8,1,"18WN",2
-7,1,"18WN",2
-6,0.9424,"18WN",2
-5,0.6826,"18WN",2
-4,0.8706,"18WN",2
-3,0.2655,"18WN",2
-2,0.2812,"18WN",2
-1,0,"18WN",2
0,0,"18WN",2
1,0,"18WN",2
2,1,"18WN",2
3,0.8694,"18WN",2
4,0.9725,"18WN",2
5,0.9748,"18WN",2
6,1,"18WN",2
7,0.973,"18WN",2
8,1,"18WN",2
9,1,"18WN",2
-9,1,"18AH2",6
-8,0.751,"18AH2",6
-7,1,"18AH2",6
-6,0.9461,"18AH2",6
-5,1,"18AH2",6
-4,0.9758,"18AH2",6
-3,0.2855,"18AH2",6
-2,0.4788,"18AH2",6
-1,0.0029,"18AH2",6
0,0,"18AH2",6
1,0,"18AH2",6
2,0.2864,"18AH2",6
3,0.9752,"18AH2",6
4,1,"18AH2",6
5,1,"18AH2",6
6,1,"18AH2",6
7,1,"18AH2",6
8,0.9706,"18AH2",6
9,1,"18AH2",6
-9,1,"18GL7",6
-8,0.7443,"18GL7",6
-7,1,"18GL7",6
-6,0.9368,"18GL7",6
-5,0.8633,"18GL7",6
-4,0.6783,"18GL7",6
-3,0.864,"18GL7",6
-2,0.9686,"18GL7",6
-1,0.861,"18GL7",6
0,5e-04,"18GL7",6
1,0,"18GL7",6
2,0.0068,"18GL7",6
3,0.867,"18GL7",6
4,1,"18GL7",6
5,0.8645,"18GL7",6
6,0.8626,"18GL7",6
7,1,"18GL7",6
8,0.682,"18GL7",6
9,1,"18GL7",6
-9,0.486,"18HB9",6
-8,1,"18HB9",6
-7,0.8805,"18HB9",6
-6,0.9398,"18HB9",6
-5,0.9723,"18HB9",6
-4,0.8707,"18HB9",6
-3,0.6902,"18HB9",6
-2,1,"18HB9",6
-1,0.4664,"18HB9",6
0,0.0097,"18HB9",6
1,0,"18HB9",6
2,0,"18HB9",6
3,0.1358,"18HB9",6
4,0.4736,"18HB9",6
5,0.9767,"18HB9",6
6,1,"18HB9",6
7,1,"18HB9",6
8,0.874,"18HB9",6
9,0.8786,"18HB9",6
-9,1,"18JC",6
-8,1,"18JC",6
-7,1,"18JC",6
-6,0.7719,"18JC",6
-5,1,"18JC",6
-4,0.9717,"18JC",6
-3,1,"18JC",6
-2,0.4589,"18JC",6
-1,0.6808,"18JC",6
0,0.0021,"18JC",6
1,0,"18JC",6
2,0,"18JC",6
3,0.6796,"18JC",6
4,0.6756,"18JC",6
5,1,"18JC",6
6,0.9704,"18JC",6
7,1,"18JC",6
8,0.9723,"18JC",6
9,0.9718,"18JC",6
-9,0.5288,"18JG",6
-8,0.758,"18JG",6
-7,0.3588,"18JG",6
-6,0.948,"18JG",6
-5,1,"18JG",6
-4,1,"18JG",6
-3,1,"18JG",6
-2,0.9729,"18JG",6
-1,1,"18JG",6
0,0.0095,"18JG",6
1,0,"18JG",6
2,0,"18JG",6
3,0.9714,"18JG",6
4,0.7009,"18JG",6
5,0.9731,"18JG",6
6,1,"18JG",6
7,0.9764,"18JG",6
8,0.7004,"18JG",6
9,1,"18JG",6
-9,0.5274,"18LS4",6
-8,0.7492,"18LS4",6
-7,1,"18LS4",6
-6,1,"18LS4",6
-5,1,"18LS4",6
-4,1,"18LS4",6
-3,0.8517,"18LS4",6
-2,0.6616,"18LS4",6
-1,0.9662,"18LS4",6
0,0.002,"18LS4",6
1,0,"18LS4",6
2,0,"18LS4",6
3,0.9687,"18LS4",6
4,0.8555,"18LS4",6
5,0.9687,"18LS4",6
6,0.9681,"18LS4",6
7,0.9672,"18LS4",6
8,1,"18LS4",6
9,0.9685,"18LS4",6
-9,1,"18PF6",6
-8,1,"18PF6",6
-7,1,"18PF6",6
-6,1,"18PF6",6
-5,1,"18PF6",6
-4,1,"18PF6",6
-3,0.4502,"18PF6",6
-2,0.8593,"18PF6",6
-1,0.0065,"18PF6",6
0,0,"18PF6",6
1,0,"18PF6",6
2,0.8539,"18PF6",6
3,0.4455,"18PF6",6
4,0.9696,"18PF6",6
5,0.9706,"18PF6",6
6,0.9706,"18PF6",6
7,0.9699,"18PF6",6
8,0.9689,"18PF6",6
9,1,"18PF6",6
-9,1,"18PG8",6
-8,0.7386,"18PG8",6
-7,1,"18PG8",6
-6,1,"18PG8",6
-5,0.4612,"18PG8",6
-4,1,"18PG8",6
-3,0.8618,"18PG8",6
-2,0.6818,"18PG8",6
-1,0.059,"18PG8",6
0,0,"18PG8",6
1,0,"18PG8",6
2,0.2616,"18PG8",6
3,0.8633,"18PG8",6
4,0.968,"18PG8",6
5,1,"18PG8",6
6,0.9687,"18PG8",6
7,0.9708,"18PG8",6
8,0.8646,"18PG8",6
9,0.6839,"18PG8",6
-9,1,"18RC3",6
-8,1,"18RC3",6
-7,1,"18RC3",6
-6,0.7685,"18RC3",6
-5,1,"18RC3",6
-4,1,"18RC3",6
-3,0.9692,"18RC3",6
-2,0.8571,"18RC3",6
-1,0.2575,"18RC3",6
0,0,"18RC3",6
1,0,"18RC3",6
2,0.1232,"18RC3",6
3,0.4599,"18RC3",6
4,0.8584,"18RC3",6
5,0.6633,"18RC3",6
6,1,"18RC3",6
7,1,"18RC3",6
8,0.9693,"18RC3",6
9,0.9702,"18RC3",6
-9,1,"18RN",6
-8,1,"18RN",6
-7,1,"18RN",6
-6,1,"18RN",6
-5,0.8697,"18RN",6
-4,0.8657,"18RN",6
-3,0.8666,"18RN",6
-2,1,"18RN",6
-1,0.0565,"18RN",6
0,0.1264,"18RN",6
1,0,"18RN",6
2,0,"18RN",6
3,0.2574,"18RN",6
4,0.4613,"18RN",6
5,0.9713,"18RN",6
6,0.8779,"18RN",6
7,0.9711,"18RN",6
8,0.865,"18RN",6
9,0.9714,"18RN",6
-9,1,"18TM5",6
-8,1,"18TM5",6
-7,0.6224,"18TM5",6
-6,0.9411,"18TM5",6
-5,1,"18TM5",6
-4,0.971,"18TM5",6
-3,1,"18TM5",6
-2,0.872,"18TM5",6
-1,0.8621,"18TM5",6
0,0,"18TM5",6
1,0,"18TM5",6
2,0.0573,"18TM5",6
3,0.868,"18TM5",6
4,1,"18TM5",6
5,0.9723,"18TM5",6
6,1,"18TM5",6
7,0.9716,"18TM5",6
8,1,"18TM5",6
9,0.9691,"18TM5",6
-9,1,"18TR1",6
-8,0.8533,"18TR1",6
-7,1,"18TR1",6
-6,0.8838,"18TR1",6
-5,0.9441,"18TR1",6
-4,0.9903,"18TR1",6
-3,0.9464,"18TR1",6
-2,0.9491,"18TR1",6
-1,0.3127,"18TR1",6
0,0,"18TR1",6
1,0,"18TR1",6
2,0.6841,"18TR1",6
3,0.8435,"18TR1",6
4,0.9903,"18TR1",6
5,0.9498,"18TR1",6
6,0.991,"18TR1",6
7,1,"18TR1",6
8,0.8357,"18TR1",6
9,0.8438,"18TR1",6
-9,1,"18WN",6
-8,1,"18WN",6
-7,1,"18WN",6
-6,1,"18WN",6
-5,1,"18WN",6
-4,0.8664,"18WN",6
-3,0.6672,"18WN",6
-2,0.6862,"18WN",6
-1,0.8693,"18WN",6
0,0,"18WN",6
1,0,"18WN",6
2,0.022,"18WN",6
3,0.862,"18WN",6
4,1,"18WN",6
5,1,"18WN",6
6,1,"18WN",6
7,0.9721,"18WN",6
8,1,"18WN",6
9,0.9723,"18WN",6
-9,1,"18AH2",18
-8,0.7677,"18AH2",18
-7,1,"18AH2",18
-6,0.9427,"18AH2",18
-5,0.8537,"18AH2",18
-4,1,"18AH2",18
-3,1,"18AH2",18
-2,0.9691,"18AH2",18
-1,0.6689,"18AH2",18
0,0,"18AH2",18
1,0,"18AH2",18
2,0.0227,"18AH2",18
3,0.8609,"18AH2",18
4,0.8628,"18AH2",18
5,1,"18AH2",18
6,0.9708,"18AH2",18
7,0.671,"18AH2",18
8,1,"18AH2",18
9,0.8561,"18AH2",18
-9,0.5096,"18GL7",18
-8,1,"18GL7",18
-7,1,"18GL7",18
-6,0.9361,"18GL7",18
-5,0.6725,"18GL7",18
-4,0.87,"18GL7",18
-3,1,"18GL7",18
-2,0.9723,"18GL7",18
-1,0.9708,"18GL7",18
0,0.0021,"18GL7",18
1,0,"18GL7",18
2,0,"18GL7",18
3,0.6845,"18GL7",18
4,0.4555,"18GL7",18
5,1,"18GL7",18
6,0.9698,"18GL7",18
7,0.9714,"18GL7",18
8,0.8674,"18GL7",18
9,0.97,"18GL7",18
-9,1,"18HB9",18
-8,0.4283,"18HB9",18
-7,0.3672,"18HB9",18
-6,0.7887,"18HB9",18
-5,0.977,"18HB9",18
-4,0.7115,"18HB9",18
-3,1,"18HB9",18
-2,0.9777,"18HB9",18
-1,1,"18HB9",18
0,0.0307,"18HB9",18
1,0,"18HB9",18
2,0,"18HB9",18
3,0.1659,"18HB9",18
4,0.9741,"18HB9",18
5,0.8863,"18HB9",18
6,0.882,"18HB9",18
7,0.8848,"18HB9",18
8,0.5012,"18HB9",18
9,0.8809,"18HB9",18
-9,0.5054,"18JC",18
-8,1,"18JC",18
-7,0.644,"18JC",18
-6,0.9496,"18JC",18
-5,1,"18JC",18
-4,0.8713,"18JC",18
-3,0.9739,"18JC",18
-2,0.9742,"18JC",18
-1,1,"18JC",18
0,0.0088,"18JC",18
1,0,"18JC",18
2,0,"18JC",18
3,0.8703,"18JC",18
4,0.8776,"18JC",18
5,0.4628,"18JC",18
6,1,"18JC",18
7,0.4798,"18JC",18
8,0.9709,"18JC",18
9,1,"18JC",18
-9,1,"18JG",18
-8,1,"18JG",18
-7,1,"18JG",18
-6,1,"18JG",18
-5,1,"18JG",18
-4,0.9675,"18JG",18
-3,0.9686,"18JG",18
-2,1,"18JG",18
-1,1,"18JG",18
0,0.6493,"18JG",18
1,0,"18JG",18
2,0,"18JG",18
3,0.2535,"18JG",18
4,1,"18JG",18
5,1,"18JG",18
6,0.9674,"18JG",18
7,0.9702,"18JG",18
8,0.9686,"18JG",18
9,0.9696,"18JG",18
-9,1,"18LS4",18
-8,1,"18LS4",18
-7,0.8668,"18LS4",18
-6,0.9353,"18LS4",18
-5,0.9674,"18LS4",18
-4,0.9677,"18LS4",18
-3,0.6636,"18LS4",18
-2,1,"18LS4",18
-1,0.8574,"18LS4",18
0,0.052,"18LS4",18
1,0,"18LS4",18
2,0,"18LS4",18
3,0.4446,"18LS4",18
4,0.6646,"18LS4",18
5,0.8637,"18LS4",18
6,1,"18LS4",18
7,1,"18LS4",18
8,0.9687,"18LS4",18
9,0.9679,"18LS4",18
-9,0.1709,"18PF6",18
-8,1,"18PF6",18
-7,1,"18PF6",18
-6,1,"18PF6",18
-5,1,"18PF6",18
-4,0.9692,"18PF6",18
-3,0.9718,"18PF6",18
-2,0.8777,"18PF6",18
-1,0.4737,"18PF6",18
0,0,"18PF6",18
1,0,"18PF6",18
2,0.2864,"18PF6",18
3,0.4605,"18PF6",18
4,0.9737,"18PF6",18
5,0.8735,"18PF6",18
6,0.9745,"18PF6",18
7,0.9728,"18PF6",18
8,1,"18PF6",18
9,1,"18PF6",18
-9,1,"18PG8",18
-8,1,"18PG8",18
-7,1,"18PG8",18
-6,0.9487,"18PG8",18
-5,1,"18PG8",18
-4,0.9768,"18PG8",18
-3,0.9752,"18PG8",18
-2,0.8789,"18PG8",18
-1,0.9741,"18PG8",18
0,4e-04,"18PG8",18
1,0,"18PG8",18
2,2e-04,"18PG8",18
3,0.2909,"18PG8",18
4,0.976,"18PG8",18
5,1,"18PG8",18
6,0.8735,"18PG8",18
7,0.9734,"18PG8",18
8,0.9721,"18PG8",18
9,1,"18PG8",18
-9,1,"18RC3",18
-8,1,"18RC3",18
-7,1,"18RC3",18
-6,1,"18RC3",18
-5,1,"18RC3",18
-4,1,"18RC3",18
-3,0.8606,"18RC3",18
-2,1,"18RC3",18
-1,1,"18RC3",18
0,0,"18RC3",18
1,0,"18RC3",18
2,7e-04,"18RC3",18
3,0.8672,"18RC3",18
4,1,"18RC3",18
5,0.8619,"18RC3",18
6,1,"18RC3",18
7,1,"18RC3",18
8,1,"18RC3",18
9,0.6668,"18RC3",18
-9,0.517,"18RN",18
-8,1,"18RN",18
-7,1,"18RN",18
-6,1,"18RN",18
-5,1,"18RN",18
-4,1,"18RN",18
-3,1,"18RN",18
-2,0.6765,"18RN",18
-1,0.9658,"18RN",18
0,0.8596,"18RN",18
1,0,"18RN",18
2,0,"18RN",18
3,0,"18RN",18
4,0.4465,"18RN",18
5,1,"18RN",18
6,1,"18RN",18
7,0.6712,"18RN",18
8,0.9701,"18RN",18
9,1,"18RN",18
-9,1,"18TM5",18
-8,1,"18TM5",18
-7,1,"18TM5",18
-6,0.777,"18TM5",18
-5,0.8778,"18TM5",18
-4,1,"18TM5",18
-3,1,"18TM5",18
-2,0.8751,"18TM5",18
-1,1,"18TM5",18
0,0,"18TM5",18
1,0,"18TM5",18
2,0.0026,"18TM5",18
3,0.9749,"18TM5",18
4,1,"18TM5",18
5,0.4769,"18TM5",18
6,0.8751,"18TM5",18
7,1,"18TM5",18
8,0.8735,"18TM5",18
9,0.9714,"18TM5",18
-9,1,"18TR1",18
-8,0.9053,"18TR1",18
-7,1,"18TR1",18
-6,1,"18TR1",18
-5,0.982,"18TR1",18
-4,0.9974,"18TR1",18
-3,0.9963,"18TR1",18
-2,0.8286,"18TR1",18
-1,0.6811,"18TR1",18
0,1e-04,"18TR1",18
1,0,"18TR1",18
2,0.0052,"18TR1",18
3,0.9968,"18TR1",18
4,0.9792,"18TR1",18
5,0.9322,"18TR1",18
6,0.8282,"18TR1",18
7,0.9975,"18TR1",18
8,1,"18TR1",18
9,0.9985,"18TR1",18
-9,1,"18WN",18
-8,1,"18WN",18
-7,1,"18WN",18
-6,0.9347,"18WN",18
-5,1,"18WN",18
-4,1,"18WN",18
-3,1,"18WN",18
-2,0.8717,"18WN",18
-1,1,"18WN",18
0,0,"18WN",18
1,0,"18WN",18
2,0,"18WN",18
3,0.1328,"18WN",18
4,0.9706,"18WN",18
5,0.6805,"18WN",18
6,1,"18WN",18
7,1,"18WN",18
8,0.8679,"18WN",18
9,1,"18WN",18
