"xDomain","p","participant","condition"
0,0,"IK4","twoStreams"
1,0,"IK4","twoStreams"
2,0,"IK4","twoStreams"
3,0.222,"IK4","twoStreams"
4,1,"IK4","twoStreams"
5,0.9291,"IK4","twoStreams"
6,0.9974,"IK4","twoStreams"
7,0.9975,"IK4","twoStreams"
8,1,"IK4","twoStreams"
9,1,"IK4","twoStreams"
-9,1,"JA8","twoStreams"
-8,0.6234,"JA8","twoStreams"
-7,0.8542,"JA8","twoStreams"
-6,0.949,"JA8","twoStreams"
-5,0.9975,"JA8","twoStreams"
-4,0.9977,"JA8","twoStreams"
-3,0.9801,"JA8","twoStreams"
-2,0.3318,"JA8","twoStreams"
-1,0,"JA8","twoStreams"
0,0,"JA8","twoStreams"
1,0,"JA8","twoStreams"
2,0.2128,"JA8","twoStreams"
3,0.9785,"JA8","twoStreams"
4,0.8206,"JA8","twoStreams"
5,0.9783,"JA8","twoStreams"
6,0.9783,"JA8","twoStreams"
7,0.9223,"JA8","twoStreams"
8,1,"JA8","twoStreams"
9,1,"JA8","twoStreams"
-9,1,"LH9","twoStreams"
-8,0.9133,"LH9","twoStreams"
-7,0.9762,"LH9","twoStreams"
-6,0.9538,"LH9","twoStreams"
-5,0.9504,"LH9","twoStreams"
-4,0.8704,"LH9","twoStreams"
-3,0.9984,"LH9","twoStreams"
-2,0.7497,"LH9","twoStreams"
-1,0.4164,"LH9","twoStreams"
0,0,"LH9","twoStreams"
1,0,"LH9","twoStreams"
2,0,"LH9","twoStreams"
3,0.7486,"LH9","twoStreams"
4,0.9853,"LH9","twoStreams"
5,0.8685,"LH9","twoStreams"
6,0.9501,"LH9","twoStreams"
7,0.9881,"LH9","twoStreams"
8,1,"LH9","twoStreams"
9,0.9983,"LH9","twoStreams"
-9,1,"LS2","twoStreams"
-8,1,"LS2","twoStreams"
-7,0.8296,"LS2","twoStreams"
-6,0.9868,"LS2","twoStreams"
-5,0.8939,"LS2","twoStreams"
-4,0.8955,"LS2","twoStreams"
-3,0.8986,"LS2","twoStreams"
-2,0.8989,"LS2","twoStreams"
-1,1e-04,"LS2","twoStreams"
0,0,"LS2","twoStreams"
1,0,"LS2","twoStreams"
2,0.0162,"LS2","twoStreams"
3,0.9941,"LS2","twoStreams"
4,0.8968,"LS2","twoStreams"
5,0.8947,"LS2","twoStreams"
6,0.9946,"LS2","twoStreams"
7,0.9956,"LS2","twoStreams"
8,0.9955,"LS2","twoStreams"
9,0.9947,"LS2","twoStreams"
-9,1,"LT5","twoStreams"
-8,1,"LT5","twoStreams"
-7,1,"LT5","twoStreams"
-6,1,"LT5","twoStreams"
-5,1,"LT5","twoStreams"
-4,0.9969,"LT5","twoStreams"
-3,0.9971,"LT5","twoStreams"
-2,0.9795,"LT5","twoStreams"
-1,0.1127,"LT5","twoStreams"
0,0,"LT5","twoStreams"
1,0,"LT5","twoStreams"
2,0.0015,"LT5","twoStreams"
3,0.9257,"LT5","twoStreams"
4,0.9974,"LT5","twoStreams"
5,1,"LT5","twoStreams"
6,1,"LT5","twoStreams"
7,0.9964,"LT5","twoStreams"
8,1,"LT5","twoStreams"
9,1,"LT5","twoStreams"
-9,0.1136,"RN12","twoStreams"
-8,0.8982,"RN12","twoStreams"
-7,0.9701,"RN12","twoStreams"
-6,0.7083,"RN12","twoStreams"
-5,0.8409,"RN12","twoStreams"
-4,0.8424,"RN12","twoStreams"
-3,0.8364,"RN12","twoStreams"
-2,0.8393,"RN12","twoStreams"
-1,0.529,"RN12","twoStreams"
0,0,"RN12","twoStreams"
1,0,"RN12","twoStreams"
2,0.1315,"RN12","twoStreams"
3,0.6972,"RN12","twoStreams"
4,0.836,"RN12","twoStreams"
5,0.9842,"RN12","twoStreams"
6,0.9304,"RN12","twoStreams"
7,0.9812,"RN12","twoStreams"
8,0.998,"RN12","twoStreams"
9,1,"RN12","twoStreams"
-9,1,"YZ15","twoStreams"
-8,0.5454,"YZ15","twoStreams"
-7,0.9296,"YZ15","twoStreams"
-6,0.9672,"YZ15","twoStreams"
-5,0.4599,"YZ15","twoStreams"
-4,0.6585,"YZ15","twoStreams"
-3,0.827,"YZ15","twoStreams"
-2,0.1644,"YZ15","twoStreams"
-1,0.0116,"YZ15","twoStreams"
0,0,"YZ15","twoStreams"
1,0,"YZ15","twoStreams"
2,0.012,"YZ15","twoStreams"
3,0.9889,"YZ15","twoStreams"
4,0.9883,"YZ15","twoStreams"
5,0.99,"YZ15","twoStreams"
6,0.9907,"YZ15","twoStreams"
7,0.9888,"YZ15","twoStreams"
8,1,"YZ15","twoStreams"
9,1,"YZ15","twoStreams"
-9,1,"AJ7","eightStreams"
-8,1,"AJ7","eightStreams"
-7,1,"AJ7","eightStreams"
-6,1,"AJ7","eightStreams"
-5,1,"AJ7","eightStreams"
-4,0.9958,"AJ7","eightStreams"
-3,1,"AJ7","eightStreams"
-2,0.9972,"AJ7","eightStreams"
-1,0.92,"AJ7","eightStreams"
0,0,"AJ7","eightStreams"
1,0,"AJ7","eightStreams"
2,0,"AJ7","eightStreams"
3,0.3136,"AJ7","eightStreams"
4,0.9956,"AJ7","eightStreams"
5,0.9768,"AJ7","eightStreams"
6,0.9746,"AJ7","eightStreams"
7,1,"AJ7","eightStreams"
8,0.9764,"AJ7","eightStreams"
9,0.9959,"AJ7","eightStreams"
-9,1,"AN14","eightStreams"
-8,1,"AN14","eightStreams"
-7,1,"AN14","eightStreams"
-6,1,"AN14","eightStreams"
-5,0.9117,"AN14","eightStreams"
-4,0.9751,"AN14","eightStreams"
-3,0.9736,"AN14","eightStreams"
-2,1,"AN14","eightStreams"
-1,0.9762,"AN14","eightStreams"
0,0.0926,"AN14","eightStreams"
1,0,"AN14","eightStreams"
2,0,"AN14","eightStreams"
3,0.0095,"AN14","eightStreams"
4,0.7928,"AN14","eightStreams"
5,0.9137,"AN14","eightStreams"
6,0.9737,"AN14","eightStreams"
7,0.9773,"AN14","eightStreams"
8,1,"AN14","eightStreams"
9,0.9091,"AN14","eightStreams"
-9,1,"BB6","eightStreams"
-8,1,"BB6","eightStreams"
-7,0.677,"BB6","eightStreams"
-6,1,"BB6","eightStreams"
-5,1,"BB6","eightStreams"
-4,1,"BB6","eightStreams"
-3,0.9813,"BB6","eightStreams"
-2,0.9966,"BB6","eightStreams"
-1,0.6866,"BB6","eightStreams"
0,0,"BB6","eightStreams"
1,0,"BB6","eightStreams"
2,0.9798,"BB6","eightStreams"
3,0.9969,"BB6","eightStreams"
4,0.9799,"BB6","eightStreams"
5,0.9973,"BB6","eightStreams"
6,0.9822,"BB6","eightStreams"
7,0.9801,"BB6","eightStreams"
8,1,"BB6","eightStreams"
9,0.9806,"BB6","eightStreams"
-9,0.7081,"IK4","eightStreams"
-8,0.8941,"IK4","eightStreams"
-7,0.9666,"IK4","eightStreams"
-6,0.9392,"IK4","eightStreams"
-5,0.996,"IK4","eightStreams"
-4,0.9964,"IK4","eightStreams"
-3,0.9756,"IK4","eightStreams"
-2,0.6449,"IK4","eightStreams"
-1,0.9764,"IK4","eightStreams"
0,0.1025,"IK4","eightStreams"
1,0,"IK4","eightStreams"
2,0,"IK4","eightStreams"
3,0.3175,"IK4","eightStreams"
4,0.9749,"IK4","eightStreams"
5,0.9186,"IK4","eightStreams"
6,1,"IK4","eightStreams"
7,0.9792,"IK4","eightStreams"
8,1,"IK4","eightStreams"
9,0.8047,"IK4","eightStreams"
-9,0.3086,"JA8","eightStreams"
-8,1,"JA8","eightStreams"
-7,0.9563,"JA8","eightStreams"
-6,1,"JA8","eightStreams"
-5,0.977,"JA8","eightStreams"
-4,0.9962,"JA8","eightStreams"
-3,0.9963,"JA8","eightStreams"
-2,0.9753,"JA8","eightStreams"
-1,0.6503,"JA8","eightStreams"
0,0,"JA8","eightStreams"
1,0,"JA8","eightStreams"
2,0.0039,"JA8","eightStreams"
3,0.8077,"JA8","eightStreams"
4,1,"JA8","eightStreams"
5,0.8097,"JA8","eightStreams"
6,0.9207,"JA8","eightStreams"
7,0.9967,"JA8","eightStreams"
8,1,"JA8","eightStreams"
9,0.9757,"JA8","eightStreams"
-9,1,"LH9","eightStreams"
-8,1,"LH9","eightStreams"
-7,0.9745,"LH9","eightStreams"
-6,1,"LH9","eightStreams"
-5,0.9495,"LH9","eightStreams"
-4,0.9978,"LH9","eightStreams"
-3,0.9987,"LH9","eightStreams"
-2,0.9531,"LH9","eightStreams"
-1,0.9535,"LH9","eightStreams"
0,0,"LH9","eightStreams"
1,0,"LH9","eightStreams"
2,0,"LH9","eightStreams"
3,0.023,"LH9","eightStreams"
4,0.9518,"LH9","eightStreams"
5,0.998,"LH9","eightStreams"
6,1,"LH9","eightStreams"
7,0.9987,"LH9","eightStreams"
8,0.8751,"LH9","eightStreams"
9,0.9864,"LH9","eightStreams"
-9,1,"LS2","eightStreams"
-8,0.8586,"LS2","eightStreams"
-7,1,"LS2","eightStreams"
-6,0.9834,"LS2","eightStreams"
-5,0.9941,"LS2","eightStreams"
-4,0.9936,"LS2","eightStreams"
-3,0.9631,"LS2","eightStreams"
-2,1,"LS2","eightStreams"
-1,0.9621,"LS2","eightStreams"
0,0.0044,"LS2","eightStreams"
1,0,"LS2","eightStreams"
2,0,"LS2","eightStreams"
3,0.74,"LS2","eightStreams"
4,1,"LS2","eightStreams"
5,1,"LS2","eightStreams"
6,0.9933,"LS2","eightStreams"
7,0.993,"LS2","eightStreams"
8,1,"LS2","eightStreams"
9,0.9922,"LS2","eightStreams"
-9,1,"LT5","eightStreams"
-8,1,"LT5","eightStreams"
-7,0.9701,"LT5","eightStreams"
-6,0.946,"LT5","eightStreams"
-5,1,"LT5","eightStreams"
-4,0.997,"LT5","eightStreams"
-3,0.9803,"LT5","eightStreams"
-2,0.9965,"LT5","eightStreams"
-1,0.9966,"LT5","eightStreams"
0,0,"LT5","eightStreams"
1,0,"LT5","eightStreams"
2,1e-04,"LT5","eightStreams"
3,1,"LT5","eightStreams"
4,0.9972,"LT5","eightStreams"
5,0.9961,"LT5","eightStreams"
6,1,"LT5","eightStreams"
7,0.9968,"LT5","eightStreams"
8,1,"LT5","eightStreams"
9,1,"LT5","eightStreams"
-9,1,"RN12","eightStreams"
-8,1,"RN12","eightStreams"
-7,0.8677,"RN12","eightStreams"
-6,0.8468,"RN12","eightStreams"
-5,0.9809,"RN12","eightStreams"
-4,0.9816,"RN12","eightStreams"
-3,0.9806,"RN12","eightStreams"
-2,0.9972,"RN12","eightStreams"
-1,0.7001,"RN12","eightStreams"
0,0,"RN12","eightStreams"
1,0,"RN12","eightStreams"
2,0.0017,"RN12","eightStreams"
3,0.705,"RN12","eightStreams"
4,0.2343,"RN12","eightStreams"
5,0.9835,"RN12","eightStreams"
6,0.9982,"RN12","eightStreams"
7,0.9981,"RN12","eightStreams"
8,0.9978,"RN12","eightStreams"
9,0.9983,"RN12","eightStreams"
-9,0.3163,"YZ15","eightStreams"
-8,1,"YZ15","eightStreams"
-7,1,"YZ15","eightStreams"
-6,0.8269,"YZ15","eightStreams"
-5,0.9961,"YZ15","eightStreams"
-4,0.9968,"YZ15","eightStreams"
-3,0.9773,"YZ15","eightStreams"
-2,1,"YZ15","eightStreams"
-1,0.8178,"YZ15","eightStreams"
0,0.0265,"YZ15","eightStreams"
1,0,"YZ15","eightStreams"
2,0,"YZ15","eightStreams"
3,0.6774,"YZ15","eightStreams"
4,0.9975,"YZ15","eightStreams"
5,0.9976,"YZ15","eightStreams"
6,0.922,"YZ15","eightStreams"
7,1,"YZ15","eightStreams"
8,0.8236,"YZ15","eightStreams"
9,1,"YZ15","eightStreams"
