experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	22 	IK4 	 oneCued 	 0.0 	 right 	 2 	 0 	M 	0 	7 	N 	0.0 	1 	0 	16.0 	BHSUFTIZQPANRMVOKGDEYLJX	FIUQTGSNHPABXYVKDLROZEJM	-99	-99	-99	-99	-99	-99	0
main	23 	IK4 	 oneCued 	 0.0 	 right 	 2 	 315 	A 	0 	7 	A 	1.0 	1 	0 	0.0 	TOMXGNRUEKYZDPQFLBAIJHSV	QMPIBOFANHTLZXDSJYKVGERU	-99	-99	-99	-99	-99	-99	0
main	24 	IK4 	 oneCued 	 0.0 	 right 	 8 	 135 	M 	0 	7 	K 	0.0 	1 	0 	1.0 	LGRSITHUVYXFPKDJAQOEZNMB	BIALRJEKMYSFHDPUNXQGTOVZ	ROXBTHFEMYALKVDIUSQGJNZP	YQSPMRNOGHULDFVEITKJZAXB	HTMQSJGLZURNVIBFAPYEXODK	DLFTSPBNVQEYIZRJHAOGXMUK	XPGTSRBNODIEUJKVHAYLMZFQ	YDHISNXFJVULTKGPEOBMZQRA	0
main	25 	IK4 	 oneCued 	 0.0 	 right 	 8 	 0 	Y 	0 	9 	Z 	0.0 	5 	0 	2.0 	KXTSJHYRAIMGZVLFEBDPQNOU	UYLOHAGFSVZJRNEQIBMTDXPK	SVIKDXFAEOBMYQPZTNLJRGHU	VBDKTJPNGHAQFROMSXYILEUZ	UQBVEFIRHSTDKLJOXPNYAZMG	KEQOUTMABZVYRNXLFPIHGSDJ	QYVKABRUTDNZJXLOHFSIEMGP	FGONQJSLIEMZVHRTPBAYDXKU	0
main	26 	IK4 	 oneCued 	 0.0 	 right 	 2 	 90 	A 	0 	8 	R 	0.0 	1 	0 	1.0 	OAZSDHENVUGBQMYJPKTLRXIF	NFSPHKBURAXEMDVLZJOQGTIY	-99	-99	-99	-99	-99	-99	0
main	27 	IK4 	 oneCued 	 0.0 	 right 	 8 	 0 	O 	0 	6 	Y 	0.0 	1 	0 	13.0 	GAMHETPDRIQSYUZOBKNFJLVX	VRXKZBYDQTPJEGAUMILONHSF	YPDSEGOUBLITFJMVNKQZAHRX	XRMUJNDBKPIHOFVZYLAESTQG	XDNSQIHLUJZBKTYMAFOVRPEG	RANITSLPQXBMFVGDZOYEHKJU	SOXGYRNZJQIDFABULEHPTKMV	ZYQVENDTBFGSRPOKXIHUMJLA	0
main	28 	IK4 	 oneCued 	 0.0 	 right 	 2 	 0 	Z 	0 	10 	U 	0.0 	1 	0 	2.0 	UQBHZAOEVDJFTKNPMLXGIRSY	SDXAMGFOPYUEZLJBTRQINKHV	-99	-99	-99	-99	-99	-99	0
main	29 	IK4 	 oneCued 	 0.0 	 right 	 2 	 90 	G 	0 	9 	G 	1.0 	0 	0 	0.0 	UQEFNHLTAGSOJYRPDMVBZXKI	JVFZLKEDOTRQGAHYIXBSPUNM	-99	-99	-99	-99	-99	-99	0
main	30 	IK4 	 oneCued 	 0.0 	 right 	 8 	 180 	G 	0 	10 	Y 	0.0 	6 	0 	3.0 	VMYXZKJFRPSOIBATGHUDQNLE	BOJPDGVZMTFKRLNSYUHEAIXQ	GSRXOYAZBDEQTJVLPMIFHKNU	XDOBNQKLVSZYHFIPRMTUGAJE	TFNYVQOLEJGKZMRPIHBUDSXA	IDFGLVBUNTPROZEXSYHJAMQK	RMVXFIQJSHYEDGOTNKPBAZUL	JMTBGADQRLSUFZXPNEKHVYOI	0
main	31 	IK4 	 oneCued 	 0.0 	 right 	 2 	 180 	N 	0 	8 	J 	0.0 	1 	0 	5.0 	EOIZBAYLVXTNFSMKPGRJQHUD	KPDEHFBZJYILTNGASQXURVMO	-99	-99	-99	-99	-99	-99	0
