experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	22	NC21	nStreams	0	right	8	135	P	0	6	Y	False	0	135.0	0	3	MJBIAZYQUPRDVEFOGNHSKXLT	RDTVEAOLKXUMBGSNFYZIQPJH	GYFPINQRZOUJMBDVLKASEHXT	JNFVPETUBXLIYSRHOKGQDMZA	DJXVBPEMIYQGHNTOASLURFKZ	JOKBDRNXZIUFATPYEGHLVMQS	XMEGVYBQTHDZINJRKOPALUSF	ZVJGLTRPXUASMQOYBEHKINDF	1
main	23	NC21	nStreams	0	right	8	270	A	0	7	A	True	1	-45.0	0	0	DOAJTHKZPVUMBSQELXNYRFIG	PBHLKDJAQVESZUOXTMGRIYFN	AUOHZXBQJSFRVIMGYETPLKND	KANQRXMBLPZGEFHSUTJIVOYD	DGTSKFEQAMNHLPIRBOYXVZJU	UXPNHFRDJBAEQKLSYMZGIVTO	YIFEZDHQBKNXTMLVAGSUPROJ	JYNODLFUQRMPZIKTHXVSBGAE	2
main	24	NC21	nStreams	0	right	8	315	Y	0	9	A	False	2	45.0	0	2	FTBGEJDSUAHYONIRVPMZLXKQ	QMLAUTOYPFGRZSKXNBHJEDVI	EOIRXLKGUAVYSHPTQFMZBNJD	TFUDXIZKNMYBSGVRLOQPEHAJ	QPELMKJTIOFBRYHAUDNVSZGX	YTMSPFGXUHBJELODNRVZAKIQ	ANMGOQSLBDVXFZREPKJHUYTI	PVYKXMEQNOSGDAURHJBFTZIL	1
main	25	NC21	nStreams	0	right	2	45	M	0	10	Y	False	3	180.0	0	2	QOGLPASTJKVUHIDBYEZRFMXN	ZGMVPSIXRJFELNYKABOHTDQU	IBDXNRVEZMQUHJLPSTYKGOFA	SXKGREABZPYUMVQTIJNOLDHF	YOMLNQBKEDHVIXTGPSARUJZF	PDMNEOSAGBQIFRXLHJVZKTUY	HBFMRKJYZAUGVDXQSIPONETL	ONBUZHFGMRPKJYXALDTSQVEI	1
main	26	NC21	nStreams	0	right	2	225	K	0	8	Y	False	1	-90.0	0	1	ZMORJGSUABQTVELPFNXKHDYI	ANLGBOFIYKZEDMTSRUQHJVPX	JVUIMQZNEHPTBXGODARFKLYS	OKDMJFSNGTIUYHPXQBREZLVA	EVHJYFUQAKBTGIDZSMOLRPNX	FZRGUEXSJIYLQMAOVKTHPBDN	DQAJFGUVZPYIMBHEONKLTRXS	OTUNYKRXMZIGQBPJVLEASDHF	1
main	27	NC21	nStreams	0	right	2	45	R	0	8	B	False	0	45.0	0	2	SKHMGNQYBFRTEDVOXPAUZJLI	DESYUZFJIXGRPNATOLBQHKVM	XYTVGKDPFZJHOEQRALBMSNUI	QYUPSTDHJOKZLXNVGRFIAMBE	ORUPAMFQNEZJDGIYSVKLXHBT	AKMBTRZUVYXHPDJILGNQEOFS	VSNYBIOKLJZQEXPURTAHFMDG	BKAZRXMHNTSODFQGEIYLPJVU	1
main	28	NC21	nStreams	0	right	8	135	I	0	9	L	False	0	135.0	0	-7	HFIQUJEPOLTXMKANRSDYVBZG	RMGVSOIKYTPNAUFZDEJHQBXL	QVMUHOYDLGNXTKSRBPIAJEZF	TABYOKSDQRXVNHEPUMZLIFJG	GQUBZITMYFOPKLSAJVDNHEXR	GJNFDVIEYLSKQRABMZUTHOPX	VYPIMKTNEZLJROSAUDHGFQBX	GRBYVMNFZAOJDQLPSEKTIUXH	2
main	29	NC21	nStreams	0	right	2	225	X	0	9	L	False	5	90.0	0	1	DMQGYTJEVKRLIHOFXUSNPZAB	TOLIEVUGQKPXBJHRFDYSMANZ	YUXFMENGHSQODJKPTRAIVBZL	VNQBYHLPUDOXKAIMEZTGFJSR	TYUDLBOIRKSGXNVQZHMFEPAJ	KJGIFZMRNLXDSBQYUTHPEOAV	QESAYLRXTUDZNKGJOPBFVHIM	YSQFDIKVJZRHPAEOGBNUXMTL	2
main	30	NC21	nStreams	0	right	8	90	Y	0	9	Y	True	1	135.0	0	0	BOGYQTNHLSPDUXFMIKZERAVJ	NHKFRELZTYVDGIOUJMQBXAPS	LKOMHPXUVFYRIEJBNGDSQAZT	IYRMJQSLFEPBHKDOGZNTUXAV	VDRSFIPTMEXQYJUBLANZGHOK	XHATPROIGUQSBKLFZVEJDNYM	MONIKPFBREHTDLVXQGSZJAYU	TOKLUNRVQXFDIBSJAEPZGYHM	1
main	31	NC21	nStreams	0	right	2	0	G	0	8	N	False	0	0.0	0	1	ILPSDOJXNGYKMHUBZTARQEFV	RFJKGIQTBZDEVNHYUOLMSAXP	LHMEAVJXFKQONPGZISBUTYRD	JGHUMOREQSVNLXZFYIKPABTD	SJNKRVDTFLBXGQAOHYZPIEUM	HAYIOSTZULVJDXEQMPFGNRBK	KGBTHNRVOADLEMQJPYZISFUX	IMQJNZPLAETYDRUBKVFGSOXH	2
