experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nStreams	baseAngleCWfromEast	ring	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	streamLtrSequence18	streamLtrSequence19	streamLtrSequence20	timingBlips
main	10	DY1	nStreams	0	right	2	135	2	I	0	10	V	False	1	-45.0	0	6	YGSFHEPBNDUIAOJZVTRKQLXM	EBRZFKQOTLVMUHSGIXYPDJAN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	DY1	nStreams	0	right	21	0	0	Q	0	7	G	False	4	-7.01670929853e-15	0	15	RZMLXEUVDAYSIFJHTPKOGBQN	QUZADPHVXLFMNGTBYIEJORSK	THQYMNBDGJXIUEOFLKASVZRP	BUHOASKTNDXFGPILMERVJZQY	IDFHRXZGTJMLYVOESPBKUNQA	QDRUVOYTMBNAFPGELHZKXISJ	FDIGAYTMNHSBOVEQPZXUKJLR	JYRILFADEHZPTOXGQNVSUMBK	PNQGXUITOBJDKRYEMAFLZHVS	KQJOIFAXMUPVNZTEDYSHGLBR	ALJPGVKIMTHSDEFBORZXQNUY	DQNTEAPJZSKIVBYRGUMFHXOL	QIJOGSLFETVMYDKZNAHPRUBX	XGFUHOKSRTMZYJLVADEQIPNB	XQLNVFUZOTBSAEKHYPIMRJDG	RKZSBUTMHFAIOJGNVXYEPLQD	MFEBJHNTXRUILDSKYOGQZVPA	TDVJBPNXSRGLZAYIHQOFUKME	SPJYGDELBXNZOKUMTVFARIHQ	ITYBGQORDUXVJHPZNKEFMLAS	XZROMTQUNDSIVFHELPYGKJAB	1
main	12	DY1	nStreams	0	right	21	0	0	I	0	7	L	False	11	-22.5	0	2	VAOYGQMDHRKPJTSUZBILFNEX	HTBZKEOYPMSLDAFIQVRGNUJX	MRLFXUQIOKDYHBJVASTEGPNZ	YVKBZENGSLOJFHRMIPUDTXAQ	MPHNTQOBLFVXADSKUIYJEZRG	ETFPKSRIUHLYAGDBVZMJXQNO	UIFPSELRTHOXMAGZQVNBDYJK	IHUVTJXLZOGDRBPYKAFMSQEN	RDTMFUJIEKOGQSNAVXYZLHBP	IHUKSVDGAYJQNMERXFBTOPZL	MHYTLREPDIBUSFONJVGQZKXA	BMNTKGVLEIJRZQAHYSODPUFX	AIOFMELTZJUBYKHDVNGXRPQS	BZTHQKAPSEVRMYXNGLJOUFID	UMVFOQGTPBAYLIKNDEXJZSHR	XIGDBEFJTRYZPOMAVNHKQULS	NIUTJRXYOFEHPDAKLMQSGVBZ	EDBSNLXGPZRQHUMKATFVIJYO	NYREHVLXUOMGQJKIPBDTFZSA	FUKJAMVXDLPZTGQEISHBORYN	TDKSRFXIELOPZVMYNJHBGQAU	1
main	13	DY1	nStreams	0	right	2	90	0	T	0	7	A	False	1	90.0	0	1	RNOZQAMILDEBYHVPSTJUXGKF	LUJHOBGATYDRFENZXSPVQMIK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	DY1	nStreams	0	right	2	135	2	U	0	8	K	False	0	-45.0	0	6	QRPLNFSGKMTXAHUBOYIDEZVJ	PFZQSRKUEVTAXLOJNBHYMDIG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	DY1	nStreams	0	right	2	90	0	O	0	10	V	False	1	90.0	0	-5	SKOMBAUIFPNTQZYJEVRLXHDG	HUXZEOBYDPVMNQJSRKIALFTG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	DY1	nStreams	0	right	2	135	2	V	0	6	K	False	1	-45.0	0	10	PBNYVEIGRKDTQFHMXOJUASZL	AOBMHUKQDTNGESJRVFZIPYXL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	17	DY1	nStreams	0	right	21	0	0	L	0	6	Q	False	19	36.0	0	10	QRJGBUONXKZPEFVISADYMLHT	LIEXBMRSQKTVGHPADZUYJNOF	JHODLSPGXMTKZBRAEUFVQINY	MPETYHJXNFSDQBZVOALUIKRG	ALZPJDBMTXSGYOEVQRHNKUIF	UHXJSYNQFZIARKBMVGTOPLED	QBHNUEJRIATFZOGKYVLPSDMX	PFAGLSKXYDMNZOEHUIVJBTRQ	JYDFOELIHZNAPGTBRVXSUMKQ	BXQYFAODKPHUIMLEVTSJZGRN	YLHGSKNODTEUPVAXJIBZMQFR	ZEBUVPRGITMSFNQDYLXAOKHJ	DFAJLKIOSHNRVYGTZXPBQEUM	EYTAGOMNFVUPIBJQLHKXDSZR	MJKEXSDRUHAYNBVQZFIOPGLT	BETVLIUOZGRMAYKPFDQSNHXJ	VNFHTIGLUKOQBADRXSYEZMJP	RSPLMZBAVXNDUOYITFJKGQEH	MTYGISEQLPNZHXBUADVJROFK	RMAKBOQNZUFEVYSGLTPDXHJI	QHAFBYLZMKJRIUVEODNPTGXS	1
main	18	DY1	nStreams	0	right	21	0	0	I	0	8	V	False	19	36.0	0	12	FKYZINOSBDLPEMUTGAQRHJVX	NSGZBFMHTEXOVPLJRIDUYQKA	LRKMXNGAOVZFUBDJHSPIYQTE	XLYGKVQETUHAOMIFDNBJSRZP	BREPMDALHYQGFTOINUJSZXKV	TLIPSZHXDOEFNVQABMGUJYRK	HDRFPBNXOEZTISMVQGJAULKY	ZUDJHATFVYOEXRISNBMKPQGL	DSYXIKAOJNGBUQRVPTMZFEHL	LQEBZMRNTASXHVJIKPGFUDOY	HTMBFGULVSXIJKAQYEODZNPR	HUSOJBVMAXLTENDRKFPZIGYQ	PMENTIGDRHSLKAOQUBVFJXZY	BURXZYPQKLIGMFSDHVJENATO	RDJUQNZOTLHFSYVGMKBPXEIA	UJTMXAIVQZYFBODENSPGHRLK	XGEMNDKZBFIAHLYUJTPRSOQV	FTLOSVYQKEGZDRXJPMHNAUIB	BZLIFKGYMNJEAUPSVRQOTHDX	GNBAFHKQVPDLOZUXEMSRITJY	DYVJZRMGINQPKSLBXAFUOETH	1
main	19	DY1	nStreams	0	right	21	0	0	H	0	6	M	False	5	45.0	0	3	HNVTABQXJGYMRUDZKILESOPF	PZAEQSYRUXGKJHMDBFTLIVON	ITNYDLMPUEZJFGOBRAXVHQSK	FQVLBUNTJEMKPDGZXRYSAIHO	IQEKUTNHSPJFVRZXLAMDGYBO	BLIYUOMEFHQXRVGNTJSPAKDZ	QZXHDNIYESAJMVRTPKFUGLOB	RLZVBMHUQJNDYEXTKSIAPGOF	PXFSRJNKLYOBIUADTEZMVGHQ	VIUFXMSKERNOPJGHLAQTYZDB	PBHELKVTJMQDXYIURGAZNFOS	LDENMFPIQGXVAHSBRZJUYKOT	LFSQKPINJHBGYDAMZXOETRVU	PEMKXBSQRZJUOLIGYNFTDVAH	QGIZBTESFKPYLOJVMNRDXAHU	FOSTXILNAQGBRJEPMZKYDHUV	QLDVBSZPEHIGNYXFRAJTUOKM	OMRQJATFXKGPVSUELNHIYBDZ	EGVUDKIAPRZMYFSLOXTHJBQN	HPKLMVNZXEDYOQSJTIAGBRUF	RTJSZNHAYFEOPLMGKDQVIXBU	1
main	20	DY1	nStreams	0	right	21	0	0	N	0	7	S	False	7	-45.0	0	3	QNTLHEJZUGKSIMADXPFYRVBO	HIGRDSAUZXYKEOVTJNMQBFLP	AGPMIZTDEUJHRFLXSOVQBKNY	IPFKAYQRLDJXSGZEVHBTMNOU	ELKDJOSXHUAMZBPYTFGINRVQ	PSADKROGFYJTEUZIHBXQVNML	YANOFKUTVGXIQJDPHMRZSEBL	DRVMBKHSQXNELYAJZOGIFPTU	NRDVZAYKTHPIXMEJGLBSUOFQ	SPBOMVILTGERHUZKNQJFYADX	YLAVUQMFHSRGIBTXPOKZJEND	RXEJULNVYZBIPMOKTDQFSGHA	PXHODMNIEUFYQBKASVLTZJRG	IHLVPZJDFQRSOGKYMENUBTAX	BXEFHLPRMIYDSQTZUJKAGVNO	HYDAZMORELFBUKXPTSVINJGQ	KVQEMRXZOPJNLHUIGDAYSTBF	ETBMRDUKHGOFYIZXLVQAJPSN	DFKIOUYZSHLAGBXPJVQENMRT	TPMOXVHAZGBFNEYJSRKDLQUI	EKVGBSTNJIFDZHROYAQPXLMU	1
main	21	DY1	nStreams	0	right	21	0	0	H	0	8	R	False	7	-45.0	0	2	ZSQBEDIXPFTAHOGYMNRVJUKL	SIKGQZMFTRDABNOLXYHUJPEV	UVNDTQSLFBIHMZRXAEYKGJPO	OILVTAFPUHBNDRZXJSYGMKQE	KMIFARJUHVPTZSOXGLBQDYNE	DXKLHSUJFPVOGIYBZTRMANEQ	HLOQRKVGMBFIDZJUPYSXATNE	VGMJBEUNRLHOSQTDXYIAPZFK	QEHVAJGPNROMUDTBSZIFXKYL	HIFOJQEGPZKATDBUMNXVLSRY	PJAXLYEGOQZNHVRKTBSUDIMF	ZXFNJTGMHELOUPIDRYKQSBAV	AGFRDZXNHKQOSPVUYIEJMBTL	MGDEPSLVYBUOQTZIXHJNRFKA	RQMPTAIKEGHZFNLYVJODUBXS	NOEHAGZXUKVPITDRFSLYQBMJ	TIXPOHZRSNQUJMGVYKBFLAED	IOTGNXJZDAFUPYKRMSBEQLHV	SRJUPHZIGDBXKTOYNMLVAQFE	JDLIVTXMFQKESOYAZGUHNRBP	EQKXDGVPMIBAYNZUHRSTJOFL	1
main	22	DY1	nStreams	0	right	2	0	0	A	0	9	P	False	1	-7.01670929853e-15	0	2	UFAHPKQSYMEZVLITNXOBDRGJ	YUEGMRIOKPSATHLXZBFNQVDJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	23	DY1	nStreams	0	right	21	0	0	E	0	10	P	False	18	-36.0	0	5	HUENXJVBLFGSDATOQPKYMIRZ	RBAKFEPSJHQDGVZTIYMLNOUX	IMPSHQAUNEKXOFTVZLBDGYRJ	ARZNIPYDKGUVJEBLFXHTSQMO	VJKRIMQPFDXHUSNZAEGBLYTO	PNHJAOQDUSLKGXIRVYTMFZBE	QUDLZRXFBMTSKJHOEYGNIAPV	LTZYHMOVQESJBRPAFIUDNKXG	XNELJTOIKZQYAPVDFRUGMHSB	PNZQBFGAKISELXJYURVHDOTM	VLSFADNQXTIRUMOKGZBEYJHP	GLKBVUHITPNAXOMESRFDQJYZ	VQYUDZEMSLJGOAFKHTINBRPX	OFBHGLQEVSKNTAJRPIMDUYXZ	DYMXRBKNETGLPQJUOVSZHFIA	TNZAXMFOKGDRLUQYIBSJHEPV	QJSVTENYBULGOXAHKFZMIRPD	IATDZJSMBFHLOGRYUQXPKVEN	KUJNQXTDGZPLMIAEVBFYOSHR	XOEQMUNPLIDSZKAJRHVFGYTB	HPKDQLYJVOZTSXMBUAIFERNG	0
main	24	DY1	nStreams	0	right	2	135	2	O	0	9	T	False	0	-45.0	0	2	YUANJXRLSTDOQFKBMZPGHEIV	VZUAOEYKRNHFTBIDPLXSGJQM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	DY1	nStreams	0	right	21	0	0	K	0	7	N	False	9	67.5	0	6	FYMBENKIJLZXQROUDPVSAGTH	JGOQDYIAHBNXSTEURFVZKMPL	JZVEMSBKAPGYDNHQLOUFXRIT	OZRIJTGBPFUDEASLQYHKMXVN	SAXGPURYDVKBZNOMIHEJFQTL	AHTPZDVUFREGMLJXOQSYBINK	YMZETQFLHVDRUKSAOJPXGIBN	VHEYPGNRBXJTLKIZQOMDASUF	HFGTOJPAESZIYXVRKMQLDUNB	OFIGPHRNETQAYKDUSLJMZBVX	HYDIRKPVUJZBALXSEQONFGMT	OZYLQVJKURDHINPXAMGFBTSE	UKJBFGEXZSIAVTQNHDPLRYOM	YZEVHURMBINSKOJFQGPDLATX	DUHKAIOMSVPJBTFRGXYZNLEQ	BTQUJINVSXLZORGDMFEKAYPH	BJENHKMDFZVXILSYTRQPAGUO	VRUTYSNPZAXMLBDHOJIKFEGQ	APMLNRGZKTDSUQVIFEHXBOYJ	XZVRNILTJFHEBOYAQDGSMUPK	PQFDLUGJZREYTKIAOSVHXBNM	1
main	26	DY1	nStreams	0	right	2	135	1	U	0	10	I	False	1	45.0	0	1	PLTZMUVBNHRYOFAKXQEDJSIG	YPDMERNBLAIUQZXFOHJSTKVG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	DY1	nStreams	0	right	21	0	0	G	0	10	Q	False	10	-67.5	0	1	EMYOLBFNRAVUQGJXSKZPHDTI	OUVZEMHTFXBLRIANQPSGJDYK	JBVPYEKSUGHXARZDNLQTOIFM	ZVDNHORMALUEITSGBPJXQKYF	BLHRPJDFUYEGKXOSMZNIVATQ	RPQMGAUVBFKIZOHNXLSTYJED	ZKXRBPLNJFEVSOMYIGAUDHTQ	RPTYDHKBGFAXZNEVLIOSUMQJ	TIKBULYXHODVNEFRZJSMPGQA	SFJKXQYGEMPUVBDATNOILRZH	KPDIZVBYMTQGHEOXLJSANFUR	KGXSZRJUABTDIYHQVNOLFPEM	JDXTIZYHENKFBPUQGSRVMAOL	DGUJFYKQIPBSAONMLTEZHRXV	IKTEUQJSMDROHGPZVLFXBYNA	BNMFRDGKIJYLSUHTVZQAXEOP	VQKFNALGHBPUIJOZYRXDTEMS	VXUTRDZYAQLOGHEPSBFJMIKN	SDYPOGAERZKQXIVLUBNJMHFT	DPIEVGSMXNKTLZQROABYUHJF	JIUPDNZYQLHRFGKEVSTMOBXA	1
main	28	DY1	nStreams	0	right	2	90	1	V	0	6	O	False	1	-1.40334185971e-14	0	17	YPTNOHEFMBQIAXVUJRDKGZLS	IEMUQDOGTFRKLJNBAXZYHPSV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	DY1	nStreams	0	right	21	0	0	H	0	8	P	False	3	-45.0	0	12	YQXGNZHRUISLEMVJFDTPKAOB	VBGJOILEXSFADPRNQUTZMYHK	NTBVAHSIJQXKEMGORPYZULDF	QDYGENXIPKOMSRUBZLFVHTAJ	ZBDJNAGMXPVUEILHRFTQOKSY	GBHLZFDRPJAXTINYKOVQUSEM	ZAOJDKLBVYHESRITQXMPFGUN	DXIPHRSVTOFLQNZJBMYKUGAE	TOUZKNIGPADYJMVEQLSXBHRF	OTJHABQYGRXKILDVZPNUESMF	KIHBMJQVYOAZFUSLENPXTDGR	JASDZNVQUYIEOLFRMBHXTPKG	TZGVYOXABLHEPFIKSQJDNRMU	ZMJSRTLYXHANUKVQEIOBGDFP	FUXISTMKRVOLAPZYGJNEQDHB	SQNTUFXYBMRJIZVDHOPALGKE	OZHYKITPUXQGBMNJLEFVSDRA	OXZMQYIVAHDKGNFTPSJEUBRL	DKLSUBXYPEMOGQFZJVNRIHAT	JPGNLZUMRKQAEISDVTOXFYHB	VHSYLJBNKMIFXGORZPDETQAU	1
main	30	DY1	nStreams	0	right	21	0	0	U	0	8	U	True	9	67.5	0	0	PMFVOGITNALESKXYBURHDZJQ	VKSERQIDJMHONBPAXYUTZFGL	ZGTBEIDHNMQJOSXPVFKALRUY	OMRUFKXGBNPQIHETAVJZLSDY	TDYGLRSFOQJAKZVXEIMUPHNB	SOZPVTMYNDURFLEIBXQAKHGJ	TRPSQMHZLOBVIFEGYADJXKNU	NHUMPBTJGYLDXEKOZAFIQSVR	QZPDLHAOXFRTYUNGKMSVIJEB	KREHZQILUVBFAXPNDJTOGYSM	SJTFHYPBEIAQNGVUOKLMRDZX	YBHPRFMLKSZAODXNGUEIJTVQ	EMBLHINAPSOXRZDUYTKQJGFV	NIBPMZGSYUJKRXATVEDFOQLH	QHIGFRJAXZMVBTSYODKEUNPL	KMIANDEUXPYQHBJGTOVFSRLZ	MJPSKOYELBRFQDVTHNIUAXZG	PRYHFVUDBXEQOZGTISNKMLAJ	EKGBVFJDNSAQOYPMLZTIUXRH	UJDGAVPMTYFQHBLEZOKIXNRS	ZSDKTMYJEGLFOBRNUVIPXAHQ	1
main	31	DY1	nStreams	0	right	21	0	0	F	0	10	V	False	18	-36.0	0	-4	XBNFHDRATQJVKZGIUOYEMLSP	HSODKTZYJARVGEBUILMQXNFP	JXVYBDTZSEURHAKFIQLPGNOM	DMISOJKQHZVFYAXPTLGNUREB	NGIRBDHVUSMXYEOALFKQZTJP	FJGDQHTYPISVZLRNBUXEKOAM	ZXNSOBVIJKYHRAQGLTPFDMUE	LKHXRNBSDMQOGAYIVJZUTPEF	MYDFUZVASIHNTEKBXGOPJRQL	UYSFDALVIRGHNBEOKXJMTQZP	ENGKLRYDIHAVUSBMXZPTQJFO	IDXVPORLTYQMEAZNKHSFBUGJ	DJSEZUHTBGOKMFVPXLINQYAR	IVJLYEMZQNAFUOKDGTSXRBHP	JHERXAIMYBNTVLKQZOSUPGDF	ZENHYFLXOPSBVAJIGKUDRQTM	EITNKPOUJXHZGYAVFMSBRQDL	IFLXEJVBZKSHORMYQTAGDPNU	ZDOUSXFLGMVBYQTNAIPREKHJ	UGIFZRKBPVETOJSYADNMHXQL	FNUZDQHEYASJVGOMPIXKLBRT	1
main	32	DY1	nStreams	0	right	2	135	2	T	0	7	A	False	0	-45.0	0	16	GYNQMLJAHIURSZFOVPBKXEDT	OBDKNQTMALGPFIHVUYSRJXZE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	DY1	nStreams	0	right	21	0	0	Y	0	7	H	False	20	-72.0	0	9	MSDOEXPLVIHKGYBRQZFNJUAT	ZRGNVSJHLQDIXUOBFMYETKAP	INXYGQEKFHPBZJMRAOVSDUTL	BNOKJMDHEGFUVYZRQLSPITXA	DZKNTFHGYMPBOUJVLQESIAXR	VLYPENURGQOKSJMBAFHXTDIZ	FGIPHKJYTMELVZUADOQRXBSN	YAIRJESLXMKFOQHPVGBDTNUZ	TXUGJIZEMKLHFSPQABYNODRV	RENFUVXDOJZIYGLKPMSHBATQ	ZVPDEYNXHIMOQFBKLASTGJRU	BSPLJNXDQVYTZEMGKHURFIAO	MVIUZGDOHTYQBXPJENFLASRK	QMLOGPEAKRFZYHXUVDJNBSIT	ZUPVBIATOGXLKMNSDHRYFQEJ	JUXSGNBAKRTHLODQMYIFPVZE	QKJVOZETDNBMFLAPYXGISUHR	RYSEBHJZATIKPDMVXFQNOGUL	VQFBRAGTSDMUKEOJLHNPXIYZ	XBEYUVMPHOJQNILZKDFRASGT	PNLDQTKHMAZBFXGVYRUOEJIS	1
main	34	DY1	nStreams	0	right	2	45	1	D	0	8	Y	False	0	-45.0	0	15	XRPEHTBQYKJVFGUSOAIMZNLD	JEXUQZYHKPFRNGISALTMOVBD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	DY1	nStreams	0	right	21	0	0	R	0	8	T	False	20	-72.0	0	6	EYQAZDPHRTIVKXJBOLSUNGFM	ORSQMBINFLTGAJZKDHUVEXYP	OQZRVBSUILANKEDPJXTFGHMY	BXLRMYAFQTDUHSGOPZEJIVNK	ZVJINBRTQFUYOEKGMAHSXLPD	BZSYIKVLPURETOJFADXGMHNQ	TGUSDIMFKRXEPNZVYHALBJOQ	XHUOEZVQNKTYIDGJRMAFLPBS	VDQYLUJTBRNPISOEKZXAMHGF	JNXLPUHTMVDYKZBIFEOSGRQA	LUVYIEHPXQMSJKGDBZATNROF	GJXPTQZNOYKFBRILUMESAHDV	IXOGKBAFRJYEHNQTSPDVZLMU	XUNRPHEMKGBSLYODJVITFAQZ	XSATBNYVEOMRHFUILQPGJZDK	KEUIHYJVPXZAGBNTSQFLMDRO	UYKFNLXGPZRVQDJIMTSBEOHA	HBFQAVZKXODMNERYJUISTPGL	NHYEVGZKLOBJAUXPDSMFRTQI	VYDKJHOLIQZAGTPFSRUXNMEB	KFXMNLSBTQEPUVRGHJOIYZDA	1
