experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	56	AG12SONA	2	2	Bouma	S	0	9	Y	False	0	180.0	0	1	1	-1	EAVXRZDGBTUIOSPKYHLNFMQJ	GKUIVAQRSYTEPNOFHLDBXZMJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	57	AG12SONA	2	2	Bouma	B	0	6	B	True	60	240.0	0	1	1	0	LAXHRZBTSQVOEDKPGUYIJFNM	XLVJAEBFNMPHKYDSORQZIGTU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	58	AG12SONA	2	2	Bouma	A	0	9	A	True	0	0.0	0	0	0	0	IEZJFMVQHAUDRLTBYGPXKONS	JNBGHSKZYDOQXPFEVIUTLMAR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	59	AG12SONA	2	2	Yes	M	0	9	J	False	0	180.0	0	1	1	-1	SDOYGARUBNJKVPZMIQTFELXH	XNQZBEDFMJLKOTSIYUVRHPGA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	60	AG12SONA	2	1	Yes	G	0	7	O	False	0	30.0	0	0	0	2	BPJHSNTOUGKMARDZEIFVXQYL	JMYVALXTQGDNOBUHEFKZRSIP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	61	AG12SONA	2	0	Bouma	O	0	7	P	False	0	0.0	0	0	0	1	YIMJATUPOGQSBLXEVKHDFZRN	BQSLJGIPXKVMUHRAEDZNYFTO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	62	AG12SONA	2	2	Yes	D	0	7	E	False	120	300.0	0	1	1	4	LPGSQIDVHAJBYNRTFEUZKMOX	MTNZFBSEAQIDJHVUKLOXGPYR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	63	AG12SONA	2	1	Yes	G	0	6	J	False	60	90.0	0	0	0	-1	FPVZRGJOLAUXBHKYIMDNQEST	MZELRSTQHGDJKAPBYFINXUOV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	64	AG12SONA	2	1	Yes	S	0	6	X	False	0	210.0	0	1	1	1	LBNPKEHTVOQZAISGUXMFRYDJ	OEVUBFXSQNKMDRHJYTAGPLZI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	65	AG12SONA	2	2	Yes	G	0	10	Z	False	120	120.0	0	0	0	3	QKSHDMATBPZRVGUNJYOXILEF	AIBSVHXLRKTZDYQNEMFGOUPJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	66	AG12SONA	2	0	Bouma	A	0	7	B	False	0	180.0	0	1	1	1	TFMDIHKXYELBAGVPZRNUJQSO	PLFVMRXBAIJZNOHYQDETSGUK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	67	AG12SONA	2	2	Yes	J	0	9	H	False	120	120.0	0	0	0	-5	YPRQJKENFHXLBGATVDZUSIMO	GFOBRYSIQVDKZJAPXEHTNMLU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	68	AG12SONA	2	2	Bouma	B	0	6	X	False	0	180.0	0	1	1	-2	KJGDTSFOMNHUREXIAPZYBLVQ	AJYMBRXQVKEZNDLSTPUHGFIO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	69	AG12SONA	2	2	Yes	S	0	6	K	False	60	240.0	0	1	1	1	JMVZBXPHLKDIFSNOGTEYRAUQ	HUDGMVKSNREZIXPFOBJYTAQL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	70	AG12SONA	2	2	Yes	B	0	10	N	False	60	240.0	0	1	1	5	HLBNXJOFVZDQUISARYMPEKTG	TOYUAZVMJPNEQXRBKLSIFGHD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	71	AG12SONA	2	1	Yes	A	0	10	X	False	0	210.0	0	1	1	-1	ZLDHFBVYQTNIGXMOUPJEKARS	OBUMEJFRLAXYKHQPSGVZNIDT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	72	AG12SONA	2	2	Yes	G	0	6	L	False	60	60.0	0	0	0	-6	GNMZASLPKYUEFDOQHRVIJBTX	HFDZTLPVGQEMAROUSIBXJYKN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	73	AG12SONA	2	0	Yes	A	0	8	A	True	120	120.0	0	0	0	0	KPMBXVHNAZFTULGQOIYDJERS	KQVGTSLDJBHRYXIOPFEAMUZN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	74	AG12SONA	2	0	Bouma	M	0	6	Q	False	60	240.0	0	1	1	1	BEAFMYJIHVLSUPKRQGNOZTXD	PJGBUNQMIKRTFDHVLZSOAEXY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	75	AG12SONA	2	0	Yes	S	0	6	T	False	120	120.0	0	0	0	-4	ZKSQLETMYFRPJGAUODVNXBIH	YLIMFTVEGZRPNDQJKOUXBHSA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	76	AG12SONA	2	1	Yes	M	0	8	M	True	120	330.0	0	1	1	0	JBRPYMNIEHGOQXKVALUTDZFS	BPTRGLAXMQSEHDZVFYINOKUJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	77	AG12SONA	2	2	Yes	A	0	6	S	False	0	0.0	0	0	0	3	OTDPJGSLFABKQUVEYMXHZRNI	BLISDGZJQXYORTEUKFNAMHVP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
