experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	45	CharlieSingleShot	2	0	Bouma	G	0	2	G	True	120	300.0	0	1	1	0	##N##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	46	CharlieSingleShot	2	2	Bouma	D	0	2	D	True	0	0.0	0	0	0	0	##D##	##L##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	47	CharlieSingleShot	2	1	Bouma	N	0	2	N	True	120	150.0	0	0	0	0	##N##	##F##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	48	CharlieSingleShot	2	1	Bouma	N	0	2	N	True	120	330.0	0	1	1	0	##T##	##N##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	49	CharlieSingleShot	2	2	Bouma	H	0	2	H	True	120	120.0	0	0	0	0	##H##	##D##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	50	CharlieSingleShot	2	1	Bouma	T	0	2	T	True	120	150.0	0	0	0	0	##T##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	51	CharlieSingleShot	2	1	Bouma	A	0	2	A	True	120	330.0	0	1	1	0	##Y##	##A##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	52	CharlieSingleShot	2	0	Bouma	N	0	2	N	True	60	60.0	0	0	0	0	##N##	##F##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	53	CharlieSingleShot	2	1	Bouma	X	0	2	X	True	60	90.0	0	0	0	0	##X##	##R##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	54	CharlieSingleShot	2	1	Bouma	R	0	2	R	True	60	90.0	0	0	0	0	##R##	##X##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	55	CharlieSingleShot	2	0	Bouma	N	0	2	N	True	0	0.0	0	0	0	0	##N##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	56	CharlieSingleShot	2	0	Bouma	D	0	2	D	True	0	180.0	0	1	1	0	##X##	##D##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	57	CharlieSingleShot	2	1	Bouma	E	0	2	E	True	60	270.0	0	1	1	0	##V##	##E##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	58	CharlieSingleShot	2	2	Bouma	H	0	2	H	True	0	0.0	0	0	0	0	##H##	##Z##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	59	CharlieSingleShot	2	1	Bouma	R	0	2	R	True	120	330.0	0	1	1	0	##U##	##R##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	60	CharlieSingleShot	2	1	Bouma	B	0	2	B	True	120	330.0	0	1	1	0	##N##	##B##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	61	CharlieSingleShot	2	2	Bouma	F	0	2	F	True	0	0.0	0	0	0	0	##F##	##Q##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	62	CharlieSingleShot	2	1	Bouma	N	0	2	M	False	0	30.0	0	0	0	999	##M##	##Z##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	63	CharlieSingleShot	2	2	Bouma	Z	0	2	Z	True	60	60.0	0	0	0	0	##Z##	##Z##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	64	CharlieSingleShot	2	0	Bouma	M	0	2	M	True	0	180.0	0	1	1	0	##G##	##M##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	65	CharlieSingleShot	2	2	Bouma	K	0	2	K	True	60	60.0	0	0	0	0	##K##	##M##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	66	CharlieSingleShot	2	1	Bouma	V	0	2	V	True	60	90.0	0	0	0	0	##V##	##Z##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	67	CharlieSingleShot	2	0	Bouma	B	0	2	B	True	120	120.0	0	0	0	0	##B##	##X##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	68	CharlieSingleShot	2	2	Bouma	O	0	2	O	True	60	60.0	0	0	0	0	##O##	##P##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	69	CharlieSingleShot	2	0	Bouma	G	0	2	G	True	120	120.0	0	0	0	0	##G##	##L##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	70	CharlieSingleShot	2	1	Bouma	G	0	2	G	True	60	90.0	0	0	0	0	##G##	##T##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	71	CharlieSingleShot	2	1	Bouma	H	0	2	H	True	120	150.0	0	0	0	0	##H##	##E##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	72	CharlieSingleShot	2	0	Bouma	E	0	2	E	True	120	300.0	0	1	1	0	##A##	##E##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	73	CharlieSingleShot	2	2	Bouma	U	0	2	U	True	60	60.0	0	0	0	0	##U##	##V##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	74	CharlieSingleShot	2	2	Bouma	H	0	2	H	True	120	300.0	0	1	1	0	##L##	##H##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	75	CharlieSingleShot	2	2	Bouma	J	0	2	J	True	60	60.0	0	0	0	0	##J##	##S##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	76	CharlieSingleShot	2	2	Bouma	V	0	2	N	False	120	300.0	0	1	1	999	##M##	##N##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	77	CharlieSingleShot	2	0	Bouma	Q	0	2	Q	True	120	300.0	0	1	1	0	##L##	##Q##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	78	CharlieSingleShot	2	1	Bouma	P	0	2	P	True	0	210.0	0	1	1	0	##N##	##P##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	79	CharlieSingleShot	2	1	Bouma	Y	0	2	Y	True	0	210.0	0	1	1	0	##B##	##Y##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
