experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	10 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 225 	R 	0 	6 	U 	0.0 	1 	0 	1.0 	SDZEXPYFBGRIJVKOQTUHMLAN	HZXFNIURPYQJLGSDEBOTKAMV	-99	-99	-99	-99	-99	-99	0
main	11 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 90 	Z 	0 	8 	X 	0.0 	1 	0 	1.0 	PAEHLQBUOVSYTIDMGJNZFXKR	AUQTBPRGXZKYIJFVOEMLDNSH	-99	-99	-99	-99	-99	-99	0
main	12 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 225 	M 	0 	6 	N 	0.0 	1 	0 	16.0 	TSHXFBQYODINLJPMUGRKZAEV	ZXJLYGNBKIAHVEODSUFTRPMQ	-99	-99	-99	-99	-99	-99	0
main	13 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 180 	S 	0 	7 	R 	0.0 	1 	0 	-2.0 	DUROFHBIZVLAEKMQXGTNJSPY	KQUAXSFRHDENZJGYLPBIMOVT	-99	-99	-99	-99	-99	-99	0
main	14 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 315 	H 	0 	6 	J 	0.0 	0 	0 	1.0 	EPYLOGJHZKMQDSINVFABXUTR	IQFERHYLOKJXAMVZGBUSTDPN	-99	-99	-99	-99	-99	-99	0
main	15 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 45 	R 	0 	10 	D 	0.0 	0 	0 	1.0 	MVIOHAZXGKDRSJUYNTBPFELQ	HJZXDBYURPSKATQNIVMOELGF	-99	-99	-99	-99	-99	-99	0
main	16 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 270 	L 	0 	9 	O 	0.0 	0 	0 	-2.0 	XTNQVUALYOMKDSZHGBJPRFIE	QGLOSUIAEZPJYRKBFMNDXHTV	-99	-99	-99	-99	-99	-99	0
main	17 	YZ15 	 oneCued 	 0.0 	 right 	 8 	 90 	M 	0 	6 	F 	0.0 	6 	0 	-1.0 	GLTMXEOZDYRVNIKUAQHJSFPB	XSGAJETLQBMKRUOIDNHFPZVY	GSEPBXHJUOKAMVIFLNDZTYQR	UVZYEMRHFDQTLPJXABOSNKIG	VREHKUYJZNSOXIQDTLBGFAPM	EJGBAZXHNUYOLMSPRKDITFVQ	GBDIEMFLQHOVTUAZSJKPNXRY	QBIMYPRKFNHTOSJXUDEAVZGL	0
main	18 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 0 	S 	0 	8 	I 	0.0 	0 	0 	7.0 	KBAOPRNUIGYEVZLSFXMTQDHJ	UMEJXOKQVTDINGYRBPZLAHFS	-99	-99	-99	-99	-99	-99	0
main	19 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 135 	M 	0 	9 	M 	1.0 	1 	0 	0.0 	GDFMNOSRXABHVJTLZKPIQYUE	OYTIVAZSKMXFHQRNGULBPJDE	-99	-99	-99	-99	-99	-99	0
