"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nStreams"	"eccentricity"	"polarAngle"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"cueType"	"cuePos0"	"responsePos"	"fixationReject"	"ID"
"main"	81	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"D "	"E "	0	3	0	6	"TWRIJMSQOBUNLVXGPFKDHACZEY"	"BJLYERPDUMSCGAVOIHWZQXKTFN"	"WMDNXGILHAKJPQYFSVCRBUTZOE"	"SIGZOYKXEPNFJUDTLBRCMHAVWQ"	"TLWOIFSRYNQXACJUEGVBDKHMZP"	"POZQDHEKAWSYLGRTMCVIUNXJBF"	2	"exogenousRing"	8	14	FALSE	"CL"
"main"	82	"CLExN6 "	" oneCued "	0	" left "	6	6	120	"E "	"I "	0	5	0	2	"IJXNFUHOESMRCQDZWLKTBYPAVG"	"JTCLYMBEIHZKFVDSOAPNXRUWQG"	"HIMYFWPVRKNDZABEULXSJCQTOG"	"TWUDPXEJAOYLKGBCQZVRFNISHM"	"EJWLFHMZTKDIBACOSGXRPUQVNY"	"PQNTVAWYMBIXEKLGUZJOFDRSCH"	2	"exogenousRing"	10	12	FALSE	"CL"
"main"	83	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"J "	"N "	0	0	0	2	"IEBZLUQNWJPYMAKSTHXCDORFVG"	"AYPRIWGMSCOEFXKZJVTLDBUQNH"	"GZTPDCEOBYSLFQJRINVHUXAKWM"	"JXGINTYSUBFRMPHEDLKOZVCQWA"	"KOVFNQMELXBYGSCIWDTPJHRUZA"	"LQJXWCYFTUNBAGDOIMSPVKHZRE"	1	"exogenousRing"	7	9	TRUE	"CL"
"main"	84	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"D "	"N "	0	1	0	-2	"QNKGCHVPUYTSOIJXFMZWDELBRA"	"AELWZDPNOVYTXSBIJQFUHMCRGK"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	7	5	FALSE	"CL"
"main"	85	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"D "	"H "	0	0	0	2	"RWKPJSHODIZNEATMBYCXFVQLUG"	"NMZGKWJTRPXAYQHCLUIBFSDVOE"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	6	8	FALSE	"CL"
"main"	86	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"I "	"C "	0	1	0	-5	"IKQBXSWHUZODLMVYAJCRPGFTEN"	"FITAXYCLJPMQOKNZDWUSGVHEBR"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	6	1	FALSE	"CL"
"main"	87	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"G "	"Q "	0	1	0	1	"OTUHXFKCVJPYLNESZGWIQMDRAB"	"TOPEXLBQGFMJRDVSICYHZUKANW"	"SKAPNGQEIHBYFRTOVLDWMUJXZC"	"VMFPAXWBRYOKTDQUSNCZJLGHEI"	"ICANTPSOXRUMBDJFGLEKYHVZQW"	"ATMBLQKVNCOXFDGZSIWJHUEYRP"	0	"exogenousRing"	7	8	FALSE	"CL"
"main"	88	"CLExN6 "	" oneCued "	0	" left "	6	6	120	"M "	"V "	0	5	0	1	"ACSBGXTEJVHOZYKDLWPQMNIUFR"	"UXWAILNFPEKYDMRQHJOSVTGCZB"	"AUGPNKTFJCSYIQWDBHOMZRELXV"	"TFXVKYJHMACLSDNIGEOPRUWQZB"	"XPYNHEVDMWIFKRLAJQSUTZOGCB"	"PJSNYEVMHIALKWDRBGOZXCFTQU"	0	"exogenousRing"	6	7	TRUE	"CL"
"main"	89	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"X "	"X "	1	1	0	0	"NALECVQGJKMZFRIDWHXTBOYPUS"	"EPFQBTXZROGWMCUKHSAVIJDYNL"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	6	6	FALSE	"CL"
"main"	90	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"B "	"D "	0	1	0	-1	"KWDBQGUONZHMVSLRAYXJIFTCPE"	"TWQXYIUBDERVMPJGAOLZNKHSCF"	"JRWFNALEGIZCUYXHTVPKMOSBDQ"	"IAYSWHUOXBZRQEGLMVCTJFDNKP"	"XULKZJEASTOYGFHINRCDWBQPVM"	"DQZMRTUHXVJKYESOWCINFGALPB"	1	"exogenousRing"	8	7	TRUE	"CL"
"main"	91	"CLExN6 "	" oneCued "	0	" left "	6	6	120	"S "	"M "	0	2	0	-5	"LVHUESAYWNQGZODMCIKXFRBJTP"	"RZDEUQAKOVGYBHWTNIMCLXSPFJ"	"CSIQENMZTYXVUPRLGODKHFBWAJ"	"QCRIVNFAJDHGMLPWKZBTYESXOU"	"YEBUTXHJRDKSZGICVMWQPAFLNO"	"NMTZSGIYJXCEBQKAPDVLFORWUH"	0	"exogenousRing"	6	1	FALSE	"CL"
"main"	92	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"W "	"N "	0	3	0	1	"OPJDFCRSXBLUAKTNZEVMIHGWQY"	"XHDUGTJWYQOEBRZPFASCLKMNVI"	"ZEWIANVMSXTJCLQOUPBYDGRHFK"	"DIOTRKCZPHNWVAJBXQEGFMYSLU"	"MRYGUEZAOTLFPJQXDCHBSNWIVK"	"NMSTKIYLERHBOWQCAGVFDPXZJU"	2	"exogenousRing"	10	11	TRUE	"CL"
"main"	93	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"E "	"R "	0	4	0	1	"YAVLSETDPFOZIKNJGHXRQBWMUC"	"NEATJCRHDZWYSQPGMVBXFKLUIO"	"CJKFETPYLDVXSMBHRZQNUGAOIW"	"TLCXDUSNMYJGBQFRVZOKAEHPWI"	"MQFPYTIVORECJSUKXGHBLDZAWN"	"YZLSMEUWHPBVCXTAGOFINDRQJK"	1	"exogenousRing"	9	10	FALSE	"CL"
"main"	94	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"E "	"F "	0	0	0	12	"UYTOICFNWDVAQBZLMJEXKGSPRH"	"ZBUJGQPLRXKAVHENTSDYWFMCIO"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	6	18	FALSE	"CL"
"main"	95	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"W "	"W "	1	1	0	0	"SWFHNEZLCDPXQUYBJIAROMVGKT"	"CXVIYMQUNWLDZEROFGKHTSJBAP"	"MCFVOAUNJDTLRGKPWHXBSZQEIY"	"LNDGPERIKJXSATFUHQMWZOVBYC"	"KEFVIYNOHRUGWSMZCABTJLPXQD"	"XGILVAPSBQHYWKDURZEFOMCJTN"	1	"exogenousRing"	9	9	FALSE	"CL"
"main"	96	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"C "	"C "	1	1	0	0	"CMQZRYKLPBTGSNXHVWFEIDOJAU"	"BHQFMAZWJLCREIVDKTNGPSXUOY"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	10	10	FALSE	"CL"
"main"	97	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"I "	"W "	0	1	0	-6	"BTKXVUFCJDAHPWEZNQMGOLYSIR"	"FSIEYQDRWUTZOXGKMCLAJHVBPN"	"-99"	"-99"	"-99"	"-99"	2	"exogenousRing"	8	2	FALSE	"CL"
"main"	98	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"E "	"N "	0	1	0	-1	"PBLDTXERVCFQAZNGYOSWUKJIHM"	"ORBLGZWQXENDUIKPHTFAYMCJVS"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	10	9	FALSE	"CL"
"main"	99	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"S "	"M "	0	1	0	3	"QCUFVKBOPZLWDGSEXMANYIHRJT"	"VKCLAFRNEMXOSWPDTIBHQGJZUY"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	9	12	TRUE	"CL"
"main"	100	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"G "	"A "	0	0	0	1	"WBVRSJCNAGYXQOPTLFKUZIEHDM"	"JBOQKXWUANFYLGPCIESRMZTDHV"	"TDSAPQEBFZHCXVMIULRGWYONKJ"	"BGFWLYCMESHOUZNXJVQAKTIDRP"	"GCMFHJVBNUTXSWREKZAIDQPLOY"	"OTPXALEBHNDZIGFMRWCVYQSJUK"	0	"exogenousRing"	8	9	TRUE	"CL"
"main"	101	"CLExN6 "	" oneCued "	0	" left "	6	6	120	"W "	"U "	0	5	0	2	"MUBQRALVXWESFGKCIDZYJTHONP"	"DUJBSNYATLGOFVPHMXEKQWZIRC"	"IFJMTLZARGCSQXNYEBPHWOUVDK"	"CBRKFGHVLMTNJXDSWEZOUPYAQI"	"OXPMCBGUYVZRTFESLWNADHJIQK"	"QNRAIMFUKWYTCLXPODEBHJZVSG"	0	"exogenousRing"	7	9	FALSE	"CL"
"main"	102	"CLExN6 "	" oneCued "	0	" left "	6	6	120	"C "	"F "	0	2	0	-6	"FRNABDGZEJLMVHCYUOTQPWIXSK"	"IQMPAKLCGDFRTYHEBUSVWZOXJN"	"HNCVLKYMFGXUDSEWRBJPZAOTQI"	"SYVHNKUBAJQWDLCRTEIGPZFXOM"	"NGMILESDYHTXUWZOPVRFJQCAKB"	"MDCWLPJYNARKIOTQVBEXZSGHUF"	0	"exogenousRing"	8	2	FALSE	"CL"
"main"	103	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"D "	"F "	0	0	0	2	"GCNMQYUKEFVDBRZWHXSLAPOJIT"	"OLWGMVIQRCYFTEKZANXHUPBDSJ"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	9	11	FALSE	"CL"
"main"	104	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"H "	"R "	0	1	0	5	"WAXHVBSEIORLQFTPJCKDMGNYUZ"	"FDXGBEOJCRYMKTHPAWISNLZVUQ"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	9	14	FALSE	"CL"
"main"	105	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"C "	"Z "	0	0	0	1	"MWGBYSIQDEZCTFKJPOVXNHLARU"	"HJSLDQXEKTVWAYUNBPGZMFRIOC"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	10	11	FALSE	"CL"
"main"	106	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"E "	"F "	0	0	0	-9	"ETPIDSOWJFLBAYRMZVNQXCHUKG"	"ANJUCVSBOLXRDIHKGTYFQZMEPW"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	9	0	FALSE	"CL"
"main"	107	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"C "	"U "	0	0	0	-2	"XWAVFNEICHUBOMRYDTGJQSKLZP"	"CFAOYPTDNKEUVWRJMQHIXBGLSZ"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	10	8	FALSE	"CL"
"main"	108	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"R "	"H "	0	4	0	3	"VALXOPFNMSDQUBZECWYGIJTKRH"	"TQRLFBOHYXKAIDPZWSNVUCMEGJ"	"JLCXUSQRDHYFNOPTVEBIGKWAZM"	"LVQERNIUAWOKBMFJZXHCYDPTSG"	"LIDPKTQZSOHVBRUYFGEACMJNXW"	"RKJANUPZYOQCGDMHVSETBLXFWI"	1	"exogenousRing"	10	13	FALSE	"CL"
"main"	109	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"G "	"Q "	0	0	0	15	"TSRMDFWHQEKIXCBUVJNAYZOGLP"	"EBDMOZGNYJAPXHRKTUWLVISQFC"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	8	23	FALSE	"CL"
"main"	110	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"N "	"P "	0	0	0	1	"WLTKXDGJEPNHROVCQSAFMUYBIZ"	"NEBHGLSDUVOFXRWJCMAIQPTYZK"	"JMDTVWXCHNUIQREKSBYAGPOFZL"	"XIMFQPBVCZLAJNREOWDUSGTKHY"	"JNMOLRHVISXUPBAFCTZEYDGKWQ"	"WXALMIVQCRFBUSGOHKTDNYPZJE"	3	"exogenousRing"	9	10	FALSE	"CL"
"main"	111	"CLExN6 "	" oneCued "	0	" left "	6	6	120	"K "	"W "	0	5	0	2	"UZPBHRMTWYQOLFAXCENGKVDISJ"	"WZXOMJVTEKGQBHRPAICFYUSLND"	"XOUASPREJMKCZFWYDNQVHGBILT"	"NCOHBGQTWIXPFEZJVMADYKLSRU"	"YMLUGPHEAWKQSRBTZNJXODVFIC"	"HTPZLARUWXKINQEMSJGDOCYBVF"	1	"exogenousRing"	8	10	FALSE	"CL"
"main"	112	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"X "	"K "	0	4	0	-1	"DBWCNROYUMLEIAVXFQJSPKGTHZ"	"KEVFSDMBGPUQYNIJALCOTXRWZH"	"SQZYUIEWBARNJVGKDTCMLPOXFH"	"CEDAKSVNXHBGJTIOWZPRMUFQLY"	"YCLQIXKWFZMPDORBUJGVNTSAHE"	"FXCSPWARKNBJDOZHTGEIMLYQUV"	0	"exogenousRing"	6	5	FALSE	"CL"
"main"	113	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"E "	"E "	1	0	0	0	"QOJDVWNIMUECFLAKGBHZRPYTXS"	"BLKGRSXMZTQDWNAYIVPOUJEHCF"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	10	10	FALSE	"CL"
"main"	114	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"L "	"J "	0	0	0	1	"TQYOANMJLHBZSIXKVCDPWGURFE"	"EDLYGZUWPATROVBJKSXMICFHNQ"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	7	8	FALSE	"CL"
"main"	115	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"J "	"Z "	0	4	0	4	"ONUCAHWLBFPEVDTZIYJMKQXSGR"	"VYZLWJCBPFNHTQXUISARKMEOGD"	"JWGZADUFTOENVCLRKMPSBIYHQX"	"GAFBRSWVLYKMOHTPXCQJNZUDIE"	"QRFLSIDYZWAHJNEKBOTUGPXVMC"	"GJCEARHPVMKXBUDTZQYIOSWNLF"	0	"exogenousRing"	8	12	TRUE	"CL"
"main"	116	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"M "	"C "	0	1	0	3	"IOVCHAEKBPNXQZFYMDTUJWSRGL"	"VXIZFETYCWDMUKOLPNGHQBJRAS"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	8	11	TRUE	"CL"
"main"	117	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"E "	"D "	0	1	0	-3	"CRGAVZEIKLDSUBWONFQHTJXMYP"	"JPFVEUQDZXWTISKOABNLRGCYHM"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	7	4	FALSE	"CL"
"main"	118	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"M "	"H "	0	1	0	1	"EBTIJXFOPCHAQLNSZWVRMDKGYU"	"FXLWPJBNAYHMZUSIRQGTEKCOVD"	"NTOUEHCMVYLZWGDAPJFXQKSBIR"	"UJWNFDKPLEVMHOARGQBXTCYZIS"	"CMXAJVRTQHFPKIYZLNWUDSGEBO"	"MIWUZYOHVGRTKNQBCPXSLFJDEA"	2	"exogenousRing"	10	11	FALSE	"CL"
"main"	119	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"T "	"F "	0	3	0	1	"UMTOBERAKQJWVLXICGYHSNFDPZ"	"URGKTHPFVDYXELQCBZAJMNIOSW"	"RTUHBNPXSOMQIYKZVGJACFDLEW"	"KJOSEVZFTDBLYRXGANMCIHQUWP"	"JXYLPCSMKDROETBHWUGQZVAFIN"	"TBOCXYDUPRWHFALIEKGNZMQJSV"	0	"exogenousRing"	7	8	FALSE	"CL"
"main"	120	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"R "	"B "	0	1	0	-6	"ODHMJUBEQCPFGXLRASTYVWZKNI"	"RQMWDFBTJHEKXPZALNCVYUIGSO"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	6	0	FALSE	"CL"
"main"	121	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"O "	"O "	1	0	0	0	"WZMVFDSBOCTYEUKIPNARLJQXHG"	"YULAVCEJGPOXIQNWZMRTSKBHDF"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	8	8	FALSE	"CL"
