"exp","condition","SPE","targetSP","ID","fixationReject","button","ring","whichStreamCuedAngle"
"main","6",0,8,"18AH2",TRUE,0,0,60
"main","18",2,8,"18AH2",FALSE,0,2,180
"main","18",1,10,"18AH2",FALSE,0,2,180
"main","6",12,8,"18AH2",FALSE,0,0,0
"main","6",-3,10,"18AH2",FALSE,0,2,60
"main","6",1,10,"18AH2",FALSE,0,0,60
"main","6",1,6,"18AH2",FALSE,0,1,90
"main","6",0,6,"18AH2",TRUE,0,0,180
"main","6",-2,10,"18AH2",FALSE,0,1,210
"main","18",2,6,"18AH2",FALSE,0,2,0
"main","18",1,10,"18AH2",FALSE,0,1,210
"main","18",1,7,"18AH2",FALSE,0,2,300
"main","6",1,7,"18AH2",TRUE,0,0,180
"main","18",1,7,"18AH2",FALSE,0,0,120
"main","2",10,7,"18AH2",FALSE,0,1,210
"main","18",1,8,"18AH2",TRUE,0,0,180
"main","18",12,7,"18AH2",FALSE,0,0,0
"main","18",0,10,"18AH2",FALSE,0,1,30
"main","2",-1,8,"18AH2",FALSE,0,0,240
"main","2",-2,9,"18AH2",FALSE,0,0,240
"main","18",1,9,"18AH2",FALSE,0,0,300
"main","6",1,8,"18AH2",FALSE,0,0,240
"main","6",1,8,"18AH2",FALSE,0,2,120
"main","6",1,8,"18AH2",FALSE,0,1,90
"main","6",-2,7,"18AH2",FALSE,0,1,330
"main","6",1,7,"18AH2",FALSE,0,2,180
"main","6",1,10,"18AH2",FALSE,0,1,330
"main","18",0,10,"18AH2",FALSE,0,2,60
"main","18",4,7,"18AH2",FALSE,0,2,120
"main","2",1,6,"18AH2",FALSE,0,1,150
"main","2",-10,10,"18AH2",FALSE,0,2,0
"main","2",2,9,"18AH2",FALSE,0,2,180
"main","2",1,10,"18AH2",FALSE,0,0,300
"main","18",1,7,"18AH2",TRUE,0,0,180
"main","6",1,7,"18AH2",FALSE,0,1,270
"main","2",-2,6,"18AH2",FALSE,0,2,60
"main","2",7,6,"18AH2",FALSE,0,2,240
"main","6",0,10,"18AH2",TRUE,0,0,180
"main","18",1,7,"18AH2",FALSE,0,2,60
"main","2",-2,10,"18AH2",FALSE,0,2,300
"main","18",1,9,"18AH2",FALSE,0,1,270
"main","6",1,9,"18AH2",FALSE,0,2,180
"main","18",1,6,"18AH2",TRUE,0,0,240
"main","6",1,9,"18AH2",TRUE,0,1,150
"main","18",1,9,"18AH2",FALSE,0,1,150
"main","2",-2,9,"18AH2",FALSE,0,2,120
"main","6",0,6,"18AH2",FALSE,0,0,120
"main","18",1,10,"18AH2",FALSE,0,1,270
"main","2",0,7,"18AH2",TRUE,0,0,240
"main","6",1,7,"18AH2",FALSE,0,2,0
"main","6",0,6,"18AH2",TRUE,0,0,0
"main","6",-1,9,"18AH2",FALSE,0,2,60
"main","2",1,6,"18AH2",TRUE,0,1,90
"main","2",1,6,"18AH2",TRUE,0,1,270
"main","2",-1,6,"18AH2",TRUE,0,2,120
"main","18",-5,7,"18AH2",FALSE,0,2,180
"main","18",-1,9,"18AH2",FALSE,0,2,180
"main","6",2,6,"18GL7",FALSE,0,1,330
