"ID","trial","condition","stream","SPE","targetSP","response","stimuli"
"AH",47,6,1,1,17,"T","ZHSGOIYCMWLJDARXKTPBQEUF"
"AH",48,6,1,0,17,"T","BUSWGXRHIQYOKFAZTEPJMCDL"
"AH",49,6,1,0,18,"Q","YERSJULBWIKXZOCGMQFDTPAH"
"AH",50,6,1,1,11,"X","AMHQBOKZEFJXISRYDUPWGLCT"
"AH",26,6,2,0,17,"R","YHUWJPSEFXIGZDKBRQOLACMT"
"AH",27,6,2,0,12,"Z","GFAJCWMLBKSZYRUHOTIPDEXQ"
"AH",28,6,2,0,18,"U","SAIRMKJHPEOQGBFLWUYXCZTD"
"AH",29,6,2,0,18,"M","STFZWQYLJBIAPGHECMOXRDUK"
"AH",30,6,2,1,8,"H","AZFKUGDXHYLQMWORTIPBCEJS"
"AH",31,6,2,4,13,"K","ZRBJQLWYHMSGFXOPKTUCDEAI"
"AH",32,6,2,4,12,"M","DYUSZQLGKICWTJBMPREFHOXA"
"AH",33,6,2,0,7,"P","BXZEADPKMSIHYFRTJOGWQCUL"
"AH",34,6,2,0,18,"G","DLKIXYZFCUJPAHETSGMOBRWQ"
"AH",35,6,2,0,15,"B","FUOTPGQLRXMHAJBEWZKSDICY"
"AH",36,6,2,0,11,"M","EPATLOGQFUMIKHSBRZDXJCWY"
"AH",37,6,2,0,17,"Q","BRHLDAGCMIKYUSEZQOPTFJXW"
"AH",38,6,2,0,17,"P","MOBZKTULHEIQWCJRPFSXGYAD"
"AH",39,6,2,0,18,"G","XRZIYEPJFBOASLUDWGHQCKMT"
"AH",40,6,2,2,13,"U","EQXCTHJGIYWLPMUKFZODBRSA"
"AH",41,6,2,0,17,"Q","LDYRJXIMSUKCOTAHQFPGZEBW"
"AH",42,6,2,0,15,"J","TYGKFLZUEDHPQCJSAXROMIBW"
"AH",43,6,2,0,9,"G","XIAQWBSKGDZJEYOTUHLCRPFM"
"AH",44,6,2,1,13,"T","OXQJWEDZYFHRITLPCUKGBMAS"
"AH",45,6,2,0,13,"Z","LSQJKAUHYXTCZPEMIOWFGDBR"
"AH",46,6,2,0,10,"A","KYCQDOXSRAJEZHBWUPLTFMIG"
"AH",47,6,2,1,17,"O","GQKATHXDYWLZBEISUOJPRMFC"
"AH",48,6,2,0,17,"A","URMLQHYOTJECFGZXAWPBKSID"
"AH",49,6,2,-8,18,"W","URPIGKFQCWMSTZHJAXYBEOLD"
"AH",50,6,2,-6,11,"M","IZQUMHDJAXWROPTSEFGYKCLB"
"AH",51,6,1,1,8,"R","OZEWBUXIRMDSCAPGQJKTYLHF"
"AH",52,6,1,0,11,"E","TZAUDXHOBYERSGMCQWIFKPLJ"
"AH",53,6,1,0,10,"S","LCREUJDWTSIZOYBAMXPHGKQF"
"AH",54,6,1,0,9,"L","OCGWDSEKLAYQPTZXJBURIFMH"
"AH",55,6,1,0,17,"S","BDFALMIWCXKYGREJSHOPQZUT"
"AH",56,6,1,0,9,"A","RFGXDBCTAKYMUEWJSQLHZPOI"
"AH",57,6,1,0,8,"H","BTCRGWOHAKUQLMSPXIJFEDYZ"
"AH",58,6,1,-7,17,"T","KQRFOUEGBTPXCMYJIWHSZLAD"
"AH",59,6,1,-1,18,"W","ZDFPUSBYEACOILXRWKQHMJTG"
"AH",60,6,1,0,17,"D","RSGZBTJHUWMCQPEFDKLIAYXO"
"AH",61,6,1,0,18,"T","ASRCUDLOIZBJHPMEWTQXYKFG"
"AH",62,6,1,1,7,"D","FPSTKECDBIWJLZHQUGORYXAM"
"AH",63,6,1,0,12,"T","PIBGEMUHASYTOQCDWKRFLXZJ"
"AH",64,6,1,0,7,"L","TDQPWGLFYKISCARZJOHBUXME"
"AH",65,6,1,1,11,"X","LGKYABJDCQUXHROTEFZSIPWM"
"AH",66,6,1,0,9,"D","EAZMLWFIDTHXQSRGPUKOYBJC"
"AH",67,6,1,5,8,"T","LABEOZUJDXFRTWIPYKMGSCHQ"
"AH",68,6,1,0,10,"X","YUBREKZCIXTFQPDLJWHSAGOM"
"AH",69,6,1,0,15,"Z","XJEUIAFWLTOQSCZBMHYGPKRD"
"AH",70,6,1,1,11,"S","BMZXJTWORCKSGULEAPFQDYHI"
"AH",71,6,1,1,12,"T","ZOKXJPECMFSLTDHYBAUQIRWG"
"AH",72,6,1,-3,9,"W","FIQKPWELMCROYUTZJSGDAXHB"
"AH",73,6,1,0,11,"Z","XLECIHOPQBZUMGRKSFTYJADW"
"AH",74,6,1,1,12,"S","RMBTKUXFDIWHSZJPLEAQYOGC"
"AH",75,6,1,0,9,"K","ZBWGXEPIKHCYOJMDUFQRLATS"
"AH",51,6,2,1,8,"K","EXPBHFUIKQAJWLRMYDZGCSTO"
"AH",52,6,2,6,11,"Q","WMJPSAHUXROFYKILQDCETBZG"
"AH",53,6,2,0,10,"M","BTSGOFXAKMEDJRHQZYILWCUP"
"AH",54,6,2,-5,9,"W","UFPWDIHQMSXKAOLGZECJBYTR"
"AH",55,6,2,0,17,"Y","QFOGLZWSXKTMUIDEYRCAJHPB"
"AH",56,6,2,0,9,"X","IFODLURYXQAHGJSPCMWBEZKT"
"AH",57,6,2,0,8,"C","YEPZDTUCWFOJAGMQSIHKRLBX"
"AH",58,6,2,0,17,"Q","IZMPGOSRKBWHEFTYQLJADCXU"
"AH",59,6,2,0,18,"C","DMTQWRBLUSIPHYKGZCAJXFOE"
"AH",60,6,2,1,17,"S","GREQMWICTJYKUBZFDSALHOPX"
"AH",61,6,2,0,18,"R","LGSOXPZEHJFUQBYWKRAIDCTM"
"AH",62,6,2,1,7,"B","DPSLAQOBXGWRIKZMHFEYUJTC"
"AH",63,6,2,0,12,"Y","BAXFGURPKTLYDCIEOJZMSQWH"
"AH",64,6,2,-3,7,"M","CWJMSKBEFZGLPIOQRDYTUHXA"
"AH",65,6,2,-5,11,"U","KPRHTUBGZLFOYQDSIWAMXEJC"
"AH",66,6,2,0,9,"Q","JDHPTFLIQWKESOXBRUCGZAYM"
"AH",67,6,2,0,8,"B","AXHSIGDBFWTYPRZQKOLEJMUC"
"AH",68,6,2,1,10,"C","TXFUDKJPAICHYMWBZGQLRESO"
"AH",69,6,2,0,15,"T","JKDBOEWHMUAIGLTZFYPRSQXC"
"AH",70,6,2,0,11,"T","PMLWUSQBCXTJGRZEOADYIFKH"
"AH",71,6,2,-4,12,"W","BPQTFESWRMGKCYZLOADHUXJI"
"AH",72,6,2,-8,9,"J","JYZQSOGXFCHKRDETAUPIMWBL"
"AH",73,6,2,0,11,"Q","IBCDYGTHKSQXMERZOPAUFWLJ"
"AH",74,6,2,0,12,"X","GQCISYWKUZJXPRFOABTEDLHM"
"AH",75,6,2,3,9,"R","TCXQBZHJIKFRPWYGLESDAMUO"
"AH",76,6,1,1,11,"C","BOWKHTZIRDXCGQAJMUYPLSFE"
"AH",77,6,1,0,7,"Z","PFYKSLZCIOWEJBAHRMTQUGDX"
"AH",78,6,1,0,12,"Z","FQUCOEWXMPBZRDKSJYGHLAIT"
"AH",79,6,1,0,12,"E","UYLZKARGIHOEDBCMQSFPXJWT"
"AH",80,6,1,1,12,"Z","UEJAMYBRPLHXZFQODKTWCSIG"
"AH",81,6,1,1,8,"Z","LMCJRKSPZAYUQDIXWHFBTGOE"
"AH",82,6,1,-17,18,"O","OTCMUDEKXGIHJBFWLAQZYRSP"
"AH",83,6,1,0,8,"G","MLUJPTDGKEHAZFRCSQBWYIXO"
"AH",84,6,1,1,15,"S","ELIXHJOYGWPTCUBSMQRKDFZA"
"AH",85,6,1,0,10,"W","RDSAJOHMXWYGEQCIKUZTFLPB"
"AH",86,6,1,0,12,"Z","MFOPLYIRXQTZABGSKHDCEUJW"
"AH",87,6,1,0,17,"G","RBXHKUEPOCWFJTASGIMLDQZY"
"AH",88,6,1,0,13,"C","WOJSQAMRPTZYCDEBGIHXFKUL"
"AH",89,6,1,0,12,"Z","DJRITUSBPCMZWHGKAYXOFLEQ"
"AH",90,6,1,0,11,"D","UIAJTGFWZQDHPXYKLSBRCMEO"
"AH",91,6,1,1,7,"R","UATDFOQRMZCLHIJSYKEPWGXB"
