"ID","date","exp","pool","block","trial","stream","condition","targetSP","SPE","rate","eccentricity","stimuli"
"EL","2012-11-26","Exp2","Experienced Observers",2,21,1,1,8,1,0,0,"EBJMRSUZLIAHKGYFQOPWTNDX"
"EL","2012-11-26","Exp2","Experienced Observers",2,22,1,1,12,0,0,0,"NMWSUHATQXYLDOFGRIZKPJBE"
"EL","2012-11-26","Exp2","Experienced Observers",2,23,1,1,17,1,0,0,"MZWRKABTIUFEXQDLGSHJYNOP"
"EL","2012-11-26","Exp2","Experienced Observers",2,24,1,1,8,1,0,0,"XWSTMAZUBDEFQYORKGIHNPLJ"
"EL","2012-11-26","Exp2","Experienced Observers",2,25,1,1,12,1,0,0,"NYZXFDOIKHJABQEWSTGLMUPR"
"EL","2012-11-26","Exp2","Experienced Observers",2,1,2,1,13,2,0,0,"HPYAOGWBKELSIJNUQTFMDXZR"
"EL","2012-11-26","Exp2","Experienced Observers",2,2,2,1,16,-5,0,0,"UWIMGTLKRBXHNOYSFQEADZJP"
"EL","2012-11-26","Exp2","Experienced Observers",2,3,2,1,7,-1,0,0,"AQULONIWSXTKBEFPYRMJGDHZ"
"EL","2012-11-26","Exp2","Experienced Observers",2,4,2,1,9,1,0,0,"IKFDYARPJZUOWLHTMGXSQENB"
"EL","2012-11-26","Exp2","Experienced Observers",2,5,2,1,16,4,0,0,"WITFEANPUXDGJZKYOHMQRBSL"
"EL","2012-11-26","Exp2","Experienced Observers",2,6,2,1,12,-6,0,0,"HYTSGWENKFXZLUORADIMBJQP"
"EL","2012-11-26","Exp2","Experienced Observers",2,7,2,1,16,1,0,0,"EZJFRYOMHKTPIBGUQSWANLDX"
"EL","2012-11-26","Exp2","Experienced Observers",2,8,2,1,14,0,0,0,"PUTILZXANHBGSDMOEQRFWYJK"
"EL","2012-11-26","Exp2","Experienced Observers",2,9,2,1,13,-5,0,0,"QALFZWBNHUTJDXPMIYEOGRSK"
"EL","2012-11-26","Exp2","Experienced Observers",2,10,2,1,18,-13,0,0,"GRYJQWNMBAULPHKZXIETFDSO"
