"","model","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate","val","pLRTest"
"223","Normal",2,0.9,1.2,14,0.90853490182045,2.04948086144326,1.07584537987376,380.569285206212,1.91424470794084e-112
"224","Gamma",2,0.9,1.2,14,0.891142141336934,2.62511395264718,0.731177861503789,384.834531839036,7.63926309430963e-109
"225","Normal",1.5,0.7,0.84,15,0.696210676623758,1.49821797309634,0.732595254424721,445.93359477417,3.27014722026599e-83
"226","Gamma",1.5,0.7,0.84,15,0.658779695886153,2.78914163898764,0.542592934443033,479.023561444629,1.56056903864166e-69
"227","Normal",2,0.7,0.84,15,0.649724115357172,2.03721251100215,0.809266605903927,482.105174530012,4.91237859087193e-69
"228","Gamma",2,0.7,0.84,15,0.757839181824155,5.44886159453734,0.357061843993046,420.261982112668,5.905270365024e-94
"229","Normal",1.5,0.9,0.84,15,0.911755798084025,1.45577748620024,0.857429463456214,339.326575933576,4.1159710716287e-128
"230","Gamma",1.5,0.9,0.84,15,0.912158324277155,3.14289619509865,0.475437291566067,328.457556375979,1.96610814758832e-134
"231","Normal",2,0.9,0.84,15,0.943483268779221,1.87723507798343,0.87455727896397,319.090955978569,2.04569867535237e-137
"232","Gamma",2,0.9,0.84,15,0.937269266698277,5.27174199411807,0.393580424686117,320.047021998879,2.29485280839092e-137
"233","Normal",1.5,0.7,1.2,15,0.69728360952498,1.44878774956309,1.15482102677898,491.937083922904,7.24879741200055e-64
"234","Gamma",1.5,0.7,1.2,15,0.718496059602633,1.810501877681,0.781926885165767,467.223997664012,2.6855322925206e-76
"235","Normal",2,0.7,1.2,15,0.667726683675666,2.03066965737719,0.947895944636394,489.66249347542,2.4420173070011e-66
"236","Gamma",2,0.7,1.2,15,0.665699810910438,3.8769709930573,0.506232470791812,485.249485558068,2.84155101882889e-68
"237","Normal",1.5,0.9,1.2,15,0.864069725662706,1.63675248111481,1.26841270122103,428.676462732243,1.15082462144687e-90
"238","Gamma",1.5,0.9,1.2,15,0.898447990252667,2.06269937373527,0.703401629199638,363.73686222601,8.18234920762583e-119
"239","Normal",2,0.9,1.2,15,0.876119090122892,1.87647786507777,1.17097112642096,408.16068326276,1.06126152493407e-98
"240","Gamma",2,0.9,1.2,15,0.883811121058479,3.04697491244294,0.652194222589063,387.183164381106,2.3259493475559e-108
"241","Normal",1.5,0.7,0.84,16,0.723432441025052,1.38973539449104,0.912461919066157,460.135679685607,3.10173247121211e-79
"242","Gamma",1.5,0.7,0.84,16,0.702837322336105,2.37972783390445,0.63012417974414,462.780102210635,9.29700089390785e-78
"243","Normal",2,0.7,0.84,16,0.705619788953981,2.02468662026992,0.801690535504767,456.861025829643,3.9478758669156e-81
"244","Gamma",2,0.7,0.84,16,0.613633810940134,6.75509360256115,0.298880857697646,491.928870504173,5.63848306508224e-65
"245","Normal",1.5,0.9,0.84,16,0.929949985849566,1.49163492325574,0.838577650007068,323.637820701131,4.02553136564516e-135
"246","Gamma",1.5,0.9,0.84,16,0.924469462227455,3.10497870175328,0.470718481624379,311.757417399017,3.2681004057893e-141
"247","Normal",2,0.9,0.84,16,0.909551988836736,1.96316248810108,0.821412849545916,333.869715321184,1.00229436658526e-130
"248","Gamma",2,0.9,0.84,16,0.862718304259178,6.47198218453242,0.312122374217762,355.485371038983,7.69989116886469e-122
"249","Normal",1.5,0.7,1.2,16,0.691157903478547,1.57783895826473,1.03134210717165,483.999555713584,1.16865002910868e-67
"250","Gamma",1.5,0.7,1.2,16,0.703146655694684,1.97810786782004,0.834958403749272,481.679834985112,9.43769718455683e-70
"251","Normal",2,0.7,1.2,16,0.663470272893815,2.1375081093163,1.44535373388018,524.734744592796,4.52494351657657e-49
"252","Gamma",2,0.7,1.2,16,0.685590240789771,2.49609428176506,0.819625258076874,494.586362341534,1.5652436574487e-62
"253","Normal",1.5,0.9,1.2,16,0.854177006094121,1.51629612595888,1.20109493700016,426.131212172676,6.31490388196644e-92
"254","Gamma",1.5,0.9,1.2,16,0.9001473861502,1.78058579182625,0.788357490462157,364.436654092638,9.74628360742831e-118
"255","Normal",2,0.9,1.2,16,0.906382245290821,2.13133903190632,1.13484823745182,385.237757320482,3.2886542195528e-108
"256","Gamma",2,0.9,1.2,16,0.915327954816922,3.00820241840475,0.662662069920663,366.426281254329,1.02796628860322e-116
"257","Normal",1.5,0.7,0.84,17,0.691485429825204,1.55404511601994,0.827715441185539,466.820205263129,1.15473121103245e-76
"258","Gamma",1.5,0.7,0.84,17,0.743640885242451,2.89425765501359,0.539642376820936,441.064495823119,6.18745214169756e-87
"259","Normal",2,0.7,0.84,17,0.692327283083832,1.9893937411411,0.999456438985192,484.836794199509,1.47578332774899e-68
"260","Gamma",2,0.7,0.84,17,0.676795004986176,7.85007527397099,0.258525161831112,457.318654564052,3.19182720816406e-80
"261","Normal",1.5,0.9,0.84,17,0.934767428252403,1.46791539425529,0.865686293000113,325.481447517084,7.74245279301282e-135
"262","Gamma",1.5,0.9,0.84,17,0.896928413626457,3.6389210800757,0.391991600632971,316.322616661085,9.83097423849551e-139
"263","Normal",2,0.9,0.84,17,0.857125323383628,1.89739670243854,0.857394807539151,375.024241650885,8.06464877626672e-113
"264","Gamma",2,0.9,0.84,17,0.912543368358924,4.87255263609415,0.386015721666307,325.301765639639,3.41652482285942e-134
"265","Normal",1.5,0.7,1.2,17,0.662208950322071,1.58734657672237,1.24364980670568,513.419099133475,1.2582289277623e-54
"266","Gamma",1.5,0.7,1.2,17,0.749721205036795,1.39164468425332,1.13425009599692,468.0017098766,1.26765361004031e-74
"267","Normal",2,0.7,1.2,17,0.761362307929033,1.96416938933201,1.20527758971159,469.029580339309,4.85434783619966e-73
"268","Gamma",2,0.7,1.2,17,0.700149744150627,3.03876990971478,0.6369540082785,480.048061086044,6.94542916378642e-70
"269","Normal",1.5,0.9,1.2,17,0.85191102161689,1.50520772885191,0.998392984050134,399.299467820901,4.16025625971297e-103
"270","Gamma",1.5,0.9,1.2,17,0.898526260513928,1.92504014554766,0.819792018386039,377.619849960458,9.82002361513863e-113
"271","Normal",2,0.9,1.2,17,0.907088133263451,2.19641529213789,1.23580895937763,402.806556195306,1.17541078313161e-102
"272","Gamma",2,0.9,1.2,17,0.916290343289269,2.45411109654472,0.816639189175421,381.323423282986,3.58724770824013e-111
"273","Normal",1.5,0.7,0.84,18,0.737786208354274,1.49259764832146,0.790024456374894,436.198041786123,1.3565060491966e-88
"274","Gamma",1.5,0.7,0.84,18,0.659659202810035,4.68510720005734,0.287900956449636,442.535715205169,5.77022654341367e-85
"275","Normal",2,0.7,0.84,18,0.681891023667894,2.10927380352036,0.8592645899245,469.89563508225,2.03324703072994e-73
"276","Gamma",2,0.7,0.84,18,0.63063538346271,5.37239775361723,0.379145724761681,496.934066390723,9.67132516023341e-65
"277","Normal",1.5,0.9,0.84,18,0.909101655082236,1.5522506006758,0.871677188858138,342.92087305043,2.95310937530367e-127
"278","Gamma",1.5,0.9,0.84,18,0.883782175863233,3.82964987549947,0.380515511578222,328.125719520213,1.20292698381446e-134
"279","Normal",2,0.9,0.84,18,0.88012772183931,2.01974966325812,0.85695130616216,362.29117207769,1.03630750594629e-119
"280","Gamma",2,0.9,0.84,18,0.894345460542586,6.25652843807547,0.31332787101009,333.123746971149,5.91922616338176e-132
"281","Normal",1.5,0.7,1.2,18,0.68537807895814,1.66513498919241,1.13165790982943,497.994659548001,1.42990656399249e-62
"282","Gamma",1.5,0.7,1.2,18,0.72233462091708,1.41884249124102,1.06761145509314,476.603645740253,1.16215681303635e-70
"283","Normal",2,0.7,1.2,18,0.748384875750708,2.0445079267675,1.16706999863341,472.05483563191,2.52971598427002e-72
"284","Gamma",2,0.7,1.2,18,0.728551501260745,3.07948876064562,0.62528167146938,466.629435153604,1.54910176864975e-75
"285","Normal",1.5,0.9,1.2,18,0.925340018093145,1.54190322524527,1.16317272326443,380.777406614691,3.11250361560264e-111
"286","Gamma",1.5,0.9,1.2,18,0.885839612496204,1.20277195222682,1.09524814343467,381.289737410986,2.43948789251485e-110
"287","Normal",2,0.9,1.2,18,0.901137746996828,1.8890073863746,1.1413270368013,391.573282634758,1.47560383343068e-106
"288","Gamma",2,0.9,1.2,18,0.868492242048224,3.64321208879528,0.524365098868614,378.747626462469,8.75444822365333e-112
"289","Normal",1.5,0.7,0.84,19,0.653184025055661,1.46423709486821,0.777087458801411,476.229501263071,1.93765632888947e-71
"290","Gamma",1.5,0.7,0.84,19,0.745346998711129,3.60358908173739,0.424633232424523,424.405182750199,8.51940611696698e-94
"291","Normal",2,0.7,0.84,19,0.729204058967725,2.07274843149911,0.848521580467683,445.72078720364,1.02289697507243e-83
"292","Gamma",2,0.7,0.84,19,0.64035255163874,5.49223647437209,0.352487480529967,483.35517369585,1.96926810163152e-69
"293","Normal",1.5,0.9,0.84,19,0.909633761097665,1.54150796733418,0.829085536107037,335.615706242421,8.46004016911733e-130
"294","Gamma",1.5,0.9,0.84,19,0.869313009792935,3.66843730537978,0.427917036108524,348.721192321896,3.02448789131029e-125
"295","Normal",2,0.9,0.84,19,0.93953501390827,2.13284683573798,0.735234584591385,297.291103945048,2.0183872939251e-147
"296","Gamma",2,0.9,0.84,19,0.903159177164575,4.63508250909655,0.429970338373326,347.311643705378,6.49956898885732e-125
"297","Normal",1.5,0.7,1.2,19,0.750228090447863,1.51778033498197,1.18759351877235,474.060447158896,1.33254352552395e-71
"298","Gamma",1.5,0.7,1.2,19,0.741156548547955,1.99131048913248,0.71440674269853,453.701273380725,8.05930875741658e-82
"299","Normal",2,0.7,1.2,19,0.691781170348914,2.07781226952791,1.12046721474396,496.393615330235,9.85129280211502e-64
"300","Gamma",2,0.7,1.2,19,0.669386813457312,2.95812147253052,0.65632955675257,489.491887197303,1.6079177593776e-65
"301","Normal",1.5,0.9,1.2,19,0.931289370240841,1.55120730452137,1.33892825817386,399.07863855537,3.69214386894754e-103
"302","Gamma",1.5,0.9,1.2,19,0.922563494508159,1.30501556684554,1.28201476182676,384.025711816443,9.81020425512843e-109
"303","Normal",2,0.9,1.2,19,0.930393939231706,2.13235674682719,1.22082673503009,381.564128544621,5.34431567622988e-110
"304","Gamma",2,0.9,1.2,19,0.931325875858071,2.35752866717442,0.848994371093585,371.306196417357,1.92697609821484e-114
"305","Normal",1.5,0.7,0.84,20,0.714672974185964,1.5438176269245,0.918276236723477,460.285664300489,3.66990994208477e-77
"306","Gamma",1.5,0.7,0.84,20,0.689461109932792,4.03849266312876,0.412569334859712,456.650276641094,1.13000275815461e-79
"307","Normal",2,0.7,0.84,20,0.683277915229753,1.86308488487688,0.87184313873528,473.123303703828,9.70199739761059e-73
"308","Gamma",2,0.7,0.84,20,0.655504963456731,5.37662069626724,0.35754030236984,471.675054559225,9.64848714986364e-73
"309","Normal",1.5,0.9,0.84,20,0.881372591892863,1.56895931708129,0.864149055328632,359.541091627513,9.203590966429e-120
"310","Gamma",1.5,0.9,0.84,20,0.918617490658424,3.26234551015414,0.502977737947632,325.807745379139,4.61610920443366e-134
"311","Normal",2,0.9,0.84,20,0.876717245856862,1.95300551411876,0.806014452317231,356.693991745805,6.20674594795879e-122
"312","Gamma",2,0.9,0.84,20,0.848010784115596,4.61411926017085,0.442044862726609,387.00951670156,4.02624345190981e-109
"313","Normal",1.5,0.7,1.2,20,0.648835843186852,1.42412392713294,1.15989539945605,512.22901550461,7.54046634955291e-56
"314","Gamma",1.5,0.7,1.2,20,0.726137218957976,1.594799926459,0.913005502841084,462.733081978963,5.85381032021518e-76
"315","Normal",2,0.7,1.2,20,0.724415733023611,2.23689331951847,1.17998780900717,482.953022819133,2.92519234613046e-67
"316","Gamma",2,0.7,1.2,20,0.683384432301351,2.89670375330522,0.648028237234886,484.198318094593,4.97231061394928e-68
"317","Normal",1.5,0.9,1.2,20,0.899367962908861,1.53876499877586,1.15492410523334,392.456915653689,1.2142721079457e-105
"318","Gamma",1.5,0.9,1.2,20,0.922045050615754,1.58238139140386,1.02635295210489,372.944363256292,1.23511351065218e-113
"319","Normal",2,0.9,1.2,20,0.889627188345635,2.17434061326441,1.20004120229337,405.794002434054,7.00120087712144e-101
"320","Gamma",2,0.9,1.2,20,0.824927513355337,2.60217956505876,0.730502702263174,419.351621003288,4.81957045566436e-94
"321","Normal",1.5,0.7,0.84,21,0.699833781343634,1.58164106291669,0.779886250787258,452.331955481624,5.48193658013978e-81
"322","Gamma",1.5,0.7,0.84,21,0.693892140091484,3.4520355965951,0.439360085616539,450.504244601921,1.18572532591147e-81
"323","Normal",2,0.7,0.84,21,0.725115051459779,2.02605979412519,0.857637118813887,450.624569768403,2.10214283195244e-82
"324","Gamma",2,0.7,0.84,21,0.690447759787873,6.19868721431011,0.338506793053135,463.409560767961,2.84484860895133e-77
"325","Normal",1.5,0.9,0.84,21,0.893257691865369,1.53790167081893,0.83717768994993,348.756338728543,1.45387489246599e-124
"326","Gamma",1.5,0.9,0.84,21,0.893649827615884,2.92857437865946,0.515540731737181,345.28987596589,3.07461348779208e-126
"327","Normal",2,0.9,0.84,21,0.945173585765868,1.88876500735663,0.853693638439432,312.138755030816,4.18334855965979e-140
"328","Gamma",2,0.9,0.84,21,0.906048413513529,4.95799415258729,0.406626616078284,339.992588977384,6.20467915565004e-128
"329","Normal",1.5,0.7,1.2,21,0.728807789435778,1.49190110342147,1.18502965156381,483.798608313072,1.06530071080825e-67
"330","Gamma",1.5,0.7,1.2,21,0.747675217498968,1.55956256322586,0.873230416879459,453.453365912818,3.05452869809018e-81
"331","Normal",2,0.7,1.2,21,0.762439977481133,2.32613525928782,1.14345788471196,464.149154596424,5.44790362743004e-76
"332","Gamma",2,0.7,1.2,21,0.738969751822916,2.99461140401985,0.6652728198316,468.232500118154,1.18555671684008e-75
"333","Normal",1.5,0.9,1.2,21,0.885680462842196,1.54307916541128,1.25033285447986,413.02594175896,5.31441051308429e-97
"334","Gamma",1.5,0.9,1.2,21,0.915353537700852,1.59280757419698,0.908017026259499,362.314184241398,3.95427319491161e-119
"335","Normal",2,0.9,1.2,21,0.870428992307059,1.95734438851463,1.18730391720753,412.880483459061,2.46552257643141e-96
"336","Gamma",2,0.9,1.2,21,0.893775143684465,3.0732179714721,0.637078609203022,375.437738114901,6.4690412196929e-113
"337","Normal",1.5,0.7,0.84,22,0.762582461816992,1.5092614885272,0.786921808380626,418.852787597304,1.80210271237898e-94
"338","Gamma",1.5,0.7,0.84,22,0.741106055181714,3.50517705504032,0.439688739954506,427.4657892464,6.02156977552909e-92
"339","Normal",2,0.7,0.84,22,0.682254725795765,1.94159271096787,0.861474036167534,470.746060082552,3.55292864431569e-73
"340","Gamma",2,0.7,0.84,22,0.668374070432487,8,0.227280304854234,447.445820329256,2.24851617691356e-83
"341","Normal",1.5,0.9,0.84,22,0.950876431660127,1.53589511562866,0.835232675388943,305.393044985883,4.38079001319302e-143
"342","Gamma",1.5,0.9,0.84,22,0.890898281018931,3.16554808349512,0.466911782193888,334.600489811905,1.83772030430456e-131
"343","Normal",2,0.9,0.84,22,0.916718836410631,2.08253095367097,0.765463764251158,319.077142371823,2.02555930037015e-137
"344","Gamma",2,0.9,0.84,22,0.907730215006181,5.09579396556415,0.378510096967986,331.863841078827,6.30751533132942e-133
"345","Normal",1.5,0.7,1.2,22,0.688885139471765,1.38764953615772,1.11793928923966,495.960854650423,6.53145395266995e-64
"346","Gamma",1.5,0.7,1.2,22,0.685044327591611,1.9760575292517,0.709479906162673,475.389097476444,5.2950370391196e-72
"347","Normal",2,0.7,1.2,22,0.715884031530886,2.07116240540311,1.09536432624754,479.430165577022,7.32690310259513e-70
"348","Gamma",2,0.7,1.2,22,0.727846433073687,2.05178688482565,1.07794088656005,494.466215473504,1.29672203497285e-61
"349","Normal",1.5,0.9,1.2,22,0.91055052108627,1.6016978861004,1.26808336403502,400.526809374331,4.69932454284847e-102
"350","Gamma",1.5,0.9,1.2,22,0.90533396777618,1.42501567494896,1.0892027670355,383.962170205592,1.57073887261191e-109
"351","Normal",2,0.9,1.2,22,0.875198617078394,1.79462954756735,1.17594417371746,412.758815094398,5.00821443872653e-98
"352","Gamma",2,0.9,1.2,22,0.946675128558858,2.95402873513208,0.68148851485027,345.138868675533,1.36279769613505e-125
"353","Normal",1.5,0.7,0.84,23,0.683832079686912,1.50661111897648,0.862740579487586,473.446402747266,4.08404119474519e-73
"354","Gamma",1.5,0.7,0.84,23,0.720892980082056,3.14686397287349,0.4531473068048,436.55770276764,1.50239745740141e-88
"355","Normal",2,0.7,0.84,23,0.794121523445806,2.06482157096253,0.956532415328163,431.160868360183,1.9027179043123e-91
"356","Gamma",2,0.7,0.84,23,0.757248227615368,5.03010876842628,0.40817573469001,436.364764330435,6.96907422544184e-89
"357","Normal",1.5,0.9,0.84,23,0.926332776610906,1.61372221979521,0.87120488590947,332.137418297707,6.3922347880593e-132
"358","Gamma",1.5,0.9,0.84,23,0.919254687299559,2.41672794345048,0.601221016289858,332.835357532577,2.31361212663081e-131
"359","Normal",2,0.9,0.84,23,0.888453385328353,2.03834718185798,0.828174060882674,351.741726939134,1.90213632457111e-123
"360","Gamma",2,0.9,0.84,23,0.907501677954337,4.37305434427169,0.470294851855253,352.908702864026,3.15212367215977e-123
"361","Normal",1.5,0.7,1.2,23,0.699572118854747,1.4526698511675,1.17226909904474,491.798784621684,1.33081735279021e-63
"362","Gamma",1.5,0.7,1.2,23,0.701410238057099,1.41106307240462,1.03576367731089,479.274581117279,5.54733932175526e-69
"363","Normal",2,0.7,1.2,23,0.756590454767769,2.0203685366975,1.1888975337207,474.713494167567,1.24344904557981e-72
"364","Gamma",2,0.7,1.2,23,0.659384699740105,2.86903040773515,0.607230585980828,490.210084201543,8.90956890053246e-66
"365","Normal",1.5,0.9,1.2,23,0.912058464545063,1.59942068651756,1.11611810626392,381.000671601434,3.42820290259394e-111
"366","Gamma",1.5,0.9,1.2,23,0.899288726874724,1.49487205238194,0.85594276550212,358.176197462407,8.47037691921755e-121
"367","Normal",2,0.9,1.2,23,0.876253816787508,2.03159783474323,1.19735195395463,413.072668301155,1.16971320795088e-97
"368","Gamma",2,0.9,1.2,23,0.956987956047667,3.41860114623744,0.58954339954562,329.668560694295,4.82474856340783e-133
"369","Normal",1.5,0.7,0.84,24,0.636965041352683,1.51027976521812,0.745043189558472,483.298872613452,5.72365607509593e-70
"370","Gamma",1.5,0.7,0.84,24,0.682313479253268,3.41280931128244,0.463272942934553,459.097729972024,1.68696341387113e-78
"371","Normal",2,0.7,0.84,24,0.711260822875269,1.91339988330043,0.788109270494708,449.101368534489,4.15847062084389e-83
"372","Gamma",2,0.7,0.84,24,0.713188264653538,4.7252095476024,0.462451169205873,464.306389612274,2.20194728340402e-76
"373","Normal",1.5,0.9,0.84,24,0.941303171016467,1.44222868624276,0.965255665705126,337.933869218794,2.1563662722656e-129
"374","Gamma",1.5,0.9,0.84,24,0.916392437257189,3.00105938554008,0.47468461879945,319.43089769813,5.2934833992257e-138
"375","Normal",2,0.9,0.84,24,0.854167705210559,1.95865724322032,0.871554485537039,380.849978392442,3.0512727406478e-111
"376","Gamma",2,0.9,0.84,24,0.948689798050504,5.64869754693999,0.343310785817873,294.427233003615,8.11433090753399e-148
"377","Normal",1.5,0.7,1.2,24,0.713183421830932,1.38320788790345,1.18409465620004,490.622499159899,8.93812697076876e-65
"378","Gamma",1.5,0.7,1.2,24,0.650421950343775,1.49170868999505,0.948926899885004,499.811953356583,1.50386055419538e-61
"379","Normal",2,0.7,1.2,24,0.749898082495718,1.97792387296671,1.20540619831286,475.197926008536,5.64377203884178e-71
"380","Gamma",2,0.7,1.2,24,0.705949672733347,3.42525421749159,0.557793765597058,467.278072867965,9.99676217124928e-75
"381","Normal",1.5,0.9,1.2,24,0.888399870597082,1.53223371837981,1.23111469803937,408.647658196371,6.62510964590686e-99
"382","Gamma",1.5,0.9,1.2,24,0.964503839762052,1.83701012391109,0.79539835068204,323.194176456903,4.16615465578593e-135
"383","Normal",2,0.9,1.2,24,0.917273043971852,2.06411889116528,1.13789437311767,383.792898814755,1.37340090099164e-110
"384","Gamma",2,0.9,1.2,24,0.895154538219953,2.34580479824569,0.845741356140182,397.924429496147,2.48565011047637e-103
"385","Normal",1.5,0.7,0.84,25,0.751383230663046,1.60183701053286,0.861109073063087,436.256485198443,2.00512052197359e-87
"386","Gamma",1.5,0.7,0.84,25,0.663022356051777,3.24154303647441,0.493895258145775,473.598971561227,8.24227514386058e-72
"387","Normal",2,0.7,0.84,25,0.639902550100452,2.02597177818387,0.711507694340882,473.758048071522,7.74469958281757e-73
"388","Gamma",2,0.7,0.84,25,0.675716169748429,5.48533745234148,0.400137727362763,473.451879309343,2.92696380139227e-71
"389","Normal",1.5,0.9,0.84,25,0.91484496775594,1.38336252682712,0.783323590420647,323.044408574694,2.76355073964439e-135
"390","Gamma",1.5,0.9,0.84,25,0.86892416846192,2.54535794524595,0.572873283589927,368.372855743918,7.45214970177319e-117
"391","Normal",2,0.9,0.84,25,0.884635876617093,2.05032429989601,0.843913925439725,355.672018907776,7.36266265391592e-122
"392","Gamma",2,0.9,0.84,25,0.878419899141435,5.64084167190995,0.354337352854618,351.187769671982,3.06706361255988e-123
"393","Normal",1.5,0.7,1.2,25,0.67378700598616,1.52197857328767,0.916520780326087,485.669992953487,9.04629142455454e-69
"394","Gamma",1.5,0.7,1.2,25,0.667956992681096,1.63625411386514,0.839596512085062,486.049967483093,1.19695872780693e-66
"395","Normal",2,0.7,1.2,25,0.703072704428016,2.09389286366981,1.18473298310031,496.951205856158,9.70886458355423e-64
"396","Gamma",2,0.7,1.2,25,0.708818462747611,2.58991763955941,0.800726581196936,488.604972230815,4.08088709667123e-66
"397","Normal",1.5,0.9,1.2,25,0.890800469867923,1.52566907011374,1.14159164221119,396.624411605829,6.73038775461426e-104
"398","Gamma",1.5,0.9,1.2,25,0.922894840011617,1.5848088983807,1.00531216504538,371.298758163982,3.66602923435035e-115
"399","Normal",2,0.9,1.2,25,0.903647613809271,1.90225486423772,1.39657538630753,418.838870419115,2.77063343785796e-94
"400","Gamma",2,0.9,1.2,25,0.889156133856468,2.92310910826331,0.694439259492802,386.98267507734,2.37440451252271e-108
"401","Normal",1.5,0.7,0.84,26,0.71913926388146,1.58780806276845,0.860538998002685,458.865900117706,2.81701502136594e-80
"402","Gamma",1.5,0.7,0.84,26,0.721010290810562,3.32712852517039,0.470561957969349,442.484860706512,1.24396061114385e-84
"403","Normal",2,0.7,0.84,26,0.743886213495306,1.84203771620898,0.851258163882687,437.377645706933,1.33860320632495e-86
"404","Gamma",2,0.7,0.84,26,0.72201676172479,3.96830609906634,0.483846415599409,455.468246762333,9.66166876466185e-80
"405","Normal",1.5,0.9,0.84,26,0.892151417878783,1.53339197580809,0.944862014335579,368.014254719242,1.27807124116003e-116
"406","Gamma",1.5,0.9,0.84,26,0.92051209650686,2.9186346014798,0.531308125449432,332.83008416214,3.9669302736698e-132
"407","Normal",2,0.9,0.84,26,0.931350235883601,2.05849372246977,0.788694122994523,312.281411313656,2.82654296892622e-140
"408","Gamma",2,0.9,0.84,26,0.888272466467517,6.63100984883826,0.302513974507725,335.441012822893,4.52609779997935e-130
"409","Normal",1.5,0.7,1.2,26,0.617054950633121,1.63430229589427,1.10000788314327,521.215138475485,3.7012215152685e-52
"410","Gamma",1.5,0.7,1.2,26,0.702328181656961,1.39132489130675,1.08553101162221,482.525094901033,1.73270807340256e-67
"411","Normal",2,0.7,1.2,26,0.680508871699312,1.87937213773037,1.07439731482774,496.098898851213,1.08823298191474e-63
"412","Gamma",2,0.7,1.2,26,0.683282451531039,4.18634715885009,0.43328716199768,470.700469111944,3.79245132522235e-76
"413","Normal",1.5,0.9,1.2,26,0.887630596504772,1.47347722441419,1.21895028285004,408.44905406778,8.53086998967151e-99
"414","Gamma",1.5,0.9,1.2,26,0.879037065126241,1.48762667154228,1.07357515511353,401.844546827057,2.29218573589678e-102
"415","Normal",2,0.9,1.2,26,0.847779501189923,1.93856381459713,1.20446813767727,425.504792723233,4.77218709562692e-91
"416","Gamma",2,0.9,1.2,26,0.924410153720214,2.3546779507395,0.812484145849257,370.276154798182,1.95014238450899e-115
"417","Normal",1.5,0.7,0.84,27,0.712520034706398,1.54973921553853,0.848253069028205,454.655094574443,3.35149982955333e-80
"418","Gamma",1.5,0.7,0.84,27,0.728923606758436,2.53500854095581,0.612738872954374,451.065027468974,3.4740116737357e-82
"419","Normal",2,0.7,0.84,27,0.700260245550572,2.08827468527243,0.955067868986393,476.667060657978,5.76441862062315e-72
"420","Gamma",2,0.7,0.84,27,0.724422697712174,4.30018322502105,0.457998088514678,451.732595428611,2.94096146230972e-81
"421","Normal",1.5,0.9,0.84,27,0.925168197081909,1.55487133563782,0.775295211526415,315.990924964435,7.24921494938037e-139
"422","Gamma",1.5,0.9,0.84,27,0.92318221153186,2.66749587081253,0.540157479744988,324.833961665667,1.88881795606797e-135
"423","Normal",2,0.9,0.84,27,0.89341170832867,2.03374238613977,0.834614120622181,349.214131868672,1.17330594554126e-124
"424","Gamma",2,0.9,0.84,27,0.884647497361452,5.77177395720404,0.360265725156389,350.277189531658,1.12311173169524e-123
"425","Normal",1.5,0.7,1.2,27,0.701110959191393,1.60627747347164,1.24343044552983,500.443416398962,1.50515329172742e-60
"426","Gamma",1.5,0.7,1.2,27,0.705326191530055,1.90521243107529,0.728419553758437,464.899960829327,5.87081285591258e-75
"427","Normal",2,0.7,1.2,27,0.730364458486625,2.07648195022738,1.14000058032218,480.644412992387,4.74856359260648e-70
"428","Gamma",2,0.7,1.2,27,0.735456084593427,2.5129387829371,0.873650994467385,477.278178005722,7.73639920812442e-69
"429","Normal",1.5,0.9,1.2,27,0.906509813783457,1.53996697693657,1.10876868613529,384.665750073256,1.45574818092642e-109
"430","Gamma",1.5,0.9,1.2,27,0.912537242741122,1.76483250653947,0.869575792813011,366.792349321976,2.263983472639e-116
"431","Normal",2,0.9,1.2,27,0.916097628296925,1.89445291850735,1.2171490230974,391.402595033757,5.33395655830251e-106
"432","Gamma",2,0.9,1.2,27,0.916157472114941,2.5020080281623,0.708517591275918,364.588707950118,6.44565803926176e-118
"433","Normal",1.5,0.7,0.84,28,0.706134306832309,1.59741233951681,0.915632339657001,465.373038485458,4.27128522840063e-75
"434","Gamma",1.5,0.7,0.84,28,0.706465557843539,3.61022348211214,0.407874117155126,442.668363389616,3.53976880642813e-86
"435","Normal",2,0.7,0.84,28,0.589667822723486,1.96427514803895,0.875220866709605,513.420085399803,1.38243284858297e-55
"436","Gamma",2,0.7,0.84,28,0.724172982773106,4.50072355128813,0.466647934890173,456.34926385465,3.08658483168879e-79
"437","Normal",1.5,0.9,0.84,28,0.890643823565511,1.45600518330171,0.795191185002086,341.823817450027,1.97103253293999e-127
"438","Gamma",1.5,0.9,0.84,28,0.93723039244429,3.2765835991289,0.447081049987085,296.930424824783,1.36219692671335e-146
"439","Normal",2,0.9,0.84,28,0.897034002831047,1.89485552479869,0.751399492088654,330.478970363459,6.23847052882585e-133
"440","Gamma",2,0.9,0.84,28,0.896537477176693,6.63716195254294,0.322059611324376,338.161024101285,5.67500408105196e-129
"441","Normal",1.5,0.7,1.2,28,0.589979668362728,1.38706581603184,1.04856517484804,526.001436668867,1.8138741465789e-49
"442","Gamma",1.5,0.7,1.2,28,0.687739382120381,1.85565619204157,0.814790941915443,483.858501110016,3.00745829994584e-69
"443","Normal",2,0.7,1.2,28,0.735255056846644,2.02731544310583,1.2936205905438,494.344351156039,2.39902330106576e-64
"444","Gamma",2,0.7,1.2,28,0.706582297861936,2.25369803317274,0.941643198837316,496.553821071872,8.11618374929335e-63
"445","Normal",1.5,0.9,1.2,28,0.873479961857661,1.56557464002076,1.16421989430154,408.918837115531,6.0827691370969e-99
