"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	27	"WN "	" oneCued "	0	" left "	"J "	"F "	0	5	0	1	"HPQVMISUFGYACTZJXBWLEDRNOK"	"KGJBMRFLUETVCWYXDSQIZAPNOH"	"VBWMEZIDQLYCKJHATPSOFNURXG"	"XGNVTCDAPHISRQMBZJOLEWKUYF"	"XGKHEDIROAUCQFBSLTYJWNZVMP"	"ZPKWXICMUQFJLSVRGOAEDBYHTN"	0	10	11
"main"	28	"WN "	" oneCued "	0	" left "	"B "	"E "	0	4	0	1	"HJSZGKBMVIPNCYRTXDOWQAUFEL"	"OJQIVDSYMHUXLPTNCEWRFBZGKA"	"KNFBITJUSGHAOPRLYEDMQCXZVW"	"RFYWGOKVZLACXBJQUTMEPIDHNS"	"ZGWFAVXEBKNQLYDJCUISHORTPM"	"AKHRQFILDXOYCBMNSZJPWUVGET"	0	7	8
"main"	29	"WN "	" oneCued "	0	" left "	"A "	"N "	0	1	0	1	"VWQNFSEKTBODPXRMZAYLHIUJGC"	"UIKZJDHVRNATYLPBCXMOEGWFQS"	"RPHTJBYUVCOWLNXSZFEIKQDAMG"	"TBOJDNHIWMSUKQAXGECFYZRPVL"	"WMEBZOVTSPLKUDNYIJFQCAXHGR"	"RJGDMCUPBEYAQNIHXLZOTVSKFW"	0	9	10
"main"	30	"WN "	" oneCued "	0	" right "	"C "	"C "	1	3	0	0	"BSUVNMGQJICYRADPTFKOELHWXZ"	"AMKNGVQZYEUDLPJBSCRFHWXOTI"	"NIYAFHVGODTRQJUESLXCMBWPKZ"	"VQDEOTCIRPZYNBWAHKSXUMJFGL"	"OJVANRWIQDSCUMKZHEGFLTPYXB"	"IZXLHWMYQABKGCPDVJSTRNOFEU"	0	6	6
"main"	31	"WN "	" oneCued "	0	" left "	"W "	"P "	0	1	0	-1	"SJYDQGELOKIMAPHVTCFRBUWXNZ"	"QDSCHWPNFRBZOTYXLUEMJAVGIK"	"KINOBVTJCMGUZLEDQXRHPYWSFA"	"YNFUGHZMJSDTABLVKOIXCEWQPR"	"FWQHZOSIMXUABTPYLEVNGKCRJD"	"LSOXRWUYDCFNZETQHAGIVPJBKM"	0	6	5
"main"	32	"WN "	" oneCued "	0	" right "	"K "	"K "	1	4	0	0	"PZVFMOHKWUXEDGJCNSITYBQLRA"	"AIDJRQVNUXEBFKSYTWZMHLGCOP"	"MPFQGUDELTIVRCOBYNAXWJSKZH"	"MOUQYDJHGAXVFETIRZBNWKPLCS"	"NTAOWISKURVPEXJZMDCLBFQYGH"	"SRCOXJFUPBTWGZAKEDYMVQILNH"	0	7	7
"main"	33	"WN "	" oneCued "	0	" right "	"H "	"N "	0	4	0	1	"ZFCAQSXEBUWKJTLDYGVRNMOHPI"	"OREMFHWGTBJSLPKQYUADVXZCNI"	"POBKXICDEQULHRYGZNTJASVMFW"	"GQDWULXRPMHZAYEJBOIVFSNCKT"	"JFGQXINHPARDOWCTLSVMUKBYZE"	"FVQZKJRWXLBUMPIYHANETGDCOS"	0	6	7
"main"	34	"WN "	" oneCued "	0	" right "	"Z "	"Z "	1	3	0	0	"OIUPCSNJTWFDVLMGBHXQYEKRAZ"	"IQTAPKEBWHYUXNJCMDGSFZRLVO"	"WHUGSLEMKFIRVYJPTZXAODBCNQ"	"NITWVQRKXHZLJDAPFUOMGCBSYE"	"OZEBSYRDTGKQVUIHPALXMJFCNW"	"RCEGSJOHVNUQDWBLPMTIKFAZYX"	0	10	10
"main"	35	"WN "	" oneCued "	0	" right "	"T "	"N "	0	1	0	-1	"UEHGYZKLOQIBFDSCRNAVPJMXTW"	"QKMBSOTNAHFRYZJPUGVIXCEWLD"	"EANXOKMIBSRLTHQJWFVPGDZYUC"	"TDRQNOLEXSUBWPCMVYHZFIGKAJ"	"QINGCHTSXVWYBFMLUAOKRPJEZD"	"QMITUGHDLAJWVXBFEPCZORSYKN"	0	7	6
"main"	36	"WN "	" oneCued "	0	" right "	"G "	"G "	1	4	0	0	"CWAGLHFSTJDRBXIOYQZUVPKMNE"	"UKBGACJPQVDNIZWTOMLREXSYHF"	"SDMCHGKILYVFWOPJZRTBAQUNEX"	"XHDTFVYPZGBLNCUEKMSOIWQRAJ"	"WNAVODYREZGJLCHSQUMTFKBIXP"	"JHDGIYUQAPXNVKETSWMLRZCOBF"	0	10	10
