"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	44	"KR "	" oneCued "	0	" right "	"X "	"Q "	0	4	0	2	"XTVSKCDUZHWQFAPYEBRGIJMNOL"	"KDYJQHECMWAIFVONSBPRUXTZLG"	"DKNQOHCMVLYATJBXGWZUSPRFIE"	"ULKIDXTVPFOQRBJEHWYNSCGMAZ"	"UCPGWFSVQLXRMIBJDEYTAZKNHO"	"ARVBCQNOTEPUDJZSFWMYKLGIXH"	0	8	10
"main"	45	"KR "	" oneCued "	0	" left "	"F "	"Z "	0	2	0	8	"YZLVFTRGIHDCJAPMUXBOSKQNEW"	"JWMFGQVYHSOLEDURAKNCZIBPXT"	"KLCXWUHZNEOSBGRFIVDMYQATPJ"	"ZLNCETVHXOPDIUGBJAFQYMWRKS"	"IPGLZRAQNBXSVUWHMKYTDJECFO"	"ZLFKOIXMJBCUSATVDYERNGPWQH"	0	7	15
"main"	46	"KR "	" oneCued "	0	" left "	"G "	"H "	0	1	0	2	"YSCLIGEONJMHVBQKFPZXRUDWTA"	"RNEYFMPDLHVGJZUQCSXWBOIAKT"	"QCWTBHNXLKOAYEVZDPURMGFSIJ"	"FVCUWRHSYJZBIKLMNQODPXETAG"	"JRKNXVMHUPLCEFOAGWSYBQTIDZ"	"LMASWGPJKVQNXYODTFRCHEIZBU"	0	9	11
"main"	47	"KR "	" oneCued "	0	" left "	"Y "	"P "	0	5	0	5	"KCWFAISPMDBHZYXELOTQRJGUNV"	"RSJZUVOHKMXDBPFCWNQGIETYAL"	"UQTHKEXIBLORFWYASGCMJVPZND"	"IENCTQLFZDMKBGJXSOURYWHPAV"	"WXCJVYEUGLZRHMOKTQINPBAFSD"	"GISZHWEXOMPUVLCYTNRBFAJQDK"	0	10	15
"main"	48	"KR "	" oneCued "	0	" left "	"C "	"C "	1	1	0	0	"LNOEMXRYITPKZVQJUBWCHDSGAF"	"QMTGKJCUESNIHVOPFWLZDARXYB"	"LFOSINUWGKJCHRTBDVMPEZXQYA"	"TDAGQVBJHWYXPMISKLFRNZEOUC"	"RNAHCSDPTUQOWJIVKEZYLFXBMG"	"FQSHMOCRZXUPVLNWABKTIDYEGJ"	0	6	6
"main"	49	"KR "	" oneCued "	0	" right "	"Q "	"S "	0	4	0	1	"PFQHWSMXNRUVKLJIBODECZTAYG"	"YVFPMKCRIXGAQLSJDBNHWTUOZE"	"QICPYVLXNMEDGHRUAFSJZWOKBT"	"CPYATXGWRZKIVLFNUMJQSOHBED"	"FZABUHIKVSQYEOJTWPMLCXRNGD"	"CLWMSGORFQYDUTVABEJZHXIKNP"	0	9	10
"main"	50	"KR "	" oneCued "	0	" left "	"S "	"Z "	0	1	0	2	"URWCLQTMDGAHKJIXPSNFBYOZEV"	"YGVPNOZJSTCKDWBRUAHQMLEIFX"	"QRCKVOAYIDXWUZMLJFTHBNPESG"	"YQGOLXVFWSBUKADETCMNIHJRPZ"	"CQPXNAUELGZBWTOHDYRKMVFJIS"	"BWCHMYSPAETNRXKODUIQVZLGJF"	0	6	8
"main"	51	"KR "	" oneCued "	0	" left "	"A "	"S "	0	5	0	3	"AUICMHYRBNVKSTLQOXJWFPGZED"	"TMONQBJPLYDXRVCWSGUKAFHEIZ"	"DPZCTVXABJSEIHLWUQFONYGKRM"	"NELVKMCAGQYIBTXFRDOJWHPSZU"	"QIHRGBYXNWFZAUOKTSLCVMPEDJ"	"JYWMXQOVSTBADUKHRZPEILCNGF"	0	8	11
"main"	52	"KR "	" oneCued "	0	" left "	"U "	"B "	0	5	0	1	"BDNKHJOFUZXGYSAITPMVLWRQEC"	"DOMJLBAIFWTVUQRNCYXHESGPZK"	"YLXTIFDKECUSAMHQVPWGJBZNOR"	"WETCKJAIFMQOGSPUYZRBVLXNHD"	"ACDJGTNEFOKMWIXBHQUSZRVLPY"	"YGFKEZPBULOXVJCWSHRADNTMIQ"	0	7	8
"main"	53	"KR "	" oneCued "	0	" right "	"Y "	"S "	0	2	0	2	"DPQXLBTGFIYZAORMVUNHKJCESW"	"GPJIQYMOFSBRUCNDVXATKWLHZE"	"KOICAZTSEYLDPXRVBUJQNMWFGH"	"DLXJPEGCRKUZSHQYMTNAWFBIOV"	"BUCYKHRGSEAOZTXPINDQFLVWJM"	"GJEIFZLSXMUBWKYQACNDROVPTH"	0	7	9
