experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	23 	AOH 	 oneCued 	 0.0 	 right 	 8 	 180 	G 	0 	G 	1.0 	2 	0 	0.0 	HNYFUDIWGOPLMZSXAVQREJBTKC	DUXRZOBKILTNPQASMVJWFGECHY	EMWBOQAXGFCURYVJZPHTNDSILK	MDPQBLZGJXAVSCNIUHRYKWOETF	FSOKQEGTDNYMRWPZXHVCILBAJU	LOKQTFPMGVIZCXNRDEHABWSYUJ	ZGLQUWBYSTIJVPEORMNACHXFDK	KFBTQDXMOGSPWVRLYCZUINHJEA	0
main	24 	AOH 	 oneCued 	 0.0 	 right 	 8 	 225 	E 	2 	P 	0.0 	4 	0 	2.0 	ICFVULBYXHDTJWSQZOMPGERANK	OSPMLTVYGFHBRDUEWXKCNZJIAQ	PZHTWAMCSQVRNFYJBDLOGXIKUE	DZJUKICLEXGSOVRFHNWAMPTBQY	MCJWKGFXZDPBEITLVHSRYAQNUO	QTDYEPGFXJHOWMSINZVABCRUKL	ILQZXGVFEWHAUDRPJOTNMSCBKY	ABDETJRVQLPUOSHMWCIKFYGXZN	0
main	25 	AOH 	 oneCued 	 0.0 	 right 	 8 	 135 	V 	2 	X 	0.0 	2 	0 	1.0 	BQDZHEUJITMPKCFSOGNYXVRAWL	XOZFMKQITNWDUYLBAJPGHESRVC	BGNDTSYRXVIUAHELKWFPJCMQOZ	SPFHKECWNOXBMLIZYRGQDVJATU	NJFDGKAPZWCBSTVMEUOXHRLQYI	EZCQNIJSVMXYPBOWRDHLAKUFTG	VFWJSCIHQNLPDZYBGRUXETAKOM	PNCQGBUATDFEZIRYWHOMJXVSLK	0
main	26 	AOH 	 oneCued 	 0.0 	 right 	 8 	 90 	M 	2 	H 	0.0 	2 	0 	1.0 	THSKZMWXJFGQCNUBLVORPEYDIA	XTHJVBRPWQSFUKMOIANCDLYGEZ	WCEPRFIHMALKUBSNQJZVTYXGDO	KMXWFSDIRQTGJUVZBCYLPEHAON	IVHXMFWYBTZEJPUNKASQGCLDOR	OKLBSJHNCUAFIWVGZQPXYDMERT	HGSAONZMUPDBLJRCKFTWVEYXQI	TSKBZXPMDRJOUCGHWYAENIFVQL	0
main	27 	AOH 	 oneCued 	 0.0 	 right 	 2 	 45 	M 	0 	Z 	0.0 	0 	0 	1.0 	BHXDQGKZMESPWCRTILYFUOVNAJ	LJBRCQSZENAYMTPUWIOKFVGXDH	-99	-99	-99	-99	-99	-99	0
main	28 	AOH 	 oneCued 	 0.0 	 right 	 2 	 180 	Z 	2 	F 	0.0 	1 	0 	1.0 	TXALRMNIFYVPBDEUCKGZJOWQSH	NKTIVRFZADHOPJEGQUXWLCMSYB	-99	-99	-99	-99	-99	-99	0
main	29 	AOH 	 oneCued 	 0.0 	 right 	 2 	 0 	R 	2 	G 	0.0 	0 	0 	-6.0 	TIOMRFEYXNGPBCQKADJLVWHZSU	UZVNQCAITOXYMHBWLPEKJRGSFD	-99	-99	-99	-99	-99	-99	0
main	30 	AOH 	 oneCued 	 0.0 	 right 	 2 	 45 	E 	2 	J 	0.0 	1 	0 	2.0 	GTEKAMCZQRNXWSBLPOJFHIVDUY	UKXRCWYMNJVEITGFDOAPLHZBQS	-99	-99	-99	-99	-99	-99	0
main	31 	AOH 	 oneCued 	 0.0 	 right 	 2 	 270 	H 	2 	U 	0.0 	0 	0 	1.0 	QEOVRPYNUHTGIMFLAXSZDCWJBK	JSRVGOKEACPFUWXTZNMDYBIQLH	-99	-99	-99	-99	-99	-99	0
main	32 	AOH 	 oneCued 	 0.0 	 right 	 2 	 315 	P 	2 	E 	0.0 	1 	0 	2.0 	WOCATXBLHZSGVFIEJUPRYNDKQM	CHILVSGWEBPJOQYNTFRXDMAKZU	-99	-99	-99	-99	-99	-99	0
main	33 	AOH 	 oneCued 	 0.0 	 right 	 2 	 90 	T 	2 	B 	0.0 	1 	0 	1.0 	ONDYAHJQCVLMSEGUZRFBXTWKPI	SXQOZRPHBTVJUILAKFDCMYWNGE	-99	-99	-99	-99	-99	-99	0
main	34 	AOH 	 oneCued 	 0.0 	 right 	 8 	 135 	S 	2 	W 	0.0 	2 	0 	-8.0 	UTDYCXGIRQNOJMEHFBWSAPVLKZ	JWKITORDSLCUVEGBFAHQYZNPXM	OFSJAXQLVMWGYBCRHDZTPEKNIU	DTFAJMUQCLZVXYSHOEWGIKRNPB	RDJWBYGPFXLZIUENSVAKQTOMHC	CMUHPEYFISATJORLQKGNDZBXWV	EXLAZWDSTCRPMNOVUYHGKBIQJF	KEOVCMIYXLPZFARUSDHJNTWQBG	0
main	35 	AOH 	 oneCued 	 0.0 	 right 	 2 	 180 	E 	2 	M 	0.0 	1 	0 	1.0 	TQGXSBZIMLUAVHOKJYWNPECDRF	RZPNACKVMEBGTHSIYQLDOFXJUW	-99	-99	-99	-99	-99	-99	0
main	36 	AOH 	 oneCued 	 0.0 	 right 	 2 	 135 	K 	2 	F 	0.0 	0 	0 	2.0 	IPBZUJHQFNKXMWEODSLCTGRVAY	MVSGBKFPLUCERQIDXZJTONYAHW	-99	-99	-99	-99	-99	-99	0
main	37 	AOH 	 oneCued 	 0.0 	 right 	 8 	 45 	T 	2 	X 	0.0 	6 	0 	2.0 	JCGRYVQZIEWNFHTUOPLKMXBSDA	JAZDMCTKEFOUBLYGNIVWXPQHRS	PYJZKVFCUITWMBXOAQESRDHLNG	YLIRCFEOBNPDQWKAXUHMZSVJGT	FXQPALYTDWICSURVJBKOZHMNEG	ZTAOMWDKIBGLVXYECQJRFNPSUH	WUZEYLOMBXPTRHDIJGKSAQCFNV	BATJXIYRFUEVWOMKZNSHLDCPGQ	0
main	38 	AOH 	 oneCued 	 0.0 	 right 	 2 	 180 	X 	2 	D 	0.0 	1 	0 	1.0 	EODLFNXGBSIAJQMKPRTHCVWUZY	WEVRZSYMTCDXKPGNUJABLOFQIH	-99	-99	-99	-99	-99	-99	1
main	39 	AOH 	 oneCued 	 0.0 	 right 	 2 	 270 	E 	2 	B 	0.0 	0 	0 	1.0 	TMRZFILSBEGUVWDXNKOYHPQJAC	ZVQUFNKBSIPWATDRYMOJCLEGHX	-99	-99	-99	-99	-99	-99	0
main	40 	AOH 	 oneCued 	 0.0 	 right 	 2 	 135 	Y 	2 	B 	0.0 	1 	0 	1.0 	BRLKDOYCXAEPISTJFQVWGHUZNM	WTDHPAQBYXRNSUKJLCFEZGIVMO	-99	-99	-99	-99	-99	-99	0
main	41 	AOH 	 oneCued 	 0.0 	 right 	 2 	 0 	R 	2 	L 	0.0 	0 	0 	4.0 	JPNEBULYHIRFMKAWGDQSCVOTZX	FYCAGZTHSBLJEIUDKXWMOQNRVP	-99	-99	-99	-99	-99	-99	0
main	42 	AOH 	 oneCued 	 0.0 	 right 	 2 	 45 	G 	2 	I 	0.0 	0 	0 	1.0 	EFURXZIGSTHQPLMDAOJCNYBWVK	TOMGYISVJLRNFZEBCKXHAUPWQD	-99	-99	-99	-99	-99	-99	0
main	43 	AOH 	 oneCued 	 0.0 	 right 	 2 	 315 	W 	2 	D 	0.0 	0 	0 	1.0 	QTVYCEAPXDWSILNOMGHUKFBRJZ	ZSCTROLGWHUAEBVIDFXMYQKPJN	-99	-99	-99	-99	-99	-99	0
main	44 	AOH 	 oneCued 	 0.0 	 right 	 2 	 135 	X 	2 	T 	0.0 	1 	0 	1.0 	EPLIWHMYUASTOQFCNXBJDZKRVG	SGVOAFDYIWTXZEPKBHNLUQMJCR	-99	-99	-99	-99	-99	-99	0
main	45 	AOH 	 oneCued 	 0.0 	 right 	 2 	 135 	S 	0 	L 	0.0 	0 	0 	2.0 	PTDFQKHXLJSWCUYGMRVZEBAOIN	HWTCRJDSVQGLEMUPOXZBKFNAYI	-99	-99	-99	-99	-99	-99	0
main	46 	AOH 	 oneCued 	 0.0 	 right 	 2 	 180 	D 	2 	V 	0.0 	1 	0 	1.0 	MYRCTZDWBIJHEOPUVNFAKSXGLQ	FKCLXZGPWVDSQJUNOEHYIBRATM	-99	-99	-99	-99	-99	-99	0
main	47 	AOH 	 oneCued 	 0.0 	 right 	 8 	 45 	Z 	0 	D 	0.0 	2 	0 	1.0 	GFCQLHKMVDNUEBPTSIZYOJXARW	VWUKOZXANIEJQHSDMGCRPYBFLT	WEXHLODZFUAYIQTNSPGBJRMCVK	RVLDOMTUAIZSKPWCGHNJBFQEYX	LAYSDTWRJKVQENXGIMCUPZHOFB	OUFVMKHPCDLSIJZXATYNWRQBGE	YEGZKQSMABPLWJFVCRNUIODTHX	QXBHCGFMJNZSLRVKODAPEYWTUI	0
main	48 	AOH 	 oneCued 	 0.0 	 right 	 8 	 135 	D 	2 	Y 	0.0 	0 	0 	2.0 	EAVRXKIYFDCGHQMLOBSZNJUTWP	CTHSUYKZBORXQNGWDPLVFJMIEA	RZEVSXKONPUYMCWQTBDJGHIALF	QMAKPZYVLDTFXGUOCRHWJSEBNI	ACWROUKLDYJMPIHZXNETGBQFVS	YDFWVABRNKOXQMGZJSLCTHUPIE	FGSOXZTPNAERVHDQYBMUJKWLCI	SXHCBATVUDNIPZMQEOJYRKWFLG	0
main	49 	AOH 	 oneCued 	 0.0 	 right 	 2 	 45 	K 	2 	Q 	0.0 	0 	0 	1.0 	BXJEUWGPQKATZHSLODNRIYMFVC	DHYSAOUBEIJQTXLGWRFKZCNMPV	-99	-99	-99	-99	-99	-99	0
main	50 	AOH 	 oneCued 	 0.0 	 right 	 2 	 0 	W 	2 	K 	0.0 	0 	0 	-4.0 	EVWNUOKYDSIQAJBMCRZTPXHFLG	JLAXSROBEZDPNCFGKYQVITUWHM	-99	-99	-99	-99	-99	-99	0
main	51 	AOH 	 oneCued 	 0.0 	 right 	 2 	 270 	L 	2 	Q 	0.0 	0 	0 	2.0 	OTYVKRQCLJSBDPZMUXWGHENFAI	CUYSRQKPVFEZGOIXMLDJNHBAWT	-99	-99	-99	-99	-99	-99	0
main	52 	AOH 	 oneCued 	 0.0 	 right 	 2 	 270 	E 	0 	M 	0.0 	1 	0 	3.0 	VRTIJGQYCPKFXONLEMBHUDZSAW	OGBANILTKMRUEWSJCPVZQDYXFH	-99	-99	-99	-99	-99	-99	0
main	53 	AOH 	 oneCued 	 0.0 	 right 	 8 	 270 	M 	2 	X 	0.0 	0 	0 	2.0 	ZPTJCGVSXRMEIKWHLYFBONQAUD	DYKMHSUIBGOEQRCAPTFZLJVXWN	OLAWKRXZEGVPHIMCSQDBFJUYTN	XCDOHZRYIFPGSBVAKTLNWJEMUQ	JTMCRNDFQOIKABYVSHULXZPEGW	KJSZNYOGXHWBAQRIFLVDPUCEMT	MBFGXSDHQTZPWACENROKIYUVJL	GSYITNHRWAJVZCFQDLPOBKXMEU	0
main	54 	AOH 	 oneCued 	 0.0 	 right 	 8 	 315 	K 	2 	V 	0.0 	1 	0 	1.0 	LATUMRVDCJINGYSEHKFZOXPWQB	MAEFOXVKLGRPCUWDSQINJTHZBY	UAYFRNWOVZBCXPTIKELMJQDGHS	LFYXQVBNEPMUHTKGCSRAZWIDJO	VNWQKEGMHTXFRIAPOUZCDJYBSL	LETXIBUHPCVSAYOMZDGKRQNWJF	RCQMHTUINBKGXVWAOSELPDYFZJ	BKUACLXSWEIJYVQZRGOTNPFMHD	0
main	55 	AOH 	 oneCued 	 0.0 	 right 	 2 	 270 	X 	2 	G 	0.0 	1 	0 	2.0 	DXTUOFJRQYBLAWEHNGZVKCMISP	JVTKACGPXIOQHFYLRZMWEBUDNS	-99	-99	-99	-99	-99	-99	0
main	56 	AOH 	 oneCued 	 0.0 	 right 	 2 	 135 	S 	2 	P 	0.0 	1 	0 	1.0 	SMUYDBHOKQEXTJCPNVZWFGLRIA	AFGWDVJNMPSYKHCIBTRZLOEXUQ	-99	-99	-99	-99	-99	-99	0
main	57 	AOH 	 oneCued 	 0.0 	 right 	 2 	 225 	G 	0 	B 	0.0 	1 	0 	1.0 	FNZYTOMPBISRGDHAKVCWEQXLJU	NJOFPCBGESTRUYXWZQVIHLDAMK	-99	-99	-99	-99	-99	-99	0
main	58 	AOH 	 oneCued 	 0.0 	 right 	 8 	 45 	M 	2 	H 	0.0 	6 	0 	2.0 	CPEFORKDTXJBLWZHYNVIGASMQU	JUZMRVPNTAWHKESXYFOCLIDGQB	CNLVZABQUTXFRYMKEJWGSODIPH	CNMEVURLAHXFGSQKOWPZDJBITY	WAGNMYJOQKZCDEHTLBPRISFVXU	IFHZDOEGYQBRMACXVSJULPWNTK	CYDTRWLHQMAKVGBNXPIJSZFOEU	AVPQEFIURDNWHYGXMSKJLOTZCB	0
main	59 	AOH 	 oneCued 	 0.0 	 right 	 8 	 270 	W 	2 	W 	1.0 	0 	0 	0.0 	QZFTEJYWVIBGPUARODXHCKLSNM	CXJEAPLHVDIWNZUQYSBKRGOMTF	NFSKOCZQBXHDIEVJLYGAUMPWTR	PYKBIDCAJNZMFEXHWTRVSLUOGQ	ZGCNMBUPSOIEFYKTWVXRQJHLAD	SXLCTABPQWJDHOGKMNIFURVZYE	NYFGZPIQRXKVTLMEDSCUOWJBHA	QFVZLJDPCWMIKTOGXYHRUEANSB	0
main	60 	AOH 	 oneCued 	 0.0 	 right 	 8 	 180 	S 	2 	S 	1.0 	1 	0 	0.0 	IYOHCNZGRUTJDSEKMXABVFQWLP	RLWIKMUZEPSGOYQXBNJTFCDHVA	DEYHFMGZPSXBILJTUWOVCNQRKA	IYEJQABKFXVRLNWOSTZMHDCUPG	ZDWHFKTVSYCPEXIALBNGROQJMU	GNRWTBXQCVASDMKZLJEOIPFYHU	QPYIHNSUAJTZXVKEBDFOWMGRLC	HUWATIJBREMSCZXVDFNPYOLQGK	0
main	61 	AOH 	 oneCued 	 0.0 	 right 	 8 	 90 	R 	2 	Z 	0.0 	4 	0 	1.0 	OUXPMQGVITYLJWDBAHCRESFZKN	XAWIECNMGFOVBUSLKHZRTYDPJQ	QGEKDAXSYWNZTIUVOLRCHFBPJM	GZPVUDSWCHQOXJYNEKMBTFAIRL	JOMXNVZRQABUCKIDESFHPTLWGY	LNWZPJSVHKOGIXCEYBDRTMUFAQ	TFVPAJRIXWQSUKLDGEZBYOCHNM	TJNRDLWOXEYSKCFHIZGUPMBAQV	0
main	62 	AOH 	 oneCued 	 0.0 	 right 	 8 	 225 	S 	2 	A 	0.0 	7 	0 	2.0 	BQJYGTVEDUARFXCHNIOMKZSWLP	OJSPRAHDVLTNGBUIXMWKYFQEZC	ITUXQDBVPAONZYKLCJGSMFWRHE	JRUPFDTLAZEHKSVGYOBNQWCMXI	BHRCWYUIAMSTVPZLONQJEGFDXK	PZAFCOJDSNRHQXKWTGVMYLIBUE	DVKGFRIPQBLSHWOETCUNJYZXMA	QJHXUYCLADSEFOVKWBMNTGRPIZ	0
main	63 	AOH 	 oneCued 	 0.0 	 right 	 8 	 225 	U 	2 	Z 	0.0 	3 	0 	1.0 	HUVNLSODQIABCWFGZPXKTEYMRJ	CYEJLMQSBPXDZTUOWARGFNKIHV	OZKDBXQRIGNJCLAUTPHYEFWVMS	XOPQVHWKZULCGABSJMEYTNFDRI	LFQYTOAGWVSMCKDNIEXZBJPRHU	IZOASGMJNYPHRQBCXEDKLUVFWT	AUXLYIGVMHEODPTFJZWCSQBRNK	JSWQHEFTDVIOZUCKXAPGMYBRLN	0
main	64 	AOH 	 oneCued 	 0.0 	 right 	 8 	 90 	D 	0 	O 	0.0 	1 	0 	3.0 	GIJMKFLHYOBSUQECARPVDXZNWT	KNEVTFJHOAGDBCUXMRYIPWQSZL	XPGBZLIDHOTVRMUJANKEYSCFWQ	LIAZMBTJSHYQUVWKRDOEFCPGXN	EXDOJIVUWHGMSYPRLTCFQNKZBA	PANZSTGIXWHMKUVYQCODJBEFLR	GQLYUFKCNJTXBVWEARDSOZMHIP	KUEJBLWFTQVCHXDASORPNZGIMY	0
main	65 	AOH 	 oneCued 	 0.0 	 right 	 8 	 225 	J 	2 	F 	0.0 	3 	0 	2.0 	HZTFJIXAEOPDVLKQWYRUGSMCNB	ZVTIUCYFOPLSRQXNJEGMDHWBKA	UDHSWBTMGKFEVIYJLQOPXZCNRA	NZVXORHDAFIJUKSYQEGPLCWTBM	IJPGDNHFZUOYWMCQSEVBTRXAKL	YDEJFMRHAUWKLPBXQTOGIVNCZS	DTMORBFLPJWIVZEQUCGNYHXKSA	HZWGQKEOFYTJUVIBMSACNLPDRX	0
main	66 	AOH 	 oneCued 	 0.0 	 right 	 8 	 45 	W 	2 	M 	0.0 	3 	0 	-4.0 	HDQKCRLWVYXPSFANTGMOIJUZEB	BPRCLEAXSYFVJMGIHOZKNTUDWQ	LHAZQMROFNVXSPUBCJEKIGDWYT	PJWLBDMTVIYRZXAQNCFSUGKEOH	TRHFJYNUBIZELMCOWPQGVKDSAX	JAQUDSONXZPYFHILCEVWMTRGKB	SAULHRJVYWMTXDEGCKIQOBFZPN	XCJZPIMHYFOLUVDRSKGAQNTBEW	0
main	67 	AOH 	 oneCued 	 0.0 	 right 	 8 	 90 	E 	2 	S 	0.0 	4 	0 	2.0 	RKBQIGSAZXWTPLDYEONCFUVJMH	HBMYQKOGWXDLINFCSZERJUTVPA	LYWXKPIUGJFBQEZCSVHTDNOAMR	OYKBPECHWDVAZFQLXJSMNURTIG	PXWMKBSYELFJGCRVTIOHZQNDAU	SMRGACHVBLTIQZODWKJFXUEYPN	JDSAIXHGTBYZWCMLVRNPUOFEQK	FZKVAMEXPDSLOCNWJHQIBTYGRU	0
