experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	baseAngle	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	streamLtrSequence18	streamLtrSequence19	streamLtrSequence20	timingBlips
main	10 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 257.753379384 	G 	W 	0.0 	3 	0 	2.0 	KJCSVLPRYZHGMDXUWBAONQEITF	CUIXRQEJHPDKOMWBYVNSZGTFAL	GJURYOLVPKBNAZMWEDTQFICXHS	SCNVXOEWUGPMRQHLAFJKTYIBZD	XOAWYKBVSHQDRCTPEUFLGZMINJ	HNQUBDXLIAGEWJFOCTRKYVSZMP	PJNFCDYBREHVQXLTKISAWMGUOZ	TXFVEHUINWZLDGQBYJSOPCRAKM	MEJWGPHFKRNQUXOBDVTCALZISY	FVZKWYIEJOTQADLSCHPUNMRGXB	LEVBPQKFDXTUMIRSAYOZWGHNCJ	PRQTCFKJMYXGLNBWUEIHVZOADS	SQUZPMJGYRBNCTFVLXHWIDEKAO	XCGWFIORAQZNVBMLDKTHYJEUSP	QVLWJPDRXATIHYZGBMUFSKECON	WMAQCLOZPGYUKJNVDTHSXIFREB	DIBSUPEHMGXNKWJVYARCLZFTOQ	DFBNQGCVHWRYJTUPASOMXEZLIK	CHZEMDPYJGQASVWUTNXILBROKF	KXZCPRLJEAODBNWTSVFGYQUIMH	UHYSRBPCFMIVDWKZQNGJEOALTX	0
main	11 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 220.827909358 	K 	Y 	0.0 	8 	0 	2.0 	AKVXFOCMHBTPEQZULRDIJGSNWY	SHDQKTRXPNCJLWEZIFVOBYUMAG	JYDTQIWKHOZURVFLANCSXMGPEB	NUPEGMZIOTYDWLJKQCAHSBXFVR	GQHMOJPVEXLASKUNZRTCWBDIYF	EAHIFGDBLYZRXVNCMJTSOKPUWQ	EDVZWXYNPTOIAFMLCJKGBSHUQR	VFJSATUYHERKPIDOQXMGCNBWZL	LDZSBQAWYIKTGERVPJNMCOUXFH	MKGDVXOCSPRWFBANJYULQTZHIE	LAGKXZNVJBOPHSWEMTRYQDUICF	QPXCHNSJDRKMVYILUTFAGOBZWE	TASXOUMYIPWHGJLNKRDBECFQZV	UYCFKGINLZWSMJRXAEQDVPHTOB	ILPBHEZSGYAUOKXFCTMRJNWQVD	PWAEZHBRCSFGKNOYTXQMVULDJI	MUJEONPZARFHSVQTXKGYWCDLBI	ZQLCDEITJGBKRWYHMXUVNFASOP	YTGEVDNHQXWMOCSPZJIABRKULF	ZTIFEOGPSNRYBJCDLUWMAKHXVQ	JKSAFRHQNBYCVPGEZLMWUTODXI	0
main	12 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 290.646431378 	H 	G 	0.0 	2 	0 	2.0 	OTQZCBENFGXRAHSDWKVPJUYMIL	ZNSXRQPEKBHAOLDJVMYTWIGCUF	OBDTZCMISVGNHJPWRQYKULAXEF	NXRIKTQLVESPOJYFGDACBUWMHZ	OHVENLGRZIWCQDBAYTMPJKUSFX	OIRGUJSLVFPDCZKYHTMQXANEWB	LEAYMPIFDVHWZGXOSCKUNJBRTQ	BZESWYHDVTLPAXUGIKRMOFNJQC	MECYRGPBSUVTNLQDXIZOJHFKAW	PCDSRZKVEHFWXQOIMJNUYGTABL	KHMBSXNECFPRLWGTZAOJDQVIYU	KWOCDEZYMGIFPBNQAUTVHXSRJL	LZPTCFRBAVGDSIMQWONXYUJEHK	UPLNXZTSGQJKRDEIFYAOHMBVWC	LFVSAWKQGNDMXYJOZHIPTRECUB	YRTIXLNVUMZESBAGOQJCHFDPKW	WQJCOXBSIDAPGYKVMLTUHNERFZ	LXMNTVIFZSRYQJAUWEBKHPGDOC	ZLDJTVPHUKWAYIGXRNBFCEMSQO	ZBIRGHKFYQPLWSCVEUJATDXOMN	ODHPSBYLFWZTUEKMIAQVGCNRJX	0
main	13 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 32.0105627489 	K 	N 	0.0 	20 	0 	4.0 	QOSJZYFAVKTREULWMCGIDXBHNP	NKJBICHWGYFXERVMZTDSQLUOAP	AUKGDJQNSRVTHICOZPFBELMWYX	TNGMCWZQJIRSFDVPUYXEKHBOLA	HUEYLXAFCTBZJOQDSMIPRVNKGW	LZYJTAHQSIWEXFMGPVROUBNKDC	CGRDPTFISEMJNKVOQLYBZWUHAX	CHKVFLPIMJRGZWQAOTXUBDNYES	KXMWYQHBAROJLTDGIPUFNEZSVC	GBYMCAHVQXTPODRISEWKNJZLFU	ZYDOHSEVJCQWLKUTGBMNFPXARI	DVMPCSKNTFUOXIJGBQZEHAYWRL	YLHKRZPDANMFTUVGSBJXECQOWI	UMGKLIFAJYEHBQRZWSXOPCVTND	FWBLQOPZCEITDAJRNUVXMKGHSY	DGLXEHKUNJQAZWPCBOIFTRMVYS	OXVCZLQRPYIHAJKGWMBTDNUFSE	PYAOVUTDJZNFGERXIWLSMBQCKH	AGEDRWJIPNUFYZKXLQTBCOSVMH	MCBGEJKQUZPFNXWHYSRATLIDOV	IOLJWTVFPMNHGQKXYCDUBRZASE	0
main	14 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 3.97897406198 	S 	Q 	0.0 	2 	0 	3.0 	NUABWZRGLVYHOFPXQKMJCITESD	LKMZAOUQBDFVNRTXYCSPGJHIWE	LBHYCUFXINQEASJKZOGVDPMTRW	IXELWCKRUDJYBTHVOAGPSMNFQZ	KAXCIQZGNPBODRWLSHJMEFTVUY	KPWGJCXMYQIEBHATSOLVRZNUFD	DNPCKAFGHEVOSWJMQXTIRLBUYZ	VABQFLDUHGIPCRXJKNYMTEZWSO	CTJHOUYSMWPNBXRGZELVKFADQI	FZTJIELWPMRKUDVGBAQSONYXCH	WFBCJYUQSTEOPZNVKGDMHLXRIA	VTMEJNIRFHOZSACQYPKXBGDLUW	FPXNBWUGCVKTAMLEHIZODJSQYR	GKBQNEJDHRPLASFTCZIMWVUOXY	AIQGFHTLEKPRXUYNSDJBWOZMCV	LODKQBCIENXGZJRTHPAVSFUYMW	JZOXYDQTKAMSNFGWUIRLPVEBHC	XHCTKUPMQLSJDGIOZRFVNABWEY	RAIYUDJOBXSLWKQCVENTFMZHGP	WTOPJZVSACHFEXUIDQMRNGYBKL	MXNIYCGHVEQAZDLBRWFOSPTUKJ	0
main	15 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 71.2556282877 	W 	X 	0.0 	16 	0 	2.0 	ZWLKTBFVASPDECIRJMYHXONQUG	PHUXKOBIGDQZENACMJRFSLWVTY	KJQVDIEGONBWPTZLUSHRAYCFMX	CBLKSWNZQHGPXTYDJIEMUORAFV	DBXQUETCNMOGPKSYVHZJWIRFAL	CXWYDHKBGENRSFJQIAUOPLTVZM	VZMNIKXFYDGJSHRCWBTQOUEPAL	YIMZGPXBRHJAQNCOVWSUDFTLEK	RXWVGCFQSOEAUHPMKYBLTDIJNZ	TDZBJYHASGWKLOPQNMEIUVXFCR	LZWDVTGJUEBQXCYAONSKRFIMPH	WEMZIQPCHYUXTARJODNKBGVSLF	ZONCUKQPEWMYBFVJSRDHILGATX	CEZUBHLNMOSDQAJTYFIXRVPWKG	MNOYZFUEQDPCVKHGXTRJWABLSI	NXSHIJMAUDKECFWYQVGTLPROBZ	UFJSEPBQTXAWNZDHMRLKIGCVOY	BQFVXKMRZNCOPYDUHWTJELGISA	JFIGLNBVTZCAHOSEPMKWDRQUXY	HUXOYERIJFQMACWBTGSPVNKDZL	OCIYFDHRNLJQSPEMZBWVUKXTAG	0
main	16 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 75.5992257828 	R 	V 	0.0 	12 	0 	5.0 	IEBHACDTWMKOQJPFUGNRYSLZXV	JQVXUEAOLKHSIBPYGDTRFZWCMN	DNERZLBTPQJMGSIVYUOAHKXWFC	TQFNZRGWLMBKYHEXUPVIJCOADS	JWQKVUBOGELTFMDNXCIAHRSYPZ	TXUJAINMLPZROYWQHDFVKSEBCG	ICUAHKFSBDMETZQNPROGYVJXWL	FJVSPALBCTQKOUNDGZMIXEHYWR	RVLMFIXZEHKPYTSDNUAWBCQGOJ	BYZUPOGACWKSJLQFXEVMDHNTIR	ORUFGQMALHSDBIJCYXNKVPWTZE	EFSBXMVZAPJRLQHCYNKITDWUGO	TDWCEXHBMKVYPJGRILOUZSQNFA	RCNKAPLGEJHSIDVMUWOYBQZTFX	XHTEFKJUWYLDZRIMGQPVASONBC	WICONZLXTVRSEBQKAUJDMYPGFH	KMRUQZAJYWBNVTEDHLCIXGFSPO	WEVKNMIXCPTRAQDOZJSFLUHBYG	KFQPTCSUOVBEYDRNHGLZXIMAWJ	LGATUQKSVXDEICOZBWYMFJPNHR	PAFICDUOBXRGKWJVMHLESQYZTN	0
main	17 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 3.74861935769 	N 	U 	0.0 	16 	0 	2.0 	EQSZDOFRGHXVYKNTCBULWAJMIP	EYJGSDLQPIFCWTMKAUONVZRHBX	SXECPWYITUDOQJGNMZALKHRBFV	KFLUDRQNHZVBSMWTIJPCGXAEOY	XYBTHPMZSLDGEOVNQWRCUFJIAK	HAKYWQIUGJNLDORXTSFVBMPECZ	VEWDGKBRXHONJTPZILAQUYCSMF	KOXYGFHQURJZSNCEBTMLWDPAVI	JXTOWRGPINHLZDMSFQEAUKBYCV	UFESVDWHKYOCAPXITQJNRMGBZL	EOPFXCMRAKLDGSWHBNJZIVUYQT	EQJSKVADXBTGCILUOFPRHZWYNM	QXZBNROVPKILDEMUAWGCFSJHYT	GPNWJXZHSVKUDCBEYIFTLORQAM	YZCLUPITFBMEGNASVRWJXKHOQD	NIMFQOXJKLVPDSTZCGAEYWHBUR	GYQISTUVNHZDJLOKCAFWPERMXB	DKRZSVJUABWNCMFIEYTHOQLXPG	MESHPQLCGNJVFWAZORIDXTYKUB	PBHWLGQDUAIESNOXCFKTRJMZYV	FHZJYBALMNRWETIKSGVPQOUDXC	0
main	18 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 130.304243483 	W 	Z 	0.0 	18 	0 	2.0 	WJKLBAXVDZQRHCMNTYEFGSOUPI	AXFOHKPEYIBUMRNCVZQTSLWDJG	JKWQGFSRZCYEMDOAPLVNIXTHUB	XAGIDNHQCZUJWYPLFBVEOSTRMK	NUOVAXPBSYTGFIZLHQCKEMWJDR	GSEPMKOBJLZADFUVCWHRYXQTNI	DTZRAEBGLOKQWPVXYSMJHUCIFN	KBGQPELXIFJRDWOHNSUVCTYAMZ	NBDHZUFORLXVWJEYASGKTIQMPC	MRQHIFEGXLYSJUBWOCVPTDANZK	OFABGUZNKQXIMCDLTVRPEHYWSJ	LUQPASOTZVDKBHNEIYGRJCWMXF	IMWTZYBDPKECVUHSFJNROQGLAX	LIJSTOQGPWUHCBKVERNFZYDMXA	JRNGULQYMATEFHKZPWOIBDVCXS	UZWSKTCIMODPEXQNAJHVYGBLRF	DTGBOQILXMPYVKSRAJENFWUHCZ	CDTUHEGKPOSFNYQAZJMBWRLVXI	HXRNOQZYWETKUCFLASBPVDIJMG	WBDOMETNYILGXCPHUKZJFARSVQ	HUVFGNXIAOTDZYWCJEBLKRPQMS	0
main	19 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 35.92994825 	G 	R 	0.0 	12 	0 	3.0 	JUYOPZDXKWBMQANLFSIHGRCETV	ZSWVCMXJGHLORQDIBEPYANFUKT	LFTCMEUSWXPGNYVZRHQODBIJAK	SNKOMAELTPQXYGCWDIJZRBVUFH	CTQUPXDNGMVABHROEJISWLZYKF	JGIPQCHMSWFOAKENYVUXRTLDBZ	ZCJEXONBLPSFHTVYGDRUAWIKQM	GJOUIFYNWHRLBDEPVAZSMXTKCQ	PSRDIAFGHJETLQYKZOMXUNWVCB	TWHLKVABIDQZMCFURXEYPGSNOJ	VJHTXAIDEOQSWFUNZBYRGMCLPK	TOFZBDAGHYRVUMPLKJSWIXECQN	UFPWDBLVRCQGISTYOZAHKMJEXN	QWPRMOZCNBAVYHKGSXTIEJFLUD	WNIYOPECVFJAHSXQDLGUTBZKMR	TONQCWJDPFKELSHZUBIYVAXMRG	ABNSMRXJEUPOCVTGDFHYZWILKQ	SNFDGHOJKPATIELQZUBYMVRCXW	TDFGCLRNVWXQHPIOBZKUAYEMJS	EKBMTRNZLWFAJGQPSXUHIDYCOV	OCQVBNXJMYLZIPAUDKSGEHWFRT	0
main	20 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 257.753379384 	N 	E 	0.0 	2 	0 	2.0 	MQZYDHNIULRJBPWCXSFAEKTGOV	VDLICSUHWOFMPABEQZJXYNRKTG	BPLYCJRETNFSWOAGMQDXHUZKIV	YPMNTVWFEODIZKJGUHBQXARSLC	MYBIKTJRDFHACEZPLUWQOVGSNX	YAHRGTEXQIBMKPDSNZVLWOJFUC	TOBEDFPUIYRWXHGCLMJSVKZANQ	GAEHDMFRIZCOYVBNJPXKUTLQSW	SZLYQNBGVRWPEOXUFJKAIDCMTH	HYATDMRGBZIJQWUNOECPKLXVFS	WJSTUPVYZLCIDNAEHQMORBXKFG	UBYENPKFCOSHRWQXLAZDGMTJVI	QVHFMNOTKLWIEZUXRPYCSGBJAD	TCWEZIVXBPAHFGSKUOYJMNDRLQ	UOPZVWHMDABIQSCXNYLKFTRGEJ	DTGKJLQCOWPMNIHUBXFYAVESZR	QLKTDAPGUWVOXJRBZMCIFYSHNE	AMHBVEXUGDTSLYKCJONPQZIRWF	MFAORZXDCYQINJBPTWLSHGKEUV	LEZXTHDWRYSFGCJNOVAQIKBPUM	BKWUYHPDCZGXTQIJNMROVESALF	1
