experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	21	18LS4	18	1	A	0	10	E	False	0	30.0	0	0	6	2	QJFHEMNITDVKRBYSLXPZAGUO	ROLYUXHQEFAIKGDBVPTMJNSZ	SGFBYTEOKPXMUAJQZNILVRHD	JAYDOFHQTGNBXMZVUSELRIKP	NAOMQJXFETLBIDVKRHZGSUYP	GKMJQOXUVTLAHYDRIBEPNSFZ	DBQYIKFXJPEUAMGSVRTNOLHZ	BMRNLVGHDAUOJIKPESXTQFZY	VIBMOPFTQELDGJNZRUXKHASY	PZGLEVONFTJMHQBKIXYARUDS	LNPHZEADFTVXUSGOMRQKJIBY	PNKBRYVZUIMOAGJTDQFELHXS	RNZLKHTUEMISAXGFQDYBOVJP	JKNHVRZTAMQGBUPIESLOXDYF	NULIRMQJOASTBYPGZKXHDEVF	QYEAMKIGNXVFTDPUJRHOBZLS	KHNPMOYTVAXSZDEIJUGFQBRL	AMKYHNFJVXGPSBRIUETLODQZ	1
main	22	18LS4	2	0	G	0	10	F	False	120	120.0	0	0	0	1	EBHRSLAUMOFGIQDXNYKTZPVJ	GZJHVSINQYEKAFXULMTOPRDB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	23	18LS4	2	1	M	0	8	M	True	120	330.0	0	1	1	0	EVKAPYFMTIUNSRQBZXJDLHOG	RKJXTSPGMZYVIDAELNQFBHUO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	18LS4	6	1	R	0	7	K	False	120	150.0	0	0	2	-3	NLGVHOSXMRKFBEPZJYUDAITQ	PGHQLDAKYFRBVTIOEUNJMXSZ	ZSIJRLYKNPQEAUOHXVFGTMBD	AKIJBQXVTMNESGLORDZFPYHU	NEKIDBRSMUHGXQLTAPOVZFJY	YEHNXGUQMDBJSPFOLIRZATVK	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	18LS4	18	0	Z	0	7	T	False	0	0.0	0	0	0	1	EHPUYSQTZBFKLXIOGJDAMNVR	AVKFPYNTRXHSGUQOEMBJZDLI	BJEHNQOFGXRLUKDSIYMVPTAZ	LSNAMJZOTUEYFQHVBIKPXGRD	ZREXUOKYAFMHGVNIDBQPLTSJ	PLXVRMHNTUEGOSFADIKBYZJQ	EVKIRSNUGQBOMLFHPZYXJDTA	PXQRJZLNAIOMHKEFBVYSUDTG	PHZJKUMLFEGXSTQRAOYBIVDN	URMGEVYTSPIKZADBJOFHNLQX	TKASOZRUQHGJEDVFPNIBLXYM	OTJHNEISLUKDVQPBYGXMARZF	BDQSIENUOMLVRGXZHTYAKPJF	UXSMRVGLJFNAIZDHQKTBPYEO	VDKZQFORJABUMITEXLGHNSYP	NSGJHXRUZYABPTKQELMIOFVD	DGNVORHKSABQLMUETZPXFYJI	HXSAVTJRFEGLBMIDUNOQYKPZ	1
main	26	18LS4	2	2	K	0	8	X	False	60	60.0	0	0	0	-1	OGYDFJAKXUHNZMBRITLEVQPS	TBNKAEDSHGXLUPYRJVQFZOMI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	18LS4	6	2	E	0	9	D	False	0	180.0	0	1	3	2	GSPFOBNKMYALXDVREUQIHJTZ	VBNTSZQUEAJMIFRLYHDOPKXG	RSBLEPJTUYKQZNXOHMVAFDGI	QARSLMHBIDVEPZXYUNTOKGJF	IPSQRLZHAUXFKDMGJENVYOTB	FHJDYVNLGAOUBIPXZTQESRMK	999	999	999	999	999	999	999	999	999	999	999	999	0
main	28	18LS4	2	1	A	0	10	H	False	0	30.0	0	0	0	4	EQDYIMVONJHGLRATSPXZBUFK	VMJPHLOGESXRZYBADQKFNITU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	18LS4	2	2	B	0	7	O	False	0	0.0	0	0	0	8	ZMNSHEFODYKRGAQBTXPLVJUI	KOVRGZSDJLPHNUQEAMTBIYFX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	30	18LS4	18	2	R	0	7	N	False	120	120.0	0	0	14	1	DUNKSFGOLYTQPIMVJRXZEBAH	SOLKHEUNBTZFVRDGXMYAQIPJ	AOMFRKVYGXHTSDNBQZJEULPI	JIRGOBZVAMQSYEFKTUXNPHLD	VXZEMJSHBYTKPDNALIQGRFUO	IHZRQDJEKPBGVUSFMNOALTYX	PRZHOKLUJBSDAGMXVETYIQFN	ILFQTKOGJYRXZMEAHVNBSPUD	MVUFIRHSELBKGXNPYAOQZTJD	GPYTAEIOBJNRFDMSUQHLZVKX	VDRKNGFQHXZLYUOTSEBAIMJP	DKIVPSXZUBENHQJTOAYLFRGM	YIZVKJGPLASFDQTMXBOUNHER	YHKIGMFXAEDNBORZTVSQLUPJ	QVSHDXBNRPIJTFUAYOZKMLEG	UMLISGFXONHTDBZRYEPJQAVK	QTEIXOHGJPDBMAVZNKFULYSR	UGDFKRZAMBESOXNPVIJTLYQH	1
