experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	20	18TM5	6	0	S	0	9	U	False	0	0.0	0	0	0	1	AIZRYLHMDUSPOVKFJGXQBETN	LTGODPMNEBYSZQXHFJAVKIRU	TPXEDNLKQAOUIYRVHBMSFGZJ	MYAILJOESDZVQPHKXNTBGURF	JVXDQEYBOIKSPZNUTAFRHLMG	YMUKANETHVJIOLDPFSXRZBGQ	999	999	999	999	999	999	999	999	999	999	999	999	0
main	21	18TM5	18	0	R	0	10	R	True	0	0.0	0	0	0	0	XMVAKOUNPSRTHIBFYJZLGQED	JMVLEBZNIQPKUXHRGSODYTFA	UYTZFDBEHGNVKSIPOXMARLJQ	NFSKVURIDLMJBPZXOQTYEAHG	SPIOGFNUZMXDBRJQYHVLKTAE	GZKPYVJXMFTLDABNOEUISRQH	TEYIKDHVXUMQROAZGPNJSFLB	AXNLVPGRTDSKFMBUIZJYEOHQ	EKPADQNZHXLOGSVRYTUFMJBI	YTAGDQXIEKVZBJLRPSFNMHUO	TUFKXZRMHAVLPDEBNQIYJOSG	QIJTRFMZVAGPXLHKESDNOBYU	MNPVIDUFRXHZJQTLEKSABGOY	HIPESNBRJZOUYDMFGXKVTLQA	JELOGADYZUFTRMXVPNHQSBIK	FIEQPOUDSNZLGVHKXABYTRJM	UXGSDKRPJVAYHIQOZFENTLMB	TZAUYRQOPXKBMHVJSINDEFLG	0
main	22	18TM5	2	0	K	0	6	K	True	0	180.0	0	1	1	0	QGOBIKULPMATNJSHZFERDXYV	GQDXLJKNIMEAZSUFHTRVPYOB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	23	18TM5	6	0	P	0	8	A	False	120	300.0	0	1	5	1	DTFIUPNRJVHOYKEXQABZGSLM	RTBYXNIVAZDJEGKFSHULQMPO	RDHYJNATOLSUMVZEXGIBFKPQ	TUDLXBOPRJNZVESQMYFIHGAK	SPEHIZLMAKUDBXJQTOVYGFRN	GDVTENSRAPIJFKQBYMXUZOLH	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	18TM5	2	2	L	0	9	Y	False	0	0.0	0	0	0	1	PZXGIKMBVYLNQHUFOEASJTDR	MLIYURSPBAEDNZFKTOXGVQJH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	18TM5	6	2	A	0	6	A	True	0	0.0	0	0	0	0	EGHSOQAFLRIVUPBDZTMKXJNY	ZIRFMOBNEPDVQLGKXYHUTASJ	DTRHBLPNGOIYXAZVJMUKFSQE	UDFIZPXOBJMTEAGLHYSVKRQN	SEGLKTNZJDIMROVPFXQUYHBA	KJPSMOLHBYGAXFEDZTRNVQUI	999	999	999	999	999	999	999	999	999	999	999	999	0
main	26	18TM5	18	0	K	0	9	E	False	60	240.0	0	1	4	1	GMBDJUOREATVNLHKXPYSFQZI	LINVOZAMYBXSHQRKDUTJFPEG	PORVILNASZGTYFMDUKQEHXBJ	AEPRUMLHYNDFIGTVOQSKZXJB	LPOTMAFUVEKHRIYQNBXZSGDJ	IRXSZMYLUNGKEBHJTQVDAOPF	FENVAYGDSZTUKRHXLQBMIOPJ	MVLKNRFSAEYBDZQGHJTPOUXI	PJHISYKGAMRFLNBXUQDVZTOE	LSYMHIBOZQVTXPFDNAEGKJRU	QKITDBXJZOPVMFYHASULERGN	FAOXMGQYNSHIVDLTUKBRJZPE	FDJQEZIVBYRNSLTMAGHUPXKO	GJYMRUXTVHPBIQSZAKEOFNDL	XJKESYNAGZBMQUPIFHTLOVRD	GLPXRDYQMBONSHJVEUKTAFZI	BVTHSRDXJQAOLGEKMYIUFNPZ	UPDZTREOQJVIHYALBSMKGXNF	0
main	27	18TM5	6	0	F	0	6	F	True	0	180.0	0	1	3	0	XUPRHDZFLEIBYTOQNKMJSGVA	YNHXLVPGSUQKEDZOJTFRIABM	JTPOYIKMZNRGELUHASBXFVQD	NAPZJLFIMGOUDRYSBHKQVXET	YVUQIBPMJDRLNZTXFSEKAHOG	HRVMEPYOAUGKQSFBDJTZXLNI	999	999	999	999	999	999	999	999	999	999	999	999	0
main	28	18TM5	2	2	S	0	10	T	False	60	240.0	0	1	1	1	XUTYIPRBQFOJLGSHKAENZMDV	OXUFDGRIMPTSNJVBQZLYKAHE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	18TM5	2	0	E	0	9	S	False	60	60.0	0	0	0	2	LNMDQUYJBSVEAOZGFPTKRXHI	YUPHLOESAVXMZNKBQFRTDJIG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
