RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION
AM3	109	NONE	532.60	372.10	.	1399	2830	1432
AM3	110	NONE	506.80	379.30	.	7	284	278
AM3	110	AFTER	474.60	338.80	.	306	516	211
AM3	110	BEFORE	488.40	316.50	.	833	1067	235
AM3	110	NONE	495.70	338.40	.	1085	1304	220
AM3	110	NONE	508.00	363.00	.	1325	2830	1506
AM3	111	NONE	507.70	383.70	.	7	264	258
AM3	111	NONE	483.70	363.60	.	280	1088	809
AM3	111	AFTER	495.90	367.10	.	1184	2420	1237
AM3	111	BEFORE	612.70	381.70	.	2663	2830	168
AM3	112	NONE	509.60	381.30	.	7	217	211
AM3	112	NONE	551.20	391.00	.	241	548	308
AM3	112	AFTER	515.80	387.00	.	565	663	99
AM3	112	BEFORE	497.00	380.30	.	880	2829	1950
AM3	113	AFTER	511.50	383.00	.	7	239	233
AM3	113	BEFORE	524.50	380.40	.	425	735	311
AM3	113	NONE	513.70	367.70	.	751	2834	2084
AM3	114	NONE	511.50	383.30	.	7	679	673
AM3	114	NONE	499.00	401.90	.	689	813	125
AM3	114	NONE	501.90	388.20	.	822	2837	2016
AM3	115	AFTER	510.30	376.70	.	7	389	383
AM3	115	BEFORE	523.20	373.00	.	656	2848	2193
AM3	116	NONE	518.00	370.30	.	7	2832	2826
AM3	117	NONE	504.60	393.50	.	163	474	312
AM3	117	NONE	515.50	388.40	.	492	691	200
AM3	117	NONE	469.00	386.60	.	714	1214	501
AM3	117	NONE	528.60	382.20	.	1238	1483	246
AM3	117	NONE	508.50	389.40	.	1496	2830	1335
AM3	118	NONE	520.70	370.40	.	7	246	240
AM3	118	NONE	472.30	418.20	.	279	551	273
AM3	118	NONE	492.20	404.00	.	569	850	282
