RECORDING_SESSION_LABEL	TRIAL_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y
YZ15	Trial: 273	273	NONE	509.40	386.90
YZ15	Trial: 274	274	NONE	511.30	387.40
YZ15	Trial: 274	274	NONE	486.10	377.90
YZ15	Trial: 275	275	NONE	508.60	395.40
YZ15	Trial: 276	276	NONE	512.90	383.30
YZ15	Trial: 276	276	NONE	563.20	399.10
YZ15	Trial: 276	276	NONE	521.60	387.50
YZ15	Trial: 277	277	NONE	508.10	385.90
YZ15	Trial: 277	277	NONE	546.10	369.00
YZ15	Trial: 277	277	NONE	515.70	377.30
YZ15	Trial: 278	278	NONE	523.10	376.60
YZ15	Trial: 278	278	NONE	462.80	400.70
YZ15	Trial: 279	279	NONE	505.00	387.20
YZ15	Trial: 279	279	NONE	511.00	439.30
YZ15	Trial: 280	280	AFTER	510.00	379.90
YZ15	Trial: 280	280	BEFORE	519.40	376.70
YZ15	Trial: 280	280	NONE	503.90	383.00
YZ15	Trial: 281	281	NONE	511.30	396.00
YZ15	Trial: 281	281	NONE	696.60	390.00
YZ15	Trial: 282	282	NONE	433.80	370.50
YZ15	Trial: 282	282	NONE	518.90	388.60
YZ15	Trial: 283	283	NONE	511.70	387.50
YZ15	Trial: 283	283	NONE	508.60	390.30
YZ15	Trial: 284	284	NONE	508.40	385.10
YZ15	Trial: 285	285	NONE	516.80	389.80
YZ15	Trial: 285	285	NONE	500.00	385.40
YZ15	Trial: 285	285	NONE	511.10	391.50
YZ15	Trial: 285	285	NONE	463.00	392.40
YZ15	Trial: 285	285	NONE	440.60	394.90
YZ15	Trial: 286	286	NONE	521.80	383.70
YZ15	Trial: 286	286	NONE	513.40	394.50
YZ15	Trial: 286	286	NONE	469.70	415.20
YZ15	Trial: 286	286	NONE	511.40	414.00
YZ15	Trial: 287	287	NONE	516.10	397.40
YZ15	Trial: 288	288	NONE	518.20	383.00
YZ15	Trial: 289	289	NONE	518.70	380.30
YZ15	Trial: 289	289	NONE	616.00	369.80
YZ15	Trial: 290	290	AFTER	511.10	385.00
YZ15	Trial: 290	290	BEFORE	497.20	390.80
YZ15	Trial: 290	290	NONE	519.20	391.80
YZ15	Trial: 290	290	NONE	578.20	441.50
YZ15	Trial: 290	290	NONE	572.60	419.70
YZ15	Trial: 291	291	AFTER	517.10	384.70
YZ15	Trial: 291	291	BEFORE	519.30	378.50
YZ15	Trial: 291	291	NONE	576.30	431.80
YZ15	Trial: 291	291	NONE	563.00	409.10
YZ15	Trial: 292	292	NONE	517.20	387.90
YZ15	Trial: 292	292	NONE	517.60	384.50
YZ15	Trial: 293	293	NONE	496.90	372.10
YZ15	Trial: 293	293	NONE	523.70	371.80
YZ15	Trial: 293	293	NONE	523.70	383.10
YZ15	Trial: 294	294	NONE	519.70	385.20
YZ15	Trial: 294	294	NONE	509.50	382.80
YZ15	Trial: 294	294	NONE	526.00	388.50
YZ15	Trial: 294	294	NONE	520.10	385.40
YZ15	Trial: 295	295	NONE	529.90	380.30
YZ15	Trial: 296	296	NONE	522.00	392.10
YZ15	Trial: 297	297	NONE	528.70	392.00
YZ15	Trial: 297	297	NONE	528.00	383.30
YZ15	Trial: 298	298	NONE	517.00	393.90
YZ15	Trial: 299	299	NONE	511.30	387.10
YZ15	Trial: 300	300	NONE	513.10	381.70
YZ15	Trial: 300	300	NONE	515.00	388.90
YZ15	Trial: 300	300	NONE	554.40	390.90
YZ15	Trial: 301	301	NONE	509.80	378.70
YZ15	Trial: 302	302	NONE	508.70	380.00
YZ15	Trial: 303	303	NONE	524.10	390.20
