"participant","condition","efficacy","latency","precision","val","valGuessing","pLRtest","model","BF","favouredModel"
"18WN",18,0.907548444670537,1.02975895230528,1.20064570470771,150.661446021247,264.022901270321,7.06864718256708e-49,"Gamma",0.00116064215241089,"Gamma"
"18AH2",2,0.756646347936073,-0.266854766818206,1.23472929182301,195.433993998058,262.705016896995,5.67711568114539e-29,"Normal",8945288729625.97,"Normal"
"18GL7",2,0.902232805067026,0.371561646398957,3,222.997753943766,265.76767458695,1.98735148531582e-18,"Normal",17105.7598849291,"Normal"
"18HB9",2,0.565442494487164,0.449130369424995,1.47756341710708,215.246886372511,246.956863389235,1.09213877984326e-13,"Normal",128.680377047045,"Normal"
"18JC",2,0.85508568416968,0.114093086336629,2.08964898667452,206.025829629049,262.470144968831,2.62184928374247e-24,"Normal",154927.350098954,"Normal"
"18JG",2,0.754284572244746,0.842977145148242,0.674738177822065,167.915435028911,263.434822869152,3.64093995093227e-41,"Normal",11.5339861356721,"Normal"
"18LS4",2,0.581519382012552,0.636991546190821,1.33448909321035,235.250281040118,275.905526841758,1.60660981096823e-17,"Normal",1002.36360087642,"Normal"
"18PF6",2,0.769316763350308,0.0784355472816185,0.824413267059483,174.302825328579,264.91538100762,4.79615529097442e-39,"Normal",2343306.99924927,"Normal"
"18PG8",2,0.623629499261127,0.395962471037189,1.04552449115286,210.931817083989,262.298439002236,4.01534113541348e-22,"Normal",229230.762619688,"Normal"
"18RC3",2,0.696666161821091,0.079425344684207,1.21809066849581,208.465774832815,268.136757526939,1.06943044682907e-25,"Normal",773991.520075048,"Normal"
"18RN",2,0.64085283133317,0.894106193274219,1.58183006303998,230.621034732975,272.326343883581,5.69221441788225e-18,"Normal",58.7090317589682,"Normal"
"18TM5",2,0.733539533904166,0.693227640938124,1.15733997215307,199.232831752839,266.083147118777,8.61978219877374e-29,"Normal",2.4828786966163,"Neither"
"18TR1",2,0.842683738946181,-0.234997886549525,1.53180505222669,280.523836931084,386.326807314778,1.30947075223644e-45,"Normal",1746095476401522688,"Normal"
"18WN",2,0.836725789977575,-0.298058280443645,1.06583295122293,173.092459096516,267.182625707787,1.50895663974889e-40,"Normal",47552757057561.1,"Normal"
"18AH2",6,0.887621224630117,0.182931079927129,1.16885740525929,170.257384277454,271.289243192661,1.51091130487024e-43,"Normal",18151475.2151017,"Normal"
"18GL7",6,0.566097361644825,0.953221713147643,0.564544441595473,203.796400342602,266.98267648039,3.27123775884885e-27,"Normal",1.13648037246398,"Neither"
"18HB9",6,0.623972862832157,1.31717162877697,1.03877832885926,217.668381021266,272.573203334513,1.20587213667901e-23,"Normal",2.90380572142273,"Neither"
