experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	24 	SH 	 oneCued 	 0.0 	 right 	R 	A 	0.0 	3 	0 	18.0 	NQPXEDUFROWCYSGZKMAJBLVTHI	DPHIKYNQSOCUVXLWJBGERZFTAM	CSQAZMGKTLNYEPRWJVHUDXIBOF	OHJIFWALEUMNYBGZXQCKPTSDRV	OBXJQAUSCGEZFHPNWYRDLTIMVK	SITQEJAMPZWCDOUGRNXFYBVHLK	0
main	25 	SH 	 oneCued 	 0.0 	 left 	V 	T 	0.0 	2 	0 	4.0 	ZFLDKCSWXROMPYHGNJQIUETABV	UHLJZNXKWGIFYMESRCOADBTQPV	HEDJRMIWNTALKVOFYGSQBPXZUC	RAIWHTSJNCQGLVBEZKFMYOXDPU	ANWXJLDQFRZPTGVBYSCEHUIKOM	CBJQDLOMTVZSFRNXEIKPGWUYHA	0
main	26 	SH 	 oneCued 	 0.0 	 left 	W 	A 	0.0 	3 	0 	-1.0 	LIFVWRONGJEBDMAZYXQCTSUKHP	GIOAZVHEDYQPFTCMWKSNUXRLJB	SMAXTYHPLNCEVUDJQORFWIZGBK	ZSXRIYWAUMKJQLBCTEOPGFDNVH	EIFJOTYQZHNCPRMVXUBAGSLKDW	YESLZWRAQXMTNUFBPOJDKGVHIC	0
main	27 	SH 	 oneCued 	 0.0 	 right 	U 	E 	0.0 	4 	0 	6.0 	EPHGZOCMKTSBQUFLVXRIJNDWAY	OQCFSDWVAMNPUJXRLBZIKHTGYE	QHUEGJXLTWVKAZSPMIBRNFYDCO	WYRZELSOCDHIBXVQKJTMUGFAPN	RALGNZJDEXSMBTUIHQOPVKWCFY	QMVUFWJRECDNYKXTSLIBHAGOPZ	0
main	28 	SH 	 oneCued 	 0.0 	 right 	S 	Y 	0.0 	4 	0 	3.0 	JNGUPKMAXIRLBQOYFZDESVTWHC	TYZDFGSHWNEVQPXKJMRBOLACUI	EHBAGWNXFYSPQDOVZKITJCUMLR	JAOLQYVEKCZFUDHTNMBIPGWRSX	NBELPCQWXYJZSUAGMKTRFDOHIV	TCDFNGQLRWSEKHJVPUYIXBOAZM	0
main	29 	SH 	 oneCued 	 0.0 	 left 	M 	S 	0.0 	0 	0 	16.0 	UXDYCHSVWRNJFQGPBKILTZMOEA	BUAVGXMWSTQKIOHLYNJZFECRDP	UDZIXQOLJKWMFSEVACTPYHBNRG	TYEJRVBSXCOQMFKGIAZNUDHWPL	FEKAHRJOQNUMLPTXSVIDGCYWBZ	WYPMBSUVDGZFCOHRNAKLIJQEXT	0
main	30 	SH 	 oneCued 	 0.0 	 right 	D 	C 	0.0 	0 	0 	6.0 	TQZREVKSLYCAXJWHDNGOUMIFBP	FYEJHTOPUXCVQRLSDWBGMIKNZA	PQZMBWJCTNYKXRUVSDOFILAEHG	QOFLCZGNWKTAEVMUBDJIXPRYHS	FACLQUIEPTDVBRHXGOWNSZKJYM	SIXZKYCEAGVPNBHRFLQUTWMJDO	0
main	31 	SH 	 oneCued 	 0.0 	 left 	G 	G 	1.0 	5 	0 	0.0 	BCWEULXNKGIMZFROVYQPSTAHDJ	CYIABQGZTXDLVOKRJMNPWHUSEF	PFKRMNUYWGABSCTOZEHVLQJXDI	FCBOSEQIRXKMJYTDULZANVHPWG	FPKTNCZHJOUDAQRIBSMEGLXYWV	KNTOWMLGYXUREIPFBDVJHZSCAQ	0
main	32 	SH 	 oneCued 	 0.0 	 left 	U 	J 	0.0 	0 	0 	12.0 	AVNLGQRIJOYDBMXFEWCPUZKTHS	JNHMVYARFDXULOQSIZEKGPBCTW	RPYNBOJADLWGTQZXHUMKSVEICF	NWYOKSXFTEGAZILBHJPMQRDCUV	KJXZGSLNOURQTBAVCFMHIDYPEW	JMSYLPONTUVIWFXCQAEBKDHZGR	0
main	33 	SH 	 oneCued 	 0.0 	 right 	B 	N 	0.0 	5 	0 	-1.0 	RGJAHEKUOQCLIZXWVNFDTSBPYM	TBSRAUVPZJQGDCWKMLFHXYEOIN	QCYOUAMIWLPGNXRZDJFKTSEHVB	BTXKGQNPHMDERZWUFLYCSJVAIO	TGUEJDWBNHLFOQAPSZCIKRXMVY	ZQSFUCIHBNVDPEKGRLTJYMAWXO	0
main	34 	SH 	 oneCued 	 0.0 	 right 	N 	R 	0.0 	2 	0 	16.0 	ASNGDMVRQJYULKCXBFZWHOETIP	QIRGKMUWECSTFPAYVBNDOZJLXH	XHFSVUCRWQGEKJMDBLTAYOPNIZ	RSLFUEMIZTOGAWQNCDYKVJHXPB	MJYZDUTCPHFOBXQIGLWVSREANK	QPADFNCGIXLMKOJHYBRVZWSTUE	0
main	35 	SH 	 oneCued 	 0.0 	 left 	S 	F 	0.0 	3 	0 	-3.0 	SILNGZUTYOPKMDBCWXARHFEVQJ	FTARPYHWECBVQMDZSKXIUNJGOL	SQZNDPTFKJCXUMVEYRLOBAGHIW	ZDECHAPSRXFGYQVLUMJOTINBKW	YJBPFCGKDZWHQMRXUNEIVTASLO	MCQNSIREUKZGVOTALFBJWXYHDP	0
main	36 	SH 	 oneCued 	 0.0 	 left 	Q 	Q 	1.0 	5 	0 	0.0 	IVCGTSKWEJAUFXNLDYROQZPBMH	HKUSFJDWZNIEQTBROAYXVMGLPC	URFLJYWANHIBGMXOTEDCZQVKSP	OSRLJFPKTGMWDHVYBXQCZEUIAN	YGNHTRCOWDXAPSMBFVJEQZLUKI	CRBIWAQOUNVXFKDMPEGJYSHTZL	0
